absorbance_3.1_1,3.1_1,3.1_2,3.1_3,3.1_4
525.5073,0.01289283,0.02842978,0.009957936,0.02526623
525.9894,0.01281361,0.02703329,0.02062129,0.02877554
526.4715,0.01440124,0.02669971,0.02952055,0.03144838
526.9536,0.01702794,0.0266627,0.03488458,0.03233218
527.4357,0.02129422,0.0299802,0.0362853,0.03047112
527.9178,0.02443206,0.03271177,0.03448136,0.0299516
528.4,0.02298459,0.03275353,0.03083429,0.03011032
528.8821,0.01963425,0.03190616,0.02676246,0.03004259
529.3642,0.01597911,0.03091766,0.02326896,0.02928777
529.8463,0.01389372,0.03064456,0.02088984,0.0277702
530.3284,0.0142278,0.03137508,0.01963657,0.02614834
530.8105,0.01634628,0.03279347,0.01914889,0.02540259
531.2927,0.01886111,0.03418883,0.01891894,0.02578995
531.7748,0.02031439,0.03486727,0.01853989,0.02677146
532.2569,0.01954985,0.03441495,0.01784129,0.02747204
532.739,0.01616479,0.03298057,0.01689618,0.02722543
533.2211,0.01087821,0.03119967,0.01599705,0.0258263
533.7032,0.005381696,0.02974658,0.01554759,0.02349074
534.1854,0.001422614,0.02915704,0.0160502,0.02088016
534.6675,0.0,0.02960886,0.01799217,0.01884535
535.1496,0.001159012,0.03102438,0.02171996,0.01794246
535.6317,0.004235774,0.03333306,0.02737128,0.01820292
536.1138,0.008125573,0.03669716,0.0347341,0.01926715
536.5959,0.01185082,0.04154665,0.04323404,0.02045656
537.0781,0.01511419,0.04834634,0.05193195,0.02090427
537.5602,0.01830299,0.05700465,0.05979583,0.01992087
538.0423,0.02191797,0.06658423,0.06599545,0.01719872
538.5244,0.02593408,0.07517593,0.07008152,0.01310086
539.0065,0.026417,0.0773057,0.07211582,0.01033923
539.4886,0.02932297,0.07635264,0.072494,0.007245559
539.9708,0.03118423,0.07015242,0.07172988,0.003535628
540.4529,0.03142175,0.05833989,0.07018469,0.001175459
540.935,0.0300659,0.04282817,0.06796987,0.0007287972
541.4171,0.02969643,0.02911794,0.06499739,0.0
541.8992,0.02976476,0.016917,0.06116707,0.002956484
542.3813,0.0278911,0.006668068,0.05653928,0.008494701
542.8635,0.02680728,0.001070205,0.05146603,0.01491918
543.3456,0.026754,0.0,0.04650392,0.02114536
543.8277,0.02703077,0.0004464909,0.04231001,0.02570717
544.3098,0.02901611,0.005993076,0.0394346,0.02898186
544.7919,0.03182808,0.01371412,0.03810304,0.03050982
545.274,0.03550956,0.02353605,0.03811142,0.03092792
545.7562,0.03850081,0.03075166,0.03881497,0.03021456
546.2383,0.03906329,0.0353268,0.03938994,0.030658
546.7204,0.0409301,0.03895484,0.03905138,0.03080417
547.2025,0.04190236,0.0396724,0.03737752,0.03144276
547.6846,0.0419663,0.03801018,0.03442116,0.03220905
548.1667,0.0407548,0.03487226,0.0306028,0.03287275
548.6489,0.03668129,0.03037635,0.02651947,0.03413697
549.131,0.0316527,0.02793972,0.02270075,0.03438628
549.6131,0.02561332,0.02751904,0.0195554,0.03482963
550.0952,0.01895642,0.028765,0.01731451,0.03574641
550.5773,0.01227118,0.03060458,0.01608542,0.0372556
551.0594,0.006440014,0.03151111,0.0159098,0.03922848
551.5416,0.002407469,0.03011216,0.01675655,0.04140435
552.0237,0.001390494,0.02729302,0.01850769,0.04384942
552.5058,0.003895685,0.02398166,0.02089292,0.04648193
552.9879,0.008354515,0.01768777,0.0235266,0.04857426
553.47,0.01262681,0.01066824,0.02601762,0.05124982
553.9521,0.01854713,0.007005654,0.02807041,0.05308938
554.4343,0.02374429,0.00646355,0.02963192,0.05434938
554.9164,0.02681729,0.008402791,0.0308992,0.05512904
555.3985,0.02809044,0.01235266,0.03223676,0.05527977
555.8806,0.02819566,0.01724327,0.03397115,0.05501289
556.3627,0.02658755,0.02071897,0.03620437,0.05533554
556.8448,0.0262376,0.02352485,0.03867616,0.05585754
557.327,0.02821222,0.02567794,0.04084682,0.05659556
557.8091,0.03277679,0.02747072,0.04210076,0.05730417
558.2912,0.03934409,0.02934005,0.04202607,0.05749895
558.7733,0.04327005,0.02837319,0.04065589,0.0586349
559.2554,0.04947865,0.02809393,0.03850762,0.05721707
559.7375,0.05516011,0.03159872,0.03648493,0.0540841
560.2197,0.05896832,0.03578219,0.03553912,0.05063929
560.7018,0.06110349,0.04038113,0.03647276,0.0480123
561.1839,0.06224333,0.04540153,0.03966526,0.04747439
561.666,0.06467617,0.05239971,0.04498903,0.04723494
562.1481,0.06653609,0.05500172,0.05188384,0.05040536
562.6302,0.06626046,0.05343604,0.05950522,0.05518779
563.1124,0.06548627,0.04909896,0.06699139,0.05939741
563.5945,0.06401344,0.04257656,0.07352184,0.06164834
564.0766,0.06187866,0.03512722,0.0784919,0.0612518
564.5587,0.05944744,0.02824665,0.08159129,0.05838582
565.0408,0.05726597,0.023391,0.08278096,0.05403238
565.5229,0.05587834,0.02148671,0.0822719,0.04954862
566.0051,0.05561981,0.02274724,0.08042992,0.04610325
566.4872,0.05653014,0.02672443,0.07773432,0.04448226
566.9693,0.05827269,0.03247438,0.07465968,0.04491029
567.4514,0.06023112,0.03889631,0.07158363,0.04710809
567.9335,0.0616762,0.04486243,0.06875356,0.05045554
568.4156,0.06106963,0.04640639,0.06622143,0.0535464
568.8978,0.06038162,0.04932643,0.06388593,0.05707177
569.3799,0.05668721,0.04829475,0.0615948,0.06055757
569.862,0.05566614,0.04769633,0.05928438,0.06177235
570.3441,0.05549413,0.04583077,0.05707239,0.06153569
570.8262,0.05499275,0.04184659,0.05527104,0.06062212
571.3083,0.05565109,0.03748293,0.05424537,0.05887056
571.7905,0.05728131,0.03348039,0.05424183,0.05686852
572.2726,0.05934759,0.03052077,0.05521734,0.05540831
572.7547,0.0589295,0.0271481,0.05678769,0.0560253
573.2368,0.05987152,0.02707552,0.05830453,0.0573498
573.7189,0.05983093,0.02832435,0.05904206,0.05998855
574.201,0.05895016,0.03044181,0.0585097,0.06324396
574.6832,0.05780292,0.03297403,0.05664502,0.06613547
575.1653,0.05722094,0.03558338,0.05397569,0.06763853
575.6474,0.05793943,0.03812646,0.05146067,0.0670988
576.1295,0.06035355,0.04060475,0.05023192,0.06437796
576.6116,0.06427796,0.04308065,0.05108322,0.05991786
577.0938,0.06910218,0.04561264,0.05409858,0.05452763
577.5759,0.07404041,0.04822094,0.05861384,0.04914981
