absorbance_3.6_1,3.6_1,3.6_2,3.6_3,3.6_4,3.6_5,5.12_1,5.12_2,5.12_3,5.12_4,5.12_5,5.12_6
546.7204,0.01847742,0.03816137,0.06648674,0.002236642,0.06128032,0.05386942,0.01760573,0.04750392,0.02502,0.06942942,0.008507794
547.2025,0.01376889,0.03136737,0.06245272,0.0,0.05757844,0.05096173,0.018375,0.04460114,0.02870108,0.07548058,0.005975237
547.6846,0.01101071,0.02549352,0.05735829,0.0005420744,0.05376691,0.04888142,0.01784105,0.04126925,0.0309606,0.0802511,0.00492787
548.1667,0.01010193,0.0206749,0.05120472,0.003724176,0.0504178,0.04709121,0.01596424,0.03868896,0.03244352,0.08266467,0.005754309
548.6489,0.01115872,0.01688296,0.04433805,0.008363429,0.04790691,0.0449293,0.01300177,0.03647239,0.03465241,0.08199247,0.008532286
549.131,0.01280164,0.01408334,0.03737346,0.01425175,0.04642784,0.0426142,0.008973721,0.036702,0.03621802,0.07818379,0.01193268
549.6131,0.01476346,0.01230669,0.03101554,0.02021145,0.04601454,0.03941757,0.004849423,0.03840518,0.03757203,0.07201315,0.01443691
550.0952,0.01645388,0.01162744,0.02570813,0.02566349,0.04649336,0.03509346,0.0016139,0.04081308,0.03855209,0.06495664,0.01512565
550.5773,0.01750453,0.01208399,0.0214825,0.03044583,0.04749539,0.02964282,0.0,0.04317023,0.03905603,0.05865776,0.01378828
551.0594,0.01774525,0.01360381,0.01805936,0.03488077,0.04843982,0.0233346,0.0003463179,0.0450082,0.03908388,0.05459307,0.01096316
551.5416,0.01708448,0.01598378,0.01513814,0.03974518,0.0486819,0.01657262,0.00260549,0.04637114,0.03869985,0.05356329,0.00762256
552.0237,0.0163212,0.01892183,0.01266685,0.04443893,0.04773698,0.01071345,0.005161434,0.04740372,0.03764869,0.05563889,0.004436167
552.5058,0.01580402,0.02206165,0.01097376,0.0487458,0.04544089,0.006865431,0.007046964,0.04848585,0.0357876,0.06028641,0.001853747
552.9879,0.01361911,0.02509845,0.01064081,0.05551082,0.04213826,0.003730234,0.0109344,0.05045411,0.03376774,0.06660521,0.0003322735
553.47,0.01178657,0.02784399,0.0122145,0.0611564,0.03862659,0.002999362,0.01484906,0.05139474,0.03240268,0.07361718,0.0002423599
553.9521,0.009428283,0.03023835,0.0159162,0.06559515,0.03603947,0.004718807,0.01876219,0.05378652,0.02991822,0.08036703,0.0
554.4343,0.006894646,0.03234024,0.02138818,0.06768204,0.03545445,0.008136775,0.02300306,0.05658486,0.02744776,0.08608969,1.765043e-05
554.9164,0.004441854,0.03424165,0.02774001,0.066958,0.03760649,0.01219721,0.02765257,0.05913784,0.02594216,0.09016688,0.0007259585
555.3985,0.002169214,0.03598988,0.03373606,0.06385867,0.04265551,0.01587592,0.03227074,0.06157451,0.02566282,0.09204306,0.002193293
555.8806,0.0003979653,0.03754662,0.03831773,0.05908128,0.05001327,0.01853738,0.03606346,0.06364757,0.02679572,0.09128985,0.004510263
556.3627,0.0,0.03881894,0.04093772,0.05296913,0.05841675,0.01999825,0.03818347,0.06371665,0.03008398,0.08768605,0.008120969
556.8448,0.0008519813,0.03972883,0.04171203,0.04696394,0.06614633,0.020693,0.03783754,0.06291713,0.03370998,0.08138496,0.01178499
557.327,0.003052287,0.04030331,0.04125668,0.04187458,0.07167587,0.02115055,0.03498435,0.06143972,0.03662898,0.0729952,0.01481998
557.8091,0.006495822,0.04071095,0.04035024,0.03829356,0.07403833,0.02183262,0.03033906,0.05973437,0.03805545,0.06356475,0.01682883
558.2912,0.01088778,0.04122265,0.03958457,0.03656569,0.07307146,0.02303696,0.02516314,0.05848818,0.03774509,0.05441481,0.01787014
558.7733,0.01717778,0.04208401,0.03913539,0.03554788,0.06932536,0.02442924,0.02104009,0.05530046,0.03851413,0.04669884,0.01964129
559.2554,0.02164277,0.04340639,0.03881923,0.03949454,0.06381377,0.02483178,0.02057777,0.05663993,0.03733045,0.04117768,0.0200251
559.7375,0.02712007,0.04505745,0.0382868,0.04288745,0.05773396,0.02737162,0.01989055,0.05961481,0.03581872,0.03795082,0.02108088
560.2197,0.032531,0.04668329,0.03732855,0.04665521,0.0521066,0.03019882,0.02074585,0.06327967,0.03583245,0.03646512,0.02270067
560.7018,0.0375134,0.04777395,0.03607865,0.04983044,0.04767893,0.03319828,0.02239923,0.06646051,0.03787299,0.03570507,0.0245655
561.1839,0.04202126,0.04783826,0.03505632,0.0508548,0.04473608,0.03662226,0.02350091,0.06767592,0.04187639,0.03460667,0.02627897
561.666,0.0443477,0.04661505,0.03490292,0.05018474,0.04311455,0.04105883,0.02323844,0.06823836,0.04564568,0.03253214,0.02771071
562.1481,0.04428605,0.04415732,0.03612544,0.04859638,0.04235822,0.04352898,0.0242718,0.0658498,0.05112976,0.02942797,0.02845686
562.6302,0.04234298,0.04084467,0.03879655,0.04478278,0.04199404,0.04546452,0.02527946,0.06003532,0.05772085,0.02586911,0.0305782
563.1124,0.03802074,0.03721881,0.04250733,0.03998227,0.04178675,0.04681336,0.02648878,0.05351015,0.06346062,0.02276522,0.03365514
563.5945,0.03178146,0.03386223,0.0464504,0.03500843,0.04180126,0.04761068,0.02808986,0.04772158,0.06757231,0.0211372,0.0376256
564.0766,0.02449368,0.03119986,0.04968194,0.03059251,0.04234432,0.04804996,0.02999105,0.04382227,0.06948055,0.02172926,0.04173735
564.5587,0.017184,0.0294079,0.05147176,0.02725906,0.04374219,0.0484365,0.03186068,0.04234505,0.06892878,0.02474872,0.04486559
565.0408,0.0109014,0.02844699,0.05146424,0.02527754,0.04614828,0.049007,0.03334667,0.04317464,0.06613035,0.0298124,0.04582269
565.5229,0.0063623,0.0281418,0.04983943,0.02464507,0.04933327,0.04985426,0.03423867,0.04569925,0.06179569,0.0360283,0.04398476
566.0051,0.003782641,0.02830892,0.04718281,0.0251608,0.05267085,0.0509631,0.03454162,0.04916295,0.05694501,0.04229983,0.03961354
566.4872,0.002892613,0.02881568,0.04432914,0.02647574,0.0551513,0.052244,0.03443552,0.05284763,0.05282748,0.0474787,0.03381539
566.9693,0.003073866,0.02959312,0.04204879,0.02815044,0.05567513,0.05356739,0.03418988,0.05624122,0.05059067,0.05069546,0.02812536
567.4514,0.003639085,0.03057834,0.04081452,0.02964679,0.05342183,0.05484436,0.03406607,0.05897997,0.05101831,0.05152743,0.02388769
567.9335,0.004081536,0.03164015,0.04070853,0.03040088,0.04814368,0.05598795,0.03428103,0.06072505,0.05434615,0.05006071,0.02187808
568.4156,0.002539257,0.03257274,0.04139176,0.03283298,0.04045198,0.0551769,0.03760169,0.061675,0.06064042,0.04690294,0.02244044
568.8978,0.00297725,0.03317068,0.04226403,0.03120041,0.03169571,0.05581912,0.03876647,0.06049163,0.067729,0.04298297,0.02410235
569.3799,0.004635429,0.03335387,0.04264057,0.02832824,0.02372504,0.05575668,0.04082618,0.05606781,0.07615535,0.03934484,0.02716409
569.862,0.006675787,0.03328343,0.04203856,0.02642605,0.01822187,0.05510603,0.04331914,0.05275759,0.08160062,0.03674776,0.02843279
570.3441,0.01018032,0.03336484,0.04030145,0.02553586,0.01627435,0.05374131,0.04612355,0.04919137,0.08485105,0.03548375,0.02839438
570.8262,0.01565822,0.03417434,0.03763919,0.02582243,0.01817473,0.05169735,0.04885305,0.04477651,0.08664443,0.03533113,0.02760764
571.3083,0.02237681,0.03622394,0.0345523,0.02796678,0.02337157,0.04926432,0.05085516,0.04118566,0.08622923,0.0356941,0.02575306
571.7905,0.02968203,0.03978117,0.03168977,0.03168888,0.03071035,0.04673101,0.05163321,0.0386709,0.08387802,0.03585144,0.02322524
572.2726,0.03678697,0.04470718,0.02970232,0.03623042,0.03870011,0.04424065,0.05095136,0.03697874,0.07999451,0.03524027,0.02042461
572.7547,0.04363912,0.05043994,0.02901393,0.03997225,0.04599705,0.04160676,0.04911164,0.03366499,0.07639673,0.03374292,0.01861965
573.2368,0.04841058,0.05607262,0.02975035,0.04354448,0.05158121,0.03869342,0.04634283,0.03152876,0.07076089,0.03174896,0.01611892
573.7189,0.05129996,0.06055781,0.03169872,0.04596358,0.05489613,0.03502748,0.0434595,0.02837564,0.06480245,0.03008462,0.01403405
574.201,0.05212058,0.06308383,0.03438862,0.04734714,0.05589908,0.0304343,0.04102385,0.02413397,0.05896859,0.0296794,0.0126073
574.6832,0.05082019,0.0632697,0.03715751,0.04812659,0.05496822,0.0251226,0.03928817,0.01925314,0.05376558,0.03131768,0.011987
575.1653,0.04754901,0.06136107,0.03927428,0.0488213,0.05281763,0.01981165,0.0380982,0.01459079,0.04974413,0.03531189,0.01217792
575.6474,0.04269255,0.05810104,0.04017365,0.04978365,0.05028251,0.01548212,0.03699219,0.01106417,0.04735854,0.0413422,0.01301149
576.1295,0.03690365,0.05451747,0.03957315,0.05115424,0.04819544,0.01308862,0.0354416,0.009390066,0.04687806,0.04849119,0.01429877
576.6116,0.03096315,0.05151705,0.03761174,0.05285231,0.04715652,0.01307503,0.03316937,0.009830926,0.04825592,0.05553231,0.01596864
577.0938,0.02549764,0.04955132,0.03476522,0.05465915,0.04738961,0.01519853,0.03028142,0.01215446,0.05113706,0.0614523,0.01806103
577.5759,0.02089528,0.04860932,0.03168778,0.05634088,0.04879022,0.01864176,0.02718211,0.01586883,0.05493301,0.06567723,0.02067043
578.058,0.01725188,0.04831956,0.02896953,0.05773348,0.05099305,0.02236295,0.02437679,0.02044305,0.05896698,0.06822062,0.0238447
578.5401,0.01448822,0.04821123,0.02695365,0.0587494,0.05351508,0.02542466,0.02226399,0.02546551,0.06268487,0.06948468,0.02740282
579.0222,0.01247588,0.04785588,0.02573412,0.05925659,0.05578522,0.02726711,0.0210449,0.03052677,0.06563346,0.06999689,0.03087379
579.5043,0.01113309,0.04700038,0.02515885,0.05908652,0.05725491,0.02783452,0.02072395,0.03513372,0.06754023,0.07011192,0.03356791
579.9865,0.0104556,0.04557838,0.02494035,0.05811644,0.05753594,0.0275252,0.02120154,0.03872237,0.06832776,0.06985606,0.03488366
580.4686,0.01045888,0.04364152,0.0247408,0.05638337,0.05647562,0.02692857,0.02242476,0.04066807,0.06812964,0.06896009,0.03448539
580.9507,0.01109611,0.04128233,0.02431936,0.05411465,0.05426509,0.02662303,0.02444949,0.04053988,0.06729455,0.06706364,0.03256314
581.4328,0.01222384,0.0385836,0.02362003,0.05165967,0.05136622,0.0269982,0.02737252,0.03829173,0.06626283,0.06399304,0.0297378
581.9149,0.01360828,0.03564159,0.02278421,0.04940638,0.04842135,0.02825446,0.03119951,0.03431462,0.06548188,0.05992518,0.02687898
582.397,0.01503527,0.03262134,0.02209187,0.04761947,0.04605567,0.03040097,0.03570208,0.02935225,0.06524038,0.05541882,0.0247228
582.8792,0.01641412,0.02980934,0.02183962,0.0463634,0.04474548,0.03330968,0.04039659,0.02425552,0.0655973,0.05122925,0.02362462
583.3613,0.01783746,0.02765345,0.02225568,0.04548984,0.04480015,0.03676975,0.04458645,0.01983346,0.06640015,0.04814759,0.02352477
583.8434,0.01953446,0.02664072,0.02339232,0.0447696,0.04628374,0.04051816,0.04759585,0.0166209,0.06732191,0.04667544,0.024079
584.3255,0.02173626,0.02712603,0.02511895,0.04403684,0.04902379,0.04429326,0.04900539,0.01482767,0.06798347,0.04685189,0.0249049
584.8076,0.02451155,0.02915816,0.02715158,0.04331497,0.0526299,0.0478617,0.0487854,0.01439584,0.06805103,0.04820669,0.02577523
585.2897,0.02763767,0.03236131,0.02916917,0.04285651,0.0566034,0.05110423,0.0473194,0.01508889,0.06736425,0.04992969,0.02671538
585.7719,0.030641,0.03602891,0.03091085,0.04304617,0.06046468,0.05401833,0.04523567,0.01663026,0.06597622,0.05116957,0.02792933
586.254,0.03289916,0.03930685,0.03222687,0.04423285,0.0638473,0.05669288,0.04318699,0.01873897,0.06412951,0.05128155,0.02963007
586.7361,0.03393638,0.04155034,0.03310109,0.04648671,0.06660396,0.05920058,0.04157959,0.02115754,0.06218785,0.0500671,0.03183239
587.2182,0.03310113,0.04249427,0.03360185,0.04941891,0.06879207,0.06077848,0.04053499,0.02349615,0.06073811,0.04773977,0.03384611
587.7003,0.03111779,0.04231906,0.03382301,0.05260824,0.0706254,0.06221421,0.03972891,0.02540801,0.05970003,0.0447964,0.03597651
588.1824,0.02878316,0.04152977,0.03382807,0.05531919,0.07236101,0.06328994,0.03882018,0.02669801,0.05923263,0.04175755,0.03782558
588.6646,0.02704612,0.04077291,0.03363156,0.05677622,0.07419576,0.06383657,0.03747697,0.02716847,0.0593514,0.03899672,0.03894355
589.1467,0.02672452,0.04062464,0.03321131,0.0564174,0.07615864,0.06383918,0.03554911,0.02668872,0.05994016,0.03663392,0.03895579
589.6288,0.02821163,0.04137683,0.03254179,0.05414117,0.07805991,0.06345429,0.03316343,0.02530537,0.06082448,0.03456673,0.0377053
590.1109,0.031428,0.04299472,0.03163506,0.05037883,0.0794929,0.06294805,0.03073241,0.02330926,0.06182548,0.03261448,0.03529382
590.593,0.03583686,0.04511739,0.03056782,0.04607207,0.07993174,0.06258099,0.02886708,0.02123576,0.06281802,0.03069949,0.03210689
591.0751,0.040676,0.04721534,0.0294726,0.04234129,0.07895286,0.06246687,0.02814266,0.01967939,0.06375506,0.02896178,0.02869601
591.5573,0.04512694,0.0487259,0.02852705,0.04020991,0.07639087,0.06251623,0.02893885,0.01913121,0.06463492,0.02775512,0.02568089
592.0394,0.04855932,0.0492597,0.02791638,0.04016978,0.07247704,0.0624558,0.03125206,0.01972204,0.0654515,0.0274986,0.02354993
592.5215,0.05068713,0.04872877,0.02779073,0.04199385,0.0677512,0.06198151,0.03470003,0.02114175,0.06615581,0.02843754,0.0224937
593.0036,0.05151081,0.04732664,0.028278,0.04483457,0.06291091,0.06087424,0.03862099,0.02271301,0.06663737,0.03051399,0.02239078
