absorbance_5.11_1A (2),5.11_1A (2),5.11_1A,5.11_2A (2),5.11_2A,5.11_3A (2),5.11_3A,5.11_4A (2),5.11_4A
553.9521,0.06524397,0.02296694,0.02701058,0.06574963,0.03116273,0.05184366,0.04149061,0.01357993
554.4343,0.06922613,0.01818934,0.03065864,0.06110749,0.02823027,0.04881871,0.04684584,0.01124911
554.9164,0.07318802,0.01565589,0.03338262,0.05676971,0.02452144,0.04397821,0.05080301,0.01103253
555.3985,0.0769815,0.01590172,0.03486533,0.05321123,0.02097093,0.03849444,0.05334091,0.01213582
555.8806,0.08031297,0.01864849,0.03530069,0.05019674,0.01773982,0.03340195,0.0545469,0.01385354
556.3627,0.08219025,0.02323266,0.0360467,0.0471611,0.01336132,0.02936521,0.05451851,0.01600719
556.8448,0.08313456,0.0278952,0.03655715,0.04358549,0.009180003,0.02690613,0.05335578,0.01834286
557.327,0.08314507,0.03143582,0.03692735,0.03931843,0.005564392,0.02609439,0.05118707,0.02099576
557.8091,0.08237753,0.03329331,0.0370115,0.0346098,0.003041612,0.0266965,0.04822744,0.02407624
558.2912,0.08125195,0.03369095,0.03649322,0.02999247,0.002182148,0.02827263,0.04480789,0.02748659
558.7733,0.07833297,0.03449818,0.03799584,0.02600326,0.0,0.03060818,0.04131588,0.03058997
559.2554,0.07764698,0.03450762,0.03871893,0.02301967,0.003695682,0.03403281,0.03815691,0.0282134
559.7375,0.07956134,0.03602201,0.03657132,0.02114968,0.009337131,0.03651436,0.03566292,0.02913104
560.2197,0.08336638,0.03928448,0.03493211,0.02025646,0.01605738,0.03894588,0.03399511,0.02852495
560.7018,0.08868285,0.04406853,0.03468036,0.02005596,0.02291093,0.04145658,0.03313915,0.02649324
561.1839,0.09440134,0.04984996,0.0362358,0.02024107,0.02867232,0.04422002,0.0329295,0.02459473
561.666,0.1014849,0.05439765,0.03639689,0.02058892,0.03615955,0.04635885,0.03316054,0.02503065
562.1481,0.1050207,0.05781002,0.04116084,0.02095734,0.0416005,0.0502966,0.03365459,0.02154502
562.6302,0.1044994,0.05930316,0.04738384,0.02128132,0.0441851,0.05416527,0.03431379,0.01923479
563.1124,0.100218,0.05806258,0.05279044,0.02154791,0.04510186,0.05755382,0.0351092,0.01817253
563.5945,0.09227912,0.05413339,0.05636317,0.02178919,0.04384955,0.05981481,0.03603054,0.01846197
564.0766,0.08142918,0.04805685,0.05774137,0.0220874,0.03999836,0.06047798,0.03705125,0.02003841
564.5587,0.06884457,0.04070818,0.05729293,0.02256357,0.03368919,0.05951138,0.03814182,0.02265156
565.0408,0.05590156,0.03323253,0.05594239,0.02335254,0.02567795,0.05734199,0.03930382,0.02585462
565.5229,0.04391573,0.02678354,0.05472022,0.02453855,0.01734484,0.05472064,0.04061645,0.02909719
566.0051,0.03394524,0.02230992,0.05434227,0.026117,0.01027633,0.05239557,0.04223129,0.03185329
566.4872,0.02685749,0.02050963,0.05510063,0.02798647,0.005940063,0.05094824,0.04432019,0.03372923
566.9693,0.0231488,0.02159491,0.05684789,0.03000059,0.005051628,0.05061158,0.04694393,0.0346583
567.4514,0.02281095,0.02527889,0.05917917,0.03205783,0.007204613,0.05123143,0.04994825,0.03498558
567.9335,0.02526916,0.03075334,0.06163779,0.03417859,0.01109909,0.05247723,0.05288825,0.0354468
568.4156,0.02957761,0.03596913,0.06530404,0.03654063,0.01686928,0.05433733,0.05513797,0.03217794
568.8978,0.03395049,0.04186418,0.06738339,0.03940766,0.01987806,0.05625094,0.05611619,0.03512597
569.3799,0.03637985,0.04706142,0.07053738,0.04299365,0.01993271,0.05844229,0.05549243,0.03933952
569.862,0.03840611,0.05025315,0.07181434,0.04727158,0.02145824,0.06130733,0.05339294,0.04368312
570.3441,0.03894611,0.05219718,0.07248003,0.05190364,0.02329865,0.06460536,0.0503694,0.04730693
570.8262,0.03788765,0.05373862,0.07333314,0.05624916,0.02484256,0.06788805,0.04728796,0.04916471
571.3083,0.03675449,0.05503142,0.07354067,0.05959295,0.02736373,0.0706673,0.04500726,0.04826375
571.7905,0.03639302,0.05625436,0.07320677,0.06135935,0.03031718,0.07227811,0.04416787,0.04444641
572.2726,0.03727087,0.05722661,0.07270064,0.06130483,0.03274915,0.0722767,0.04504186,0.03839344
