absorbance_1.8_1A,1.8_1A,1.8_2A,1.8_3A,1.8_4A,1.8_6A
568.8978,0.05987187,0.02317774,0.0317521,0.1436966,0.07711314
569.3799,0.06622619,0.02167191,0.03476487,0.1386945,0.07698483
569.862,0.06853442,0.01810057,0.03696635,0.130678,0.07408955
570.3441,0.06700215,0.01390794,0.0376891,0.1205597,0.07110445
570.8262,0.06254987,0.01026715,0.03660588,0.1097581,0.06962008
571.3083,0.05623285,0.006982312,0.03363536,0.09971821,0.06778761
571.7905,0.04953372,0.00415476,0.02962291,0.09159698,0.06533851
572.2726,0.04372019,0.001800887,0.02562948,0.08604802,0.06224612
572.7547,0.03978786,0.0008977056,0.02279731,0.08311093,0.0613325
573.2368,0.03708933,0.0,0.02052298,0.08241734,0.05803566
573.7189,0.03558579,0.0003363006,0.01887284,0.08344047,0.05530736
574.201,0.03489143,0.00222791,0.01737605,0.08576483,0.05368773
574.6832,0.03482008,0.00565134,0.01580339,0.08914471,0.0534487
575.1653,0.03545532,0.01004038,0.01438887,0.09346145,0.05449847
575.6474,0.03697667,0.0144362,0.01367195,0.0985707,0.05638613
576.1295,0.03944376,0.01780339,0.01410553,0.1041478,0.05847046
576.6116,0.0426488,0.01959121,0.01568298,0.1096752,0.06017062
577.0938,0.0461825,0.02001347,0.01792496,0.114616,0.06114516
577.5759,0.0495857,0.01989832,0.02011284,0.1185445,0.06131707
578.058,0.05252221,0.0203028,0.02165451,0.1212766,0.06083253
578.5401,0.05486583,0.02202438,0.02241258,0.1228629,0.05995577
579.0222,0.05671812,0.02533578,0.0228225,0.1234934,0.05902907
579.5043,0.05826345,0.02984934,0.02361394,0.1233888,0.0584231
579.9865,0.05963316,0.0346961,0.02531847,0.1226913,0.05851639
580.4686,0.06076512,0.03888575,0.02779964,0.1214359,0.05965189
580.9507,0.06154463,0.04176853,0.03021072,0.1195745,0.06205977
581.4328,0.06194734,0.04326738,0.03142309,0.1170851,0.06576304
581.9149,0.06215174,0.04379554,0.0304891,0.1140806,0.07054102
582.397,0.06249148,0.04394525,0.02718252,0.1108674,0.07594131
582.8792,0.06328379,0.04413182,0.02207777,0.1078883,0.08138335
583.3613,0.06468846,0.04440042,0.01639636,0.1056545,0.08626581
583.8434,0.06654775,0.04442566,0.01147513,0.1045503,0.09016776
584.3255,0.06841813,0.04373191,0.008259204,0.1047068,0.09296689
584.8076,0.06971402,0.04193822,0.007085873,0.1059482,0.09485399
585.2897,0.06998256,0.03902423,0.007625144,0.1078374,0.09620062
585.7719,0.06906964,0.03538299,0.00919052,0.1098227,0.09737366
586.254,0.06715473,0.0317722,0.01109511,0.1113832,0.09855693
586.7361,0.06463566,0.02900486,0.01300088,0.1122297,0.0996867
587.2182,0.0625931,0.02806624,0.01622095,0.1123601,0.100269
587.7003,0.06047548,0.02887082,0.01946689,0.1120374,0.1001735
588.1824,0.05825211,0.03098981,0.02283649,0.1116422,0.09931456
588.6646,0.05585523,0.03355488,0.02642582,0.1115277,0.09775528
589.1467,0.05328881,0.03549609,0.03021512,0.1118946,0.09572023
589.6288,0.05069751,0.03594796,0.03404257,0.1127336,0.09352896
590.1109,0.04836966,0.03443701,0.03763136,0.1138573,0.09155747
590.593,0.04665921,0.03107778,0.04066875,0.1149596,0.09016382
591.0751,0.04580998,0.02653788,0.04292256,0.1157436,0.08957694
591.5573,0.04584576,0.02191284,0.04426648,0.1159964,0.08983446
592.0394,0.04650865,0.01838246,0.04467225,0.1156818,0.09071837
592.5215,0.04739109,0.01676122,0.04414647,0.1149347,0.09181866
593.0036,0.04808551,0.017363,0.04266576,0.1139975,0.0926168
593.4857,0.04837754,0.01993973,0.04018076,0.1130974,0.09266688
593.9678,0.0483058,0.02389952,0.0366905,0.1123516,0.09176153
594.45,0.04810509,0.0284762,0.03234424,0.1117532,0.08998413
594.9321,0.04806925,0.0329477,0.027524,0.1112005,0.08773257
595.4142,0.04838848,0.03679169,0.02278915,0.1105766,0.08558638
595.8963,0.04906543,0.03968119,0.01881792,0.1098231,0.08419199
596.3784,0.04989529,0.04153012,0.01616283,0.1090125,0.08400463
596.8605,0.05058674,0.04242373,0.01506474,0.1083469,0.08512402
597.3427,0.05088261,0.04254439,0.0154061,0.1081386,0.08726346
597.8248,0.05071357,0.04209087,0.01674635,0.1087027,0.08985227
598.3069,0.0502363,0.04124391,0.01851551,0.1102375,0.09227923
598.789,0.04981258,0.04020569,0.02014252,0.1127443,0.09406367
599.2711,0.04987045,0.03921999,0.02125883,0.1159687,0.09506974
599.7532,0.05074118,0.03858461,0.02175628,0.1194594,0.09551207
600.2354,0.05253672,0.03864256,0.02175494,0.1226479,0.09585048
600.7175,0.05507564,0.03965942,0.02149602,0.1250575,0.09652491
601.1996,0.05796115,0.04172126,0.02121042,0.126415,0.09774102
601.6817,0.06069785,0.04465673,0.02104299,0.1266888,0.09936352
602.1638,0.06288886,0.0480442,0.02102602,0.1260622,0.1009811
602.6459,0.06431203,0.05128986,0.02113237,0.1248413,0.1020806
603.1281,0.06493887,0.05374377,0.02134249,0.1233811,0.1022348
603.6102,0.06489867,0.05493073,0.02168083,0.1219855,0.1012939
604.0923,0.06439856,0.05464929,0.02221775,0.1208903,0.09941284
604.5744,0.06364557,0.05304086,0.02302159,0.1202609,0.09699804
605.0565,0.062768,0.05051187,0.02409871,0.1201814,0.09450739
605.5386,0.06180632,0.04760814,0.02535254,0.1206689,0.09230845
606.0208,0.06072535,0.0448467,0.02658024,0.1216462,0.09055896
606.5029,0.05946735,0.04255058,0.02754495,0.1229276,0.08920785
606.985,0.05799729,0.04083759,0.0280394,0.1241861,0.08809357
607.4671,0.05633488,0.03963834,0.02797442,0.124983,0.08706531
607.9492,0.05454826,0.03880234,0.02741571,0.1248909,0.08606986
608.4313,0.05272751,0.03818897,0.02656722,0.1235838,0.08515873
608.9135,0.05093576,0.03774513,0.02569876,0.1210017,0.08443639
