absorbance_3.8_1A,3.8_1A,3.8_2A,3.8_3A
592.0394,0.02560814,0.03971961,0.05225912
592.5215,0.02351287,0.04446488,0.05062965
593.0036,0.02270322,0.04867046,0.04992909
593.4857,0.02320131,0.05186278,0.04999969
593.9678,0.02465055,0.05390597,0.05062977
594.45,0.02644395,0.05490852,0.05161357
594.9321,0.02793253,0.05511323,0.05278908
595.4142,0.02862882,0.05476544,0.05402524
595.8963,0.02826193,0.05406997,0.05516668
596.3784,0.02685929,0.05316661,0.0560215
596.8605,0.02468993,0.05215507,0.05638934
597.3427,0.02220833,0.05114543,0.05608254
597.8248,0.01993236,0.05026896,0.05500975
598.3069,0.01833916,0.04965795,0.05322514
598.789,0.0178267,0.04941497,0.05096223
599.2711,0.01858821,0.04954489,0.04859843
599.7532,0.02055718,0.04992659,0.04656278
600.2354,0.02337149,0.05031681,0.04524726
600.7175,0.02645588,0.05043362,0.04485621
601.1996,0.02917322,0.05005157,0.04537026
601.6817,0.03095473,0.04906279,0.04656813
602.1638,0.03149486,0.04752082,0.04812558
602.6459,0.03078657,0.04561695,0.049705
603.1281,0.02911863,0.04364546,0.05100939
603.6102,0.02696896,0.04191247,0.05183985
604.0923,0.02489702,0.0406886,0.05207305
604.5744,0.02341457,0.04016064,0.05163501
605.0565,0.02283181,0.04039202,0.0504863
605.5386,0.02324152,0.04133861,0.04861136
606.0208,0.02452249,0.04286476,0.04604326
606.5029,0.02642243,0.04479168,0.04288949
606.985,0.02862445,0.04691711,0.03936946
607.4671,0.03081731,0.04905301,0.03581398
607.9492,0.03275694,0.05106862,0.0325915
608.4313,0.03425442,0.05289011,0.03007844
608.9135,0.03518824,0.05450385,0.02855918
609.3956,0.0355051,0.05592737,0.02815974
609.8777,0.03521629,0.05716455,0.02884414
610.3598,0.03439911,0.05816606,0.03041733
610.8419,0.03318024,0.0588221,0.0325923
611.324,0.03172482,0.05897068,0.03501553
611.8062,0.03019068,0.05846224,0.03734636
612.2883,0.02868388,0.05722888,0.03931658
612.7704,0.02724905,0.05532885,0.04073439
613.2525,0.02585898,0.05296367,0.04152847
613.7346,0.02445015,0.05043087,0.041745
614.2167,0.02295864,0.04808718,0.04155097
614.6989,0.021375,0.04623999,0.04120269
615.181,0.01976681,0.04507798,0.04099156
615.6631,0.01829068,0.04464338,0.04119651
616.1452,0.0171469,0.04482168,0.04197662
616.6273,0.01652207,0.04539436,0.0433221
617.1094,0.01653889,0.0460889,0.04504163
617.5916,0.01719784,0.046671,0.04683111
618.0737,0.01837566,0.04697683,0.04836969
618.5558,0.01984353,0.04692375,0.04941534
619.0379,0.02134086,0.04650815,0.04989326
619.52,0.0226264,0.04577751,0.04989189
620.0021,0.02354058,0.04480536,0.04962098
620.4843,0.02406035,0.04366256,0.04929975
620.9664,0.0242957,0.04240967,0.04908104
621.4485,0.02447008,0.04109213,0.04898086
621.9306,0.02483205,0.03974105,0.0488843
622.4127,0.0256042,0.03838343,0.04860308
622.8948,0.0269048,0.03705473,0.0479747
623.377,0.02870985,0.03580626,0.04695843
623.8591,0.03085998,0.03472086,0.04567312
624.3412,0.03310344,0.03390926,0.04438139
624.8233,0.03519251,0.03348548,0.0433824
625.3054,0.03693203,0.03354869,0.04292874
625.7875,0.03824588,0.03414129,0.04311344
626.2697,0.03916983,0.03522709,0.0438458
626.7518,0.03980561,0.03669005,0.04488772
627.2339,0.04024666,0.03835835,0.0459519
627.716,0.04052215,0.04005332,0.04681057
628.1981,0.04057414,0.04161114,0.04733358
628.6802,0.0402763,0.04292593,0.04751772
629.1624,0.03948816,0.0439596,0.04744725
629.6445,0.03809686,0.04473252,0.04724523
630.1266,0.03607623,0.04530603,0.04701139
630.6087,0.03349826,0.04575471,0.04678438
631.0908,0.03052959,0.04614791,0.04653397
631.5729,0.02738521,0.04653001,0.04617839
632.0551,0.02429087,0.04692082,0.04562095
632.5372,0.02146673,0.04732403,0.04478375
633.0193,0.01908812,0.04773398,0.04364666
633.5014,0.0172851,0.04814373,0.04226222
633.9835,0.01614145,0.04854259,0.04076273
634.4656,0.0156807,0.04891524,0.03932957
634.9478,0.01586717,0.04923659,0.03816645
635.4299,0.01660489,0.04947645,0.03745673
635.912,0.01775742,0.04961343,0.03730283
636.3941,0.01915823,0.04964859,0.03771065
636.8762,0.02063116,0.04961894,0.03857676
637.3583,0.02202569,0.04959246,0.03972546
637.8405,0.02321799,0.04965926,0.0409363
638.3226,0.02412875,0.04990375,0.04200049
638.8047,0.02473311,0.05037017,0.04277933
639.2868,0.02505633,0.05104629,0.04321728
639.7689,0.0251689,0.05185472,0.04335332
640.251,0.02516203,0.05268005,0.04328625
640.7332,0.02513197,0.05339218,0.04314077
641.2153,0.02514606,0.05389307,0.04301962
641.6974,0.02521917,0.05414745,0.04297606
642.1795,0.02530742,0.05418674,0.0430227
642.6616,0.02531887,0.05409655,0.04314647
643.1437,0.02515034,0.05397522,0.04333372
643.6259,0.02471835,0.05390469,0.04358263
644.108,0.02400745,0.05390929,0.04390271
644.5901,0.02308184,0.05395012,0.0442991
645.0722,0.02208098,0.05393531,0.04475383
645.5543,0.02117326,0.0537595,0.04521869
646.0364,0.02050099,0.05334491,0.04562586
646.5186,0.02014603,0.05266781,0.0459025
647.0007,0.0201004,0.05177704,0.04600157
647.4828,0.02027917,0.05078036,0.04591452
647.9649,0.02055377,0.04982654,0.04566981
648.447,0.02080708,0.04905242,0.0453174
648.9291,0.02096977,0.04855159,0.04490795
649.4113,0.02103372,0.0483518,0.04448279
649.8934,0.02103442,0.04841372,0.04407234
650.3755,0.02101263,0.04865361,0.04371523
650.8576,0.02097413,0.04897086,0.04347768
651.3397,0.02087713,0.04928395,0.04345034
651.8218,0.02064277,0.04954302,0.04373459
652.304,0.02019439,0.04973992,0.04440224
652.7861,0.01950733,0.04990198,0.04544992
653.2682,0.01863532,0.05007976,0.04677573
653.7503,0.01771523,0.05032856,0.04818387
654.2324,0.01691821,0.0506828,0.0494501
654.7145,0.01641342,0.05114153,0.05036628
655.1967,0.01630505,0.05165336,0.0508193
655.6788,0.01660385,0.05212379,0.05082711
656.1609,0.01723301,0.05242106,0.05052952
656.643,0.01806165,0.05241149,0.05013738
657.1251,0.01896171,0.05200274,0.04984318
657.6072,0.01983515,0.051167,0.04977627
658.0894,0.020641,0.04997143,0.04995263
658.5715,0.0213884,0.04856671,0.05029009
659.0536,0.02211155,0.04717606,0.05064635
659.5357,0.0228432,0.04603002,0.05088759
660.0178,0.02359516,0.04530104,0.05094232
660.4999,0.02435726,0.04507721,0.05081672
660.9821,0.02510545,0.04533868,0.05058286
661.4642,0.02581684,0.04598898,0.05033877
661.9463,0.02647658,0.04688781,0.05017669
662.4284,0.0270789,0.04790161,0.05014696
662.9105,0.02762015,0.04892821,0.05025434
663.3926,0.02809038,0.04990032,0.05046526
663.8748,0.02847121,0.05078789,0.0507274
664.3569,0.0287427,0.05157827,0.05098821
664.839,0.02889586,0.05226096,0.05120836
665.3211,0.02895152,0.05281943,0.0513695
665.8032,0.02897638,0.05322761,0.05147475
666.2853,0.02908511,0.05346115,0.05153631
666.7675,0.02942016,0.05351414,0.05156694
667.2496,0.03007719,0.0534358,0.0515454
667.7317,0.03098593,0.0533535,0.05141294
668.2138,0.03184721,0.05344255,0.05114241
668.6959,0.03231709,0.053801,0.05080236
669.178,0.03236897,0.05430808,0.05053556
669.6602,0.03228047,0.05471276,0.05042363
670.1423,0.03231215,0.05483796,0.05044599
670.6244,0.03253785,0.05466865,0.05052221
671.1065,0.03291255,0.05429129,0.05058678
671.5886,0.03335173,0.05384081,0.05063513
672.0707,0.03376936,0.05344748,0.05071723
672.5529,0.03409905,0.05319035,0.05090666
673.035,0.03428892,0.05307469,0.05126129
673.5171,0.03432104,0.05301116,0.05178076
673.9992,0.03421145,0.05285406,0.05239817
674.4813,0.03400288,0.05244593,0.05299019
674.9634,0.03374201,0.05170165,0.05343049
675.4456,0.03345726,0.05065264,0.05364093
675.9277,0.03315153,0.04945939,0.05361986
676.4098,0.03280384,0.04836197,0.05345011
676.8919,0.03239027,0.04759759,0.05326162
677.374,0.0319117,0.04733692,0.05318935
677.8561,0.03141651,0.04761997,0.05330809
678.3383,0.03100215,0.04836871,0.05360952
678.8204,0.03080556,0.04942451,0.05400807
679.3025,0.03095163,0.05062184,0.05438446
679.7846,0.03150934,0.05183506,0.0546359
680.2667,0.03244815,0.05299966,0.05471884
680.7488,0.03362817,0.05411072,0.05466945
681.231,0.03481857,0.05518543,0.05458561
681.7131,0.03574857,0.05622325,0.05458792
682.1952,0.03620377,0.05718385,0.05476332
682.6773,0.03607272,0.05798816,0.05513669
683.1594,0.03539711,0.05854936,0.05565844
683.6415,0.03436187,0.05882169,0.05622676
684.1237,0.03326568,0.05883167,0.05671242
684.6058,0.03244276,0.05869227,0.05700035
685.0879,0.03214842,0.05856159,0.05702598
685.57,0.03251719,0.05860655,0.05678104
686.0521,0.03351645,0.05893854,0.05631641
686.5342,0.03497724,0.05957553,0.05572024
687.0164,0.03662876,0.06043854,0.0551116
687.4985,0.03817641,0.06137198,0.05461767
687.9806,0.03938855,0.06220521,0.05434927
688.4627,0.0401249,0.06278931,0.05439469
688.9448,0.04037644,0.06305687,0.05479667
689.4269,0.04023725,0.06303485,0.05554558
689.9091,0.03986631,0.06283152,0.05658044
690.3912,0.03942449,0.06259701,0.05780062
690.8733,0.03902953,0.06247587,0.05908738
691.3554,0.03874714,0.0625868,0.06030949
691.8375,0.0385851,0.06299152,0.06135519
692.3196,0.03851708,0.0636905,0.06214985
692.8018,0.03850336,0.06462706,0.06266764
693.2839,0.03851409,0.06570112,0.06294268
693.766,0.03853942,0.06678815,0.06306283
694.2481,0.03858752,0.06774883,0.06315795
694.7302,0.0386771,0.06846453,0.06335801
695.2123,0.03882734,0.06885265,0.06375606
695.6945,0.03905111,0.0688828,0.06436788
696.1766,0.03935196,0.06858456,0.06510498
696.6587,0.03972593,0.06803782,0.06577925
697.1408,0.04016574,0.06735055,0.06613309
697.6229,0.04066341,0.0666215,0.06593359
698.105,0.04120938,0.06592669,0.0650351
698.5872,0.04179154,0.06530982,0.06346095
699.0693,0.04239353,0.06478702,0.06142011
699.5514,0.04299664,0.06436865,0.05929428
700.0335,0.04358146,0.06407614,0.05755045
700.5156,0.04413328,0.0639488,0.05658207
700.9977,0.04464117,0.06404499,0.05664105
701.4799,0.04509649,0.06442674,0.05774758
701.962,0.04549013,0.06513657,0.05970839
702.4441,0.04580878,0.06618423,0.06215995
702.9262,0.04603991,0.06753324,0.06467648
703.4083,0.046181,0.06910856,0.06690329
703.8904,0.04624994,0.07080092,0.06859908
704.3726,0.04629302,0.07249309,0.06970113
704.8547,0.04637348,0.07408298,0.07029229
705.3368,0.04656209,0.07548484,0.07054974
705.8189,0.04690399,0.07664184,0.07066416
706.301,0.04739758,0.07752615,0.07078222
706.7831,0.04798514,0.07813676,0.0709994
707.2653,0.04856726,0.07850599,0.07135523
707.7474,0.04903847,0.07869694,0.07185782
708.2295,0.04932149,0.07880673,0.07250172
708.7116,0.04940831,0.07894474,0.07327366
709.1937,0.0493662,0.07921387,0.07414904
709.6758,0.04932645,0.07969577,0.07508479
710.158,0.04943325,0.08042823,0.07602777
710.6401,0.04979876,0.08140458,0.07693011
711.1222,0.05046914,0.08258065,0.07777433
711.6043,0.05141266,0.08389773,0.07859465
712.0864,0.05254925,0.08530234,0.0794792
712.5685,0.05379521,0.08676466,0.08055265
713.0507,0.05511849,0.0882874,0.08192784
713.5328,0.05655586,0.0898977,0.08367373
714.0149,0.05820471,0.09163432,0.08578507
714.497,0.06016739,0.09352692,0.08818641
714.9791,0.06249893,0.09558319,0.09075027
715.4612,0.06515336,0.09777555,0.09333608
715.9434,0.0679877,0.1000427,0.09583633
716.4255,0.0707815,0.1022836,0.09817921
716.9076,0.07331073,0.104366,0.1003251
717.3897,0.07543088,0.1061466,0.1022437
717.8718,0.07710753,0.1074756,0.1038843
718.3539,0.07843815,0.1082325,0.1051712
718.8361,0.07959688,0.1083628,0.1060242
