absorbance_6.1_1A,6.1_1A,absorbance_6.1_2A,6.1_2A,6.1_3A,6.1_4A
566.0,0.0309,566.9693,0.05801234,0.04543128,0.05095838
567.0,0.0321,567.4514,0.05876089,0.05010765,0.05153877
567.0,0.0349,567.9335,0.05955373,0.05321206,0.05237107
568.0,0.0386,568.4156,0.06008916,0.05381551,0.05203983
568.0,0.0425,568.8978,0.06011836,0.05173845,0.0528123
569.0,0.0455,569.3799,0.05951374,0.0475898,0.05495131
569.0,0.0471,569.862,0.05834853,0.0424858,0.05537251
570.0,0.047,570.3441,0.05690466,0.03762687,0.05597524
570.0,0.0454,570.8262,0.05564679,0.03401076,0.05801887
571.0,0.0426,571.3083,0.05508239,0.03214069,0.06056293
571.0,0.0392,571.7905,0.0556341,0.03206655,0.0633301
572.0,0.0359,572.2726,0.0575171,0.03350966,0.06602868
572.0,0.0332,572.7547,0.06065093,0.0360695,0.06996974
573.0,0.0314,573.2368,0.06468634,0.03936978,0.07213904
573.0,0.0308,573.7189,0.06907596,0.04310238,0.07379784
574.0,0.0313,574.201,0.0732494,0.04701832,0.07475463
574.0,0.0329,574.6832,0.07667265,0.05079569,0.07462205
575.0,0.0351,575.1653,0.07895758,0.05396352,0.07299102
575.0,0.0377,575.6474,0.07993971,0.05600686,0.06971814
576.0,0.0399,576.1295,0.07965373,0.05651442,0.06516077
576.0,0.0416,576.6116,0.07826181,0.05542571,0.06020685
577.0,0.0426,577.0938,0.07591534,0.05309721,0.05592533
577.0,0.043,577.5759,0.07265756,0.05019989,0.05323121
578.0,0.0431,578.058,0.06840768,0.04748641,0.05257905
578.0,0.0435,578.5401,0.06305116,0.04553035,0.05381544
579.0,0.0443,579.0222,0.05657407,0.04467329,0.05622547
579.0,0.0456,579.5043,0.04922605,0.04492587,0.05879698
580.0,0.0473,579.9865,0.04157047,0.04601078,0.06059005
580.0,0.049,580.4686,0.03451419,0.04743967,0.06103906
580.0,0.0504,580.9507,0.0290599,0.04869807,0.0601006
581.0,0.0513,581.4328,0.02597813,0.04943399,0.05814582
581.0,0.0514,581.9149,0.02564579,0.0495133,0.05577593
582.0,0.051,582.397,0.02791257,0.04902459,0.05359616
582.0,0.0502,582.8792,0.03222791,0.04817085,0.05207985
583.0,0.0493,583.3613,0.03776822,0.04718728,0.05155998
583.0,0.0484,583.8434,0.04366964,0.04625852,0.05220289
584.0,0.0479,584.3255,0.04918944,0.04549707,0.05402707
584.0,0.0477,584.8076,0.05374241,0.04496695,0.05685193
585.0,0.0482,585.2897,0.05701409,0.04469306,0.06027737
585.0,0.0493,585.7719,0.058929,0.04468001,0.06373256
586.0,0.0511,586.254,0.05960048,0.04489929,0.06655253
586.0,0.0532,586.7361,0.05927213,0.045271,0.06819703
587.0,0.0554,587.2182,0.05826337,0.04565029,0.0672781
587.0,0.0573,587.7003,0.05694336,0.04583245,0.06529649
588.0,0.0589,588.1824,0.05566087,0.04561659,0.06274216
588.0,0.0599,588.6646,0.0547315,0.04486209,0.06017675
589.0,0.0606,589.1467,0.05440084,0.04355915,0.05809586
589.0,0.0613,589.6288,0.05479002,0.04186457,0.05679466
590.0,0.0621,590.1109,0.05588304,0.04010784,0.056374
590.0,0.0633,590.593,0.0575114,0.03875091,0.05674793
591.0,0.0644,591.0751,0.05941175,0.03823774,0.0577044
591.0,0.065,591.5573,0.06128857,0.03889506,0.05894923
592.0,0.0642,592.0394,0.06293122,0.0407829,0.06017841
592.0,0.0616,592.5215,0.06428519,0.04366391,0.06116903
593.0,0.057,593.0036,0.06542839,0.04705455,0.06180478
593.0,0.0509,593.4857,0.06647122,0.05036586,0.06211036
593.0,0.0442,593.9678,0.06743336,0.05307825,0.06221633
594.0,0.0379,594.45,0.06817044,0.05476235,0.06232319
594.0,0.0331,594.9321,0.06837761,0.05514545,0.06261919
595.0,0.0303,595.4142,0.06771399,0.05412181,0.06319374
595.0,0.0295,595.8963,0.0659183,0.05172616,0.06397606
596.0,0.0306,596.3784,0.06299432,0.04814038,0.06470636
596.0,0.0329,596.8605,0.05926368,0.04365154,0.06501123
597.0,0.0356,597.3427,0.05536707,0.0386515,0.06448609
597.0,0.038,597.8248,0.05208573,0.03357024,0.06288025
598.0,0.0398,598.3069,0.05010941,0.02881882,0.06021772
598.0,0.0408,598.789,0.04990087,0.02479389,0.05686248
599.0,0.0411,599.2711,0.05149277,0.02178702,0.05345237
599.0,0.041,599.7532,0.05448514,0.01995342,0.05070732
600.0,0.0408,600.2354,0.05809643,0.01930051,0.04924436
600.0,0.0408,600.7175,0.06142751,0.01969968,0.04930524
601.0,0.0411,601.1996,0.06370269,0.02094886,0.05071334
601.0,0.0417,601.6817,0.06442782,0.022832,0.05295065
602.0,0.0426,602.1638,0.06353171,0.02518725,0.05540755
602.0,0.0436,602.6459,0.06130985,0.02790164,0.05758284
603.0,0.0444,603.1281,0.05833209,0.03086698,0.05920488
603.0,0.0451,603.6102,0.05523056,0.03393922,0.0602712
604.0,0.0453,604.0923,0.05256265,0.0368988,0.06093857
604.0,0.045,604.5744,0.05068184,0.03946535,0.0613853
605.0,0.0443,605.0565,0.0496475,0.0413939,0.06167758
605.0,0.0433,605.5386,0.04925901,0.04254794,0.06173374
606.0,0.0423,606.0208,0.04912485,0.04298704,0.06137144
606.0,0.0417,606.5029,0.04882866,0.0429604,0.06043763
607.0,0.0417,606.985,0.0480317,0.0428583,0.05891261
607.0,0.0424,607.4671,0.04660837,0.04307825,0.05698396
607.0,0.0437,607.9492,0.04469091,0.04385302,0.0549911
608.0,0.0452,608.4313,0.04264756,0.04517362,0.05334621
608.0,0.0467,608.9135,0.04097266,0.04675227,0.05237664
609.0,0.0475,609.3956,0.04009587,0.04814377,0.05221117
609.0,0.0475,609.8777,0.04028718,0.04884928,0.05277248
610.0,0.0465,610.3598,0.04153572,0.04851002,0.05381489
610.0,0.0446,610.8419,0.04357321,0.04702614,0.05503763
611.0,0.0421,611.324,0.04592849,0.04457259,0.05613559
611.0,0.0394,611.8062,0.04809022,0.04154783,0.05687179
612.0,0.0369,612.2883,0.04967351,0.03841716,0.05709118
612.0,0.0349,612.7704,0.05047801,0.03562107,0.05668717
613.0,0.0335,613.2525,0.05053845,0.03344275,0.05560416
613.0,0.0329,613.7346,0.05004907,0.03198607,0.05384474
614.0,0.0331,614.2167,0.04928226,0.03122866,0.05150652
614.0,0.034,614.6989,0.04847218,0.0310814,0.04881152
615.0,0.0356,615.181,0.04775747,0.03144694,0.04609638
615.0,0.0377,615.6631,0.04718743,0.03222324,0.04378921
616.0,0.0401,616.1452,0.04675974,0.03329157,0.04226716
616.0,0.0423,616.6273,0.04648926,0.03448066,0.04174881
617.0,0.0442,617.1094,0.04646402,0.03554722,0.0422274
