absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5,2.8_1A,2.8_2A,2.8_3A,2.8_4A,3.10_1A,3.10_2A,3.10_3A,3.10_4A,3.10_5A,3.1_1,3.1_2,3.1_3,3.1_4,4.3_1A,4.3_2A,4.3_3A,4.3_4A,4.3_5A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
533.7032,0.06107166,0.04065795,0.02146138,0.09392622,0.0617112,0.01131475,0.02188126,0.01001095,0.003463849,0.03420582,0.04879729,0.01026574,0.06568792,0.01052732,0.005381696,0.02974658,0.01554759,0.02349074,0.009767726,0.01619352,0.02964255,0.03752927,0.1062366,0.01594456,0.06569247,0.01611706,0.03503538,0.06404086
534.1854,0.0633094,0.04286514,0.02097105,0.09228519,0.06702989,0.01186632,0.02210582,0.01665683,0.0,0.02001718,0.04983369,0.01061695,0.06750727,0.009155393,0.001422614,0.02915704,0.0160502,0.02088016,0.002981097,0.004945368,0.02759639,0.03885394,0.1091471,0.01469718,0.07617337,0.01236388,0.0292433,0.05844894
534.6675,0.06513867,0.0461602,0.01946981,0.08871292,0.07015724,0.01287462,0.02480054,0.02467414,0.00250677,0.01201563,0.05026427,0.01024477,0.06770508,0.008835813,0.0,0.02960886,0.01799217,0.01884535,0.0,0.0,0.02840684,0.04058491,0.1073505,0.01665099,0.08501709,0.0102564,0.02397319,0.05355399
535.1496,0.06669914,0.04983686,0.01697055,0.08376202,0.07145816,0.01516095,0.02898459,0.03333944,0.009956878,0.01004112,0.04940543,0.008805748,0.06590647,0.008848354,0.001159012,0.03102438,0.02171996,0.01794246,0.0002547577,0.003100544,0.03145819,0.04152754,0.1001052,0.02188681,0.09222569,0.009099731,0.01992379,0.04910494
535.6317,0.0680756,0.0529579,0.01378039,0.07763819,0.07182307,0.01939381,0.03323853,0.0415294,0.02002692,0.01231471,0.04689524,0.006493904,0.06160662,0.008241769,0.004235774,0.03333306,0.02737128,0.01820292,0.002619646,0.01368783,0.03502529,0.04089171,0.08804932,0.02933161,0.09794953,0.008131851,0.01763923,0.04451635
536.1138,0.06916609,0.05474574,0.01057305,0.07034263,0.07194628,0.02541047,0.03630727,0.0479738,0.03016961,0.01631065,0.04290811,0.004182849,0.05443017,0.006485399,0.008125573,0.03669716,0.0347341,0.01926715,0.005940616,0.02921856,0.03716465,0.03886991,0.07313472,0.03715905,0.1022985,0.006994683,0.01735156,0.03944017
536.5959,0.06944022,0.05500004,0.008285418,0.06213254,0.07184297,0.03180541,0.03753796,0.05158463,0.03873488,0.02031942,0.03807338,0.003058411,0.04452607,0.003896661,0.01185082,0.04154665,0.04323404,0.02045656,0.009715796,0.04609457,0.03694127,0.03670491,0.05799428,0.04335265,0.1052489,0.006181045,0.01899831,0.03407776
537.0781,0.06778817,0.05401346,0.007909216,0.0537399,0.07094279,0.03642401,0.0369975,0.05170813,0.04541584,0.02438934,0.03334294,0.00416474,0.03283571,0.001666242,0.01511419,0.04834634,0.05193195,0.02090427,0.01472789,0.06018286,0.03468869,0.03617022,0.04542977,0.04625838,0.1066563,0.00706007,0.02227126,0.02938136
537.5602,0.0631836,0.05228822,0.009916637,0.0461452,0.06866083,0.03774583,0.03537161,0.0484926,0.05088304,0.02964021,0.02960275,0.007813245,0.02093935,0.001295485,0.01830299,0.05700465,0.05979583,0.01992087,0.02219059,0.06821234,0.03156044,0.03855747,0.03738809,0.04536615,0.106396,0.01085194,0.02666271,0.02667544
538.0423,0.05545316,0.0500929,0.01403699,0.04038201,0.06484964,0.03567075,0.03352941,0.04289161,0.05584346,0.03639641,0.02736174,0.01336567,0.01062212,0.004017938,0.02191797,0.06658423,0.06599545,0.01719872,0.03219086,0.06863655,0.02897269,0.04393211,0.0345044,0.04130144,0.1045227,0.01759017,0.03154536,0.02676797
538.5244,0.04575539,0.04787322,0.01928402,0.03719188,0.05984714,0.03135633,0.03216782,0.03652408,0.06046913,0.04315074,0.02664991,0.0195953,0.003605537,0.01031181,0.02593408,0.07517593,0.07008152,0.01310086,0.04262232,0.06205841,0.02833436,0.05146706,0.03610193,0.03549383,0.1014136,0.02573652,0.03618788,0.02955241
539.0065,0.03465701,0.04814392,0.02172282,0.0441181,0.05540588,0.02901037,0.03151189,0.03113677,0.06149247,0.04756843,0.0271065,0.02180348,0.001257136,0.01604919,0.026417,0.0773057,0.07211582,0.01033923,0.04741911,0.05234227,0.02945122,0.06030292,0.04056264,0.02951476,0.09775058,0.03204372,0.03990663,0.03172321
539.4886,0.0278322,0.04907662,0.0250931,0.04536655,0.05168001,0.02821098,0.03138629,0.02814035,0.06330505,0.04628393,0.02828905,0.02412337,0.002290055,0.02442474,0.02932297,0.07635264,0.072494,0.007245559,0.04880086,0.04231115,0.03431419,0.06713159,0.04592366,0.02517019,0.09438652,0.03533166,0.04213953,0.03436557
539.9708,0.02190706,0.04912202,0.02645001,0.04940138,0.04822088,0.02895506,0.03143593,0.02829743,0.06375243,0.04033721,0.02992747,0.02431121,0.006330699,0.03312576,0.03118423,0.07015242,0.07172988,0.003535628,0.04487588,0.02995096,0.0414968,0.07238767,0.05025954,0.02052387,0.09220666,0.03603125,0.04249339,0.03546324
540.4529,0.01799034,0.05006662,0.02548076,0.05497242,0.04578649,0.03282779,0.03142568,0.03143407,0.06234696,0.03004162,0.03204239,0.02166101,0.01139956,0.03819083,0.03142175,0.05833989,0.07018469,0.001175459,0.0359319,0.02032505,0.04964225,0.07519113,0.05226271,0.01624803,0.09182873,0.03376398,0.04084743,0.03298673
540.935,0.01500224,0.05193229,0.02278129,0.06190022,0.04338047,0.03813492,0.03141191,0.03656221,0.0599232,0.01825055,0.03480522,0.01696346,0.01576756,0.03816153,0.0300659,0.04282817,0.06796987,0.0007287972,0.02504608,0.01485927,0.0576272,0.07601748,0.05143637,0.01181385,0.09347904,0.03052001,0.03736287,0.02699688
541.4171,0.01103351,0.05171673,0.0211429,0.06676998,0.03833295,0.039354,0.03176376,0.04215223,0.05983448,0.009263165,0.03825267,0.01402117,0.01822203,0.03662366,0.02969643,0.02911794,0.06499739,0.0,0.01868316,0.01032551,0.06513546,0.07599402,0.04822571,0.006049126,0.09692943,0.030426,0.03245907,0.02081245
541.8992,0.008931726,0.05394623,0.02075613,0.06802225,0.0325178,0.03939956,0.03294975,0.0467624,0.06117752,0.003334783,0.04203583,0.0113842,0.01789916,0.02997192,0.02976476,0.016917,0.06116707,0.002956484,0.01692882,0.01485567,0.070535,0.07457907,0.04380871,0.002394944,0.10161,0.03216001,0.02666602,0.0135444
542.3813,0.005118527,0.05694872,0.020357,0.07372732,0.02508044,0.03656941,0.03529872,0.04937172,0.06256475,0.002592072,0.04532837,0.008129057,0.01597516,0.02012051,0.0278911,0.006668068,0.05653928,0.008494701,0.01955947,0.02393886,0.07258575,0.07363375,0.0397267,0.0,0.1067909,0.03703131,0.02051102,0.00659246
542.8635,0.001773976,0.05937581,0.02204417,0.0777186,0.01644026,0.03085171,0.0387805,0.04959311,0.06551073,0.005306654,0.04695993,0.006361317,0.01286657,0.01094497,0.02680728,0.001070205,0.05146603,0.01491918,0.02718752,0.03653482,0.0719672,0.07238184,0.03743606,2.688169e-05,0.1117851,0.04418179,0.01445457,0.002069153
543.3456,0.0,0.06071057,0.02563288,0.07905138,0.007987902,0.02418122,0.04299325,0.04766125,0.06918123,0.009097867,0.04586159,0.005853772,0.009479992,0.003897967,0.026754,0.0,0.04650392,0.02114536,0.03722537,0.05157294,0.06923132,0.07037179,0.03782113,0.00293456,0.1161631,0.05153127,0.00886903,0.0
543.8277,0.0001530573,0.05969847,0.0277636,0.07765682,0.003984779,0.02259238,0.04727545,0.04425801,0.07107829,0.01073381,0.0413633,0.005266361,0.005960099,0.00105712,0.02703077,0.0004464909,0.04231001,0.02570717,0.04588293,0.06487234,0.06165194,0.06668973,0.04108965,0.007518217,0.1197523,0.05353816,0.004195027,0.002896905
544.3098,0.003692277,0.05793365,0.03293044,0.07186048,0.0004019067,0.02008379,0.05095817,0.04033551,0.0731001,0.0103493,0.03358142,0.006560512,0.00405284,0.0,0.02901611,0.005993076,0.0394346,0.02898186,0.05155167,0.08118543,0.05802574,0.0626066,0.04665431,0.01524492,0.1226128,0.05461887,0.001028821,0.004052766
544.7919,0.009749852,0.05497635,0.03812477,0.06283793,0.0,0.02004488,0.05368648,0.03681155,0.0735767,0.007393591,0.02353125,0.008860283,0.003384091,0.001632869,0.03182808,0.01371412,0.03810304,0.03050982,0.05240003,0.09693884,0.05642548,0.05817193,0.05332448,0.02421458,0.1248973,0.05169109,0.0,0.005489878
545.274,0.01740228,0.05150031,0.04403361,0.05177862,0.001292527,0.01991902,0.05555318,0.03444773,0.07312678,0.003761254,0.01311577,0.01257687,0.003966503,0.004866526,0.03550956,0.02353605,0.03811142,0.03092792,0.04922782,0.1123349,0.05904257,0.05434582,0.05950648,0.033782,0.1266829,0.04722221,0.001574844,0.005747579
