absorbance_2.8_1A,2.8_1A,2.8_2A,2.8_3A,2.8_4A
525.5073,0.02870383,0.008616172,0.02385294,0.07625049
525.9894,0.0319697,0.01855841,0.02465926,0.08050445
526.4715,0.03331334,0.02805249,0.02298107,0.08067155
526.9536,0.03352925,0.0356871,0.02011832,0.07659763
527.4357,0.02823888,0.04084956,0.01712745,0.07246663
527.9178,0.02428569,0.04373992,0.01450215,0.06752934
528.4,0.02290214,0.04503167,0.01229951,0.06091248
528.8821,0.02382044,0.04555032,0.01031534,0.05501153
529.3642,0.02556957,0.04591111,0.008325506,0.05069662
529.8463,0.0260718,0.04633715,0.006224319,0.04862213
530.3284,0.02435184,0.0465298,0.004097451,0.04832485
530.8105,0.02052033,0.04586586,0.002159256,0.048476
531.2927,0.0157591,0.0437031,0.0006982088,0.04720107
531.7748,0.01178654,0.03981394,0.0,0.04287012
532.2569,0.009869948,0.03457966,0.0003182143,0.03468693
532.739,0.009898987,0.02899429,0.001927201,0.0235738
533.2211,0.01063548,0.02438373,0.005097795,0.01214944
533.7032,0.01131475,0.02188126,0.01001095,0.003463849
534.1854,0.01186632,0.02210582,0.01665683,0.0
534.6675,0.01287462,0.02480054,0.02467414,0.00250677
535.1496,0.01516095,0.02898459,0.03333944,0.009956878
535.6317,0.01939381,0.03323853,0.0415294,0.02002692
536.1138,0.02541047,0.03630727,0.0479738,0.03016961
536.5959,0.03180541,0.03753796,0.05158463,0.03873488
537.0781,0.03642401,0.0369975,0.05170813,0.04541584
537.5602,0.03774583,0.03537161,0.0484926,0.05088304
538.0423,0.03567075,0.03352941,0.04289161,0.05584346
538.5244,0.03135633,0.03216782,0.03652408,0.06046913
539.0065,0.02901037,0.03151189,0.03113677,0.06149247
539.4886,0.02821098,0.03138629,0.02814035,0.06330505
539.9708,0.02895506,0.03143593,0.02829743,0.06375243
540.4529,0.03282779,0.03142568,0.03143407,0.06234696
540.935,0.03813492,0.03141191,0.03656221,0.0599232
541.4171,0.039354,0.03176376,0.04215223,0.05983448
541.8992,0.03939956,0.03294975,0.0467624,0.06117752
542.3813,0.03656941,0.03529872,0.04937172,0.06256475
542.8635,0.03085171,0.0387805,0.04959311,0.06551073
543.3456,0.02418122,0.04299325,0.04766125,0.06918123
543.8277,0.02259238,0.04727545,0.04425801,0.07107829
544.3098,0.02008379,0.05095817,0.04033551,0.0731001
544.7919,0.02004488,0.05368648,0.03681155,0.0735767
545.274,0.01991902,0.05555318,0.03444773,0.07312678
545.7562,0.02393365,0.05709775,0.03364217,0.06992185
546.2383,0.02683405,0.05898478,0.03437367,0.06453022
546.7204,0.02779806,0.06170546,0.03627482,0.06032393
547.2025,0.02784209,0.06524245,0.03874186,0.05619878
547.6846,0.02743589,0.06904028,0.04110873,0.0525815
548.1667,0.02722516,0.07209496,0.0426698,0.04965598
548.6489,0.02836491,0.07332618,0.04285038,0.0465409
549.131,0.02870918,0.07202438,0.04137536,0.0451846
549.6131,0.02965754,0.06805608,0.03836065,0.04489626
550.0952,0.03146898,0.06196079,0.03432267,0.04503246
550.5773,0.03422262,0.05467244,0.02998962,0.044883
551.0594,0.03791718,0.04729167,0.02617111,0.04387091
551.5416,0.04258886,0.04073792,0.02353634,0.04182681
552.0237,0.04563748,0.03559509,0.02251077,0.040034
552.5058,0.04568346,0.03211726,0.02326518,0.03962396
552.9879,0.04827938,0.03023059,0.0256528,0.03911901
553.47,0.05002061,0.02965356,0.02926059,0.0388822
553.9521,0.04940359,0.02998285,0.03346416,0.04134481
554.4343,0.04721738,0.03081389,0.03760334,0.04502674
554.9164,0.04425015,0.03178766,0.04108892,0.04860002
