absorbance_3.9_0,3.9_0,3.9_1,3.9_2A,3.9_3A,3.9_4,3.9_5
562.6302,0.01236981,0.02174607,0.04394426,0.02796888,0.02240682,0.0101853
563.1124,0.01058438,0.02309592,0.04090688,0.02726269,0.02515927,0.01517281
563.5945,0.008609465,0.02321279,0.03990118,0.02686165,0.02833489,0.01881848
564.0766,0.00691475,0.02194034,0.04059154,0.02718284,0.03155387,0.01991102
564.5587,0.005849421,0.01952562,0.04249772,0.02830043,0.03466201,0.01806707
565.0408,0.005565787,0.01647164,0.04504339,0.02989114,0.03752787,0.01376084
565.5229,0.005941669,0.01332525,0.04769473,0.0312747,0.03993695,0.00822781
566.0051,0.006668495,0.01052022,0.0500919,0.03169742,0.04152039,0.003052358
566.4872,0.007357392,0.008392867,0.05212164,0.0305587,0.04172972,0.0
566.9693,0.007734334,0.007170914,0.05398862,0.02778033,0.04001115,0.0004998446
567.4514,0.007780977,0.006944107,0.05611706,0.02387946,0.03600544,0.005267296
567.9335,0.007692465,0.007590435,0.0590177,0.01990095,0.02981921,0.01405149
568.4156,0.005851435,0.009458998,0.06301344,0.01889409,0.02375223,0.02295924
568.8978,0.006318551,0.01072592,0.06806855,0.01790759,0.01570647,0.03532515
569.3799,0.006832274,0.01107234,0.07372408,0.01994924,0.008366074,0.04643064
569.862,0.007823257,0.01204239,0.0792144,0.02299043,0.003981115,0.05379714
570.3441,0.008830952,0.013112,0.08368101,0.02681372,0.002687186,0.05706066
570.8262,0.009501621,0.01427712,0.08637127,0.03070625,0.004247807,0.05668028
571.3083,0.009926297,0.01647259,0.08693366,0.03321451,0.008566471,0.05341607
571.7905,0.01024223,0.01991367,0.08550394,0.03374686,0.01485738,0.0487278
572.2726,0.01065142,0.02424275,0.08270663,0.03226804,0.02211715,0.04425427
572.7547,0.01106353,0.02786792,0.07941019,0.02995029,0.02897009,0.04166007
573.2368,0.01190556,0.03106432,0.07649218,0.02620314,0.03583308,0.04093248
573.7189,0.01280179,0.03219335,0.07459366,0.02258146,0.04202028,0.04249986
574.201,0.01354422,0.03090584,0.07393655,0.01987847,0.04759143,0.04584903
574.6832,0.01398827,0.02769879,0.0743503,0.01876897,0.05270286,0.05002979
575.1653,0.01411988,0.02384404,0.0753464,0.01968089,0.05743551,0.05387039
575.6474,0.01400497,0.02084877,0.0763098,0.02263364,0.06171081,0.05639867
576.1295,0.01370276,0.01996072,0.07661278,0.02715224,0.06528848,0.05702972
576.6116,0.0131795,0.02154451,0.0757765,0.0322521,0.06782103,0.05576729
577.0938,0.0123089,0.02494434,0.07358803,0.03677548,0.06896035,0.05311181
577.5759,0.01094444,0.02884965,0.0700831,0.03957351,0.06839991,0.0498527
578.058,0.009003194,0.0319082,0.06555896,0.03990074,0.06592966,0.04678639
578.5401,0.006575945,0.03340203,0.06050459,0.03766042,0.06144167,0.04449385
579.0222,0.004001218,0.03334204,0.05563324,0.03341162,0.05498033,0.04335828
579.5043,0.001770064,0.0323546,0.05178448,0.02826904,0.04684784,0.04351242
579.9865,0.0003487747,0.03125941,0.04972554,0.02350181,0.03766099,0.04487539
580.4686,0.0,0.03066202,0.05001317,0.02032642,0.02833731,0.04718138
580.9507,0.0007092264,0.03070011,0.05272396,0.01947342,0.01985632,0.05005983
581.4328,0.002238603,0.03106544,0.05742339,0.02103995,0.01299615,0.05315101
581.9149,0.004236741,0.03121921,0.06324884,0.0245732,0.008255083,0.05615175
582.397,0.006386723,0.03071425,0.06919977,0.02927207,0.005766457,0.0588624
582.8792,0.008485803,0.02944376,0.07443281,0.0342915,0.005384533,0.06116699
583.3613,0.01045769,0.02772992,0.07835782,0.03889146,0.006771859,0.06296039
583.8434,0.01229428,0.02622022,0.08078318,0.04263677,0.009509705,0.0641316
584.3255,0.01399079,0.0256059,0.08184816,0.04539407,0.01317471,0.06454244
584.8076,0.01552136,0.02643052,0.08191802,0.04726247,0.017332,0.06403768
585.2897,0.01684569,0.02882279,0.08141364,0.04848447,0.02159686,0.06250133
585.7719,0.01795339,0.03248195,0.08067043,0.0493295,0.02561931,0.05988956
586.254,0.01888505,0.03672082,0.07987126,0.05005477,0.02903944,0.05625939
586.7361,0.01973994,0.04073994,0.07902437,0.05084646,0.03151035,0.05178311
587.2182,0.02130174,0.0453377,0.07803167,0.05272681,0.03235681,0.04688371
587.7003,0.02266956,0.04815882,0.07677075,0.05492681,0.0319721,0.04186943
588.1824,0.02370267,0.04898378,0.0751699,0.05715552,0.03049535,0.03715058
588.6646,0.0242475,0.04802918,0.07322666,0.05909893,0.02821317,0.03317592
589.1467,0.02416246,0.04585551,0.07099174,0.06051126,0.02552536,0.03036786
589.6288,0.0233576,0.0431243,0.06853213,0.06129119,0.02283528,0.02900127
590.1109,0.02182138,0.04046197,0.06591468,0.06147169,0.02052,0.02915784
590.593,0.01966826,0.03830564,0.06320734,0.06119163,0.018872,0.03064828
591.0751,0.01713652,0.036811,0.06049155,0.06061641,0.01804702,0.03303956
591.5573,0.01458371,0.03588752,0.05789125,0.05987787,0.01807159,0.03568409
592.0394,0.01240081,0.03527173,0.05556941,0.05901297,0.01883036,0.03788577
592.5215,0.01087513,0.0346879,0.05369159,0.05795686,0.02010592,0.03914281
593.0036,0.01013254,0.03393937,0.05240351,0.0565655,0.02160575,0.03924081
593.4857,0.01010243,0.03299787,0.05180191,0.05467194,0.02301642,0.03831115
593.9678,0.01058159,0.03198902,0.05192752,0.05216045,0.02406934,0.03671936
594.45,0.01130127,0.03115731,0.05278759,0.0490018,0.0245443,0.0349599
594.9321,0.01202387,0.03078957,0.05435213,0.04530822,0.02432398,0.03349788
595.4142,0.01260963,0.03112344,0.05655231,0.0413309,0.02342785,0.03263853
595.8963,0.01302486,0.03230802,0.05925412,0.03747705,0.02203671,0.03248882
596.3784,0.01333276,0.03432805,0.06224781,0.03422873,0.02048197,0.03291195
596.8605,0.01362784,0.03699974,0.06526838,0.03202531,0.01916066,0.0335969
597.3427,0.0139819,0.03996761,0.06798806,0.03120635,0.01848744,0.03413504
597.8248,0.01439198,0.04278256,0.07007359,0.0318942,0.01875556,0.03418393
598.3069,0.01478097,0.04500087,0.07124682,0.03396568,0.02006002,0.03359052
598.789,0.01502819,0.04623162,0.07130252,0.03705317,0.02227197,0.03245251
599.2711,0.01503792,0.04626183,0.0701876,0.04063599,0.02505431,0.03112027
599.7532,0.01479492,0.0450911,0.06803042,0.04417628,0.02796013,0.03008031
600.2354,0.01438907,0.04293193,0.06516699,0.04720787,0.030518,0.02982139
600.7175,0.01398369,0.04013316,0.06207243,0.04947305,0.03239537,0.03060015
601.1996,0.01374562,0.03706857,0.05927254,0.05091879,0.03344915,0.03234326
601.6817,0.01378175,0.03405707,0.05726844,0.0516424,0.03371315,0.03464147
602.1638,0.01408212,0.0312813,0.05639795,0.05180973,0.03333518,0.03691954
602.6459,0.01452421,0.02881705,0.05680348,0.05159402,0.03249543,0.03862532
603.1281,0.01490781,0.02669899,0.0584063,0.05116218,0.03136367,0.03940503
603.6102,0.01504085,0.02498006,0.06092139,0.050668,0.03007158,0.03923422
604.0923,0.01479766,0.02377019,0.06389169,0.05027798,0.02873398,0.03838888
604.5744,0.01416897,0.02321113,0.06674107,0.0501654,0.02747005,0.03734413
605.0565,0.01326368,0.02338975,0.06892583,0.05044903,0.02638686,0.03655589
605.5386,0.01227285,0.0242572,0.06999567,0.05113798,0.02555725,0.03633449
