absorbance_3.10_1A,3.10_1A,3.10_2A,3.10_3A,3.10_4A,3.10_5A
525.5073,0.06101079,0.0769856,0.04588841,0.001781262,0.02621906
525.9894,0.05908828,0.07739934,0.04565538,0.001760438,0.02749063
526.4715,0.06264256,0.07474455,0.04391901,0.001485221,0.02794986
526.9536,0.07031836,0.06951636,0.04163288,0.002007574,0.02931955
527.4357,0.07881607,0.06298511,0.04140885,0.004168868,0.03263512
527.9178,0.08194646,0.05655953,0.04017241,0.007045712,0.03243603
528.4,0.07916068,0.05143441,0.03630863,0.01045142,0.02851774
528.8821,0.07111453,0.04829502,0.03224394,0.01334044,0.02339685
529.3642,0.06234233,0.0471755,0.02848944,0.01590816,0.01857918
529.8463,0.0583205,0.04756541,0.025265,0.01907918,0.01566683
530.3284,0.0613885,0.04858953,0.02231263,0.02363853,0.01523123
530.8105,0.06970808,0.04942781,0.01942057,0.02985511,0.01670525
531.2927,0.07891022,0.04957353,0.01658096,0.03731058,0.01864991
531.7748,0.08400644,0.04903687,0.01395075,0.04505877,0.01956007
532.2569,0.0811867,0.04822873,0.01171168,0.05213686,0.01862804
532.739,0.06963818,0.04772916,0.01029798,0.05796223,0.0161053
533.2211,0.05227698,0.04792887,0.009910025,0.06247308,0.01306726
533.7032,0.03420582,0.04879729,0.01026574,0.06568792,0.01052732
534.1854,0.02001718,0.04983369,0.01061695,0.06750727,0.009155393
534.6675,0.01201563,0.05026427,0.01024477,0.06770508,0.008835813
535.1496,0.01004112,0.04940543,0.008805748,0.06590647,0.008848354
535.6317,0.01231471,0.04689524,0.006493904,0.06160662,0.008241769
536.1138,0.01631065,0.04290811,0.004182849,0.05443017,0.006485399
536.5959,0.02031942,0.03807338,0.003058411,0.04452607,0.003896661
537.0781,0.02438934,0.03334294,0.00416474,0.03283571,0.001666242
537.5602,0.02964021,0.02960275,0.007813245,0.02093935,0.001295485
538.0423,0.03639641,0.02736174,0.01336567,0.01062212,0.004017938
538.5244,0.04315074,0.02664991,0.0195953,0.003605537,0.01031181
539.0065,0.04756843,0.0271065,0.02180348,0.001257136,0.01604919
539.4886,0.04628393,0.02828905,0.02412337,0.002290055,0.02442474
539.9708,0.04033721,0.02992747,0.02431121,0.006330699,0.03312576
540.4529,0.03004162,0.03204239,0.02166101,0.01139956,0.03819083
540.935,0.01825055,0.03480522,0.01696346,0.01576756,0.03816153
541.4171,0.009263165,0.03825267,0.01402117,0.01822203,0.03662366
541.8992,0.003334783,0.04203583,0.0113842,0.01789916,0.02997192
542.3813,0.002592072,0.04532837,0.008129057,0.01597516,0.02012051
542.8635,0.005306654,0.04695993,0.006361317,0.01286657,0.01094497
543.3456,0.009097867,0.04586159,0.005853772,0.009479992,0.003897967
543.8277,0.01073381,0.0413633,0.005266361,0.005960099,0.00105712
544.3098,0.0103493,0.03358142,0.006560512,0.00405284,0.0
544.7919,0.007393591,0.02353125,0.008860283,0.003384091,0.001632869
545.274,0.003761254,0.01311577,0.01257687,0.003966503,0.004866526
545.7562,0.0003149956,0.004656166,0.0158055,0.004347436,0.0109351
546.2383,0.0,0.0,0.01746979,0.005217701,0.01547628
546.7204,0.002277076,8.828938e-05,0.02029035,0.005343929,0.02175872
547.2025,0.006886274,0.004644047,0.02208918,0.005199291,0.02747892
547.6846,0.01268782,0.0125213,0.0227823,0.005253933,0.03210704
548.1667,0.01875716,0.02207214,0.02223914,0.006197952,0.03484788
548.6489,0.02488415,0.03162169,0.01938057,0.008723248,0.03378011
549.131,0.0316921,0.03984524,0.01658658,0.01277925,0.03135171
549.6131,0.03854591,0.0457616,0.01355037,0.01751932,0.02684639
550.0952,0.04481496,0.04890727,0.01043756,0.02183209,0.0211508
550.5773,0.04962403,0.04929546,0.007308699,0.02474595,0.01527872
551.0594,0.05213103,0.04732451,0.004236531,0.02572159,0.01023932
551.5416,0.05184894,0.04366927,0.00144136,0.02482048,0.00694208
552.0237,0.04940248,0.03914697,0.0,0.02296618,0.005209597
552.5058,0.04585512,0.03467645,0.0006121844,0.02120179,0.005201045
552.9879,0.04125931,0.0310662,0.001816422,0.0193713,0.008876793
553.47,0.03803853,0.02887691,0.003027346,0.01893679,0.01312828
553.9521,0.03643731,0.02835017,0.006774716,0.01945337,0.01993292
554.4343,0.0365703,0.0293629,0.01163576,0.02072511,0.02757656
554.9164,0.03790325,0.03154365,0.01645512,0.02226408,0.03454546
555.3985,0.03964244,0.03438594,0.02093348,0.02346318,0.04003356
555.8806,0.04138906,0.03741148,0.02474744,0.02413714,0.04322071
556.3627,0.04357647,0.04021679,0.02650712,0.02477024,0.0424744
556.8448,0.04636964,0.04246747,0.02795916,0.02555288,0.03947164
557.327,0.05003353,0.04391043,0.02973669,0.0268347,0.0352212
557.8091,0.05440794,0.04433905,0.03231487,0.02869519,0.030844
558.2912,0.05901198,0.04360038,0.03588129,0.03081448,0.02723281
558.7733,0.06348717,0.0416557,0.03694908,0.03302068,0.02125785
559.2554,0.06554379,0.03863718,0.03985471,0.03275921,0.01968735
559.7375,0.06876241,0.03491673,0.04423765,0.03168895,0.01869859
560.2197,0.07226165,0.03105231,0.04798996,0.02890015,0.01785955
560.7018,0.07661635,0.02774413,0.05087723,0.02477846,0.01709437
561.1839,0.08210419,0.02564999,0.05293884,0.02030404,0.01604222
561.666,0.08883809,0.02517305,0.05633717,0.01638785,0.01820323
562.1481,0.09265815,0.02641577,0.05725158,0.01272469,0.02009576
562.6302,0.094364,0.02914614,0.0555645,0.01096667,0.02100923
563.1124,0.0927643,0.03291051,0.05302041,0.01096114,0.02196278
563.5945,0.08792701,0.03708313,0.04993454,0.01259715,0.02238752
564.0766,0.0809284,0.04097948,0.04666726,0.01554225,0.02182071
564.5587,0.0734046,0.04399146,0.04352292,0.01929687,0.02010962
565.0408,0.06682014,0.04560465,0.04072502,0.02322549,0.01752148
