absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4,6.10_1 (1),6.10_2,6.10_3,6.10_4
553.9521,0.05588915,0.06675818,0.03241215,0.008235829,0.04413997,0.039917,0.04384532,0.0913094
554.4343,0.05902353,0.06306526,0.03239086,0.01022094,0.05149896,0.03971262,0.05015029,0.07675673
554.9164,0.06160732,0.05962592,0.03365856,0.01164127,0.05711902,0.03801368,0.05461418,0.06286757
555.3985,0.06387852,0.05602,0.03529491,0.01235535,0.06048316,0.03571367,0.05756612,0.05132801
555.8806,0.06600458,0.05204919,0.03614312,0.01235929,0.06123064,0.0335505,0.05928626,0.04327748
556.3627,0.06761645,0.04899062,0.03566503,0.01176817,0.0584123,0.03124119,0.05927229,0.03923055
556.8448,0.06926165,0.04492514,0.0324381,0.01064198,0.05364097,0.03005667,0.05829538,0.03896273
557.327,0.07077706,0.03951744,0.02645577,0.009233851,0.04801603,0.03005774,0.05649257,0.04158019
557.8091,0.07174738,0.03283795,0.01859849,0.007999385,0.04280906,0.03090983,0.05408757,0.04575133
558.2912,0.07167032,0.02536792,0.01034849,0.007559875,0.03922146,0.03206728,0.0514372,0.05005423
558.7733,0.06914855,0.0217609,0.004814819,0.008533714,0.03621032,0.03097199,0.04750858,0.05345645
559.2554,0.06600782,0.01903097,0.002119318,0.01060365,0.03889655,0.03308847,0.04823512,0.05543025
559.7375,0.06230956,0.0138621,0.0,0.01490637,0.04234948,0.03321574,0.04700045,0.05598404
560.2197,0.0580117,0.01071651,0.000324592,0.0202859,0.04694475,0.03293172,0.04613996,0.05548552
560.7018,0.05355584,0.009870121,0.002339169,0.02561541,0.05157627,0.03255382,0.04530757,0.05446274
561.1839,0.04930494,0.01066009,0.004742842,0.02967918,0.05498436,0.03170299,0.04322848,0.05339913
561.666,0.04615411,0.00952683,0.005651023,0.03170983,0.05652721,0.03166973,0.04023188,0.05259228
562.1481,0.04282433,0.01376022,0.008367795,0.03024842,0.05859803,0.03274094,0.03859385,0.05218034
562.6302,0.03916697,0.02107931,0.01203819,0.02626107,0.05875431,0.03267851,0.03582622,0.05215763
563.1124,0.03570204,0.02911112,0.01618854,0.02055983,0.05889861,0.03255393,0.03309662,0.05243818
563.5945,0.03256698,0.03703298,0.02092385,0.01447719,0.05967844,0.03267759,0.0307312,0.05288775
564.0766,0.03005475,0.04394329,0.02606965,0.009347325,0.06131187,0.03357556,0.02875966,0.05334662
564.5587,0.02866446,0.04897616,0.03120745,0.006057253,0.06346211,0.0357677,0.02690794,0.05365861
565.0408,0.02887292,0.0515504,0.03586532,0.00505414,0.06553644,0.03953173,0.02472688,0.05369274
565.5229,0.03107117,0.05147941,0.03969149,0.006271414,0.06699619,0.04469499,0.02186924,0.05340356
566.0051,0.03552414,0.04896841,0.04255046,0.009356879,0.06767476,0.0506151,0.01824873,0.05286046
566.4872,0.04231038,0.04451739,0.04445852,0.01381251,0.06788379,0.05623724,0.01407388,0.05227297
566.9693,0.05113501,0.03880043,0.04545112,0.01913944,0.06834565,0.06040785,0.009765184,0.05194416
567.4514,0.06122086,0.03263913,0.04556335,0.02490116,0.0699513,0.06214647,0.005767605,0.05216617
567.9335,0.07130235,0.02690877,0.04476621,0.03062369,0.07331622,0.06087905,0.002441395,0.05313616
568.4156,0.07970715,0.02585637,0.04528337,0.035404,0.07910409,0.05889246,0.003303437,0.05484927
568.8978,0.08593108,0.02266175,0.04270141,0.03971972,0.08490534,0.0520675,0.001512261,0.05710487
569.3799,0.08843197,0.02327033,0.04063804,0.04281607,0.08887363,0.04264377,0.0,0.05958733
569.862,0.0887429,0.02259556,0.0375575,0.04419871,0.09283239,0.03442969,0.001056772,0.06201173
570.3441,0.08680395,0.02259077,0.03512704,0.04386425,0.09446795,0.02694016,0.004039447,0.06418794
570.8262,0.08307076,0.02440339,0.03467713,0.04194257,0.09268888,0.02003479,0.008560551,0.06600403
571.3083,0.07884981,0.02636918,0.03603339,0.03861526,0.08899404,0.0150154,0.01515198,0.06736401
571.7905,0.07476409,0.02821731,0.03912862,0.03432775,0.08463751,0.01218567,0.02329895,0.06809387
572.2726,0.0710505,0.02977415,0.04346,0.0297071,0.08095627,0.0115162,0.03187064,0.06789818
572.7547,0.06695163,0.03315393,0.04925374,0.02552713,0.07748068,0.01136253,0.03853224,0.06644785
573.2368,0.06358479,0.03416476,0.0541122,0.02214618,0.0772053,0.01361114,0.04378911,0.06350002
573.7189,0.06034312,0.03475621,0.05847384,0.02003626,0.07856027,0.01642501,0.04594323,0.05907974
574.201,0.05753481,0.03487143,0.06224275,0.01927759,0.08092267,0.01923025,0.04488435,0.05359237
574.6832,0.05564721,0.03437079,0.0654184,0.01963187,0.08362854,0.0216659,0.04119712,0.04786202
575.1653,0.05517226,0.03316048,0.06801502,0.02056064,0.08616814,0.02358299,0.03596113,0.04299737
575.6474,0.05633569,0.03119496,0.06996595,0.02136574,0.08821526,0.02503524,0.03030098,0.03997207
576.1295,0.05901552,0.02849764,0.07114357,0.02135152,0.08953822,0.02615634,0.02514882,0.03930645
576.6116,0.06268477,0.02522489,0.07146981,0.02009019,0.08997202,0.02704658,0.02104293,0.04075928
577.0938,0.06658307,0.02169507,0.07099552,0.01758768,0.08946986,0.02771077,0.01809306,0.04347547
577.5759,0.06994234,0.01828849,0.0698368,0.01421567,0.0880547,0.02811642,0.01624533,0.04629038
578.058,0.07227432,0.01538353,0.06813282,0.01062944,0.08585498,0.02823804,0.01538595,0.0482141
578.5401,0.07333051,0.01325089,0.06591718,0.007547703,0.08313806,0.02815723,0.01545321,0.04879898
579.0222,0.07314645,0.01208504,0.06314191,0.005689671,0.08036643,0.02802861,0.01632575,0.04820037
579.5043,0.07197152,0.01190621,0.05976515,0.00559778,0.07806371,0.02802037,0.01766584,0.04714981
579.9865,0.07027008,0.01247122,0.05581475,0.007462395,0.0765429,0.028247,0.01895302,0.04661316
580.4686,0.06854175,0.01332626,0.05152135,0.01108132,0.07573238,0.02872358,0.01951698,0.04748774
580.9507,0.06721486,0.01400779,0.04727279,0.01585041,0.07519126,0.02934206,0.01894115,0.05015526
581.4328,0.06656268,0.0142685,0.0434806,0.02096536,0.07433519,0.02992495,0.01730084,0.05437278
581.9149,0.06669876,0.01418112,0.04049932,0.02555465,0.07268196,0.03025764,0.01519127,0.05939664
582.397,0.06753187,0.01418793,0.03851809,0.0289412,0.07014103,0.03014066,0.01347081,0.06431093
582.8792,0.06877544,0.01490642,0.03753624,0.03073406,0.06706476,0.02940987,0.01288039,0.06833501
583.3613,0.06996661,0.01696942,0.03738305,0.03081038,0.06421231,0.02790936,0.0138221,0.07088239
583.8434,0.07064869,0.02062979,0.03779091,0.02932481,0.06239424,0.02552463,0.01615579,0.07165718
584.3255,0.07055199,0.02562637,0.03853358,0.0266456,0.06215943,0.02219601,0.01930018,0.07060087
584.8076,0.06971511,0.03115377,0.03949342,0.0232953,0.06361438,0.0179851,0.0224441,0.06784713
585.2897,0.0685316,0.03614491,0.04069157,0.01980858,0.06637678,0.01316078,0.02489432,0.06371755
585.7719,0.06762451,0.03964144,0.04223379,0.01665415,0.06980424,0.008220093,0.02630964,0.05872713
586.254,0.06765987,0.0410905,0.04424767,0.01421401,0.07325042,0.00387538,0.02673535,0.0536243
586.7361,0.06902743,0.04056568,0.04678428,0.01271209,0.07635307,0.0008582454,0.02655429,0.04925855
587.2182,0.06972062,0.03880408,0.04867956,0.01244759,0.07985995,0.0004142355,0.02681687,0.04645639
587.7003,0.07185728,0.03637034,0.05091204,0.01318325,0.08283398,0.002039496,0.02707413,0.04583392
588.1824,0.07517224,0.03381035,0.05319985,0.01454206,0.08508214,0.005560094,0.02776819,0.04754876
588.6646,0.07919371,0.03142441,0.05516353,0.01598434,0.08640856,0.01046889,0.02917867,0.05125207
589.1467,0.08337774,0.02921548,0.05643358,0.01694488,0.086592,0.01603745,0.03134341,0.0561062
589.6288,0.0872922,0.02696783,0.05680237,0.01706303,0.08542679,0.0215551,0.03404689,0.06107061
590.1109,0.09064047,0.02439578,0.05629613,0.01630492,0.08276727,0.0264118,0.03682957,0.06510916
590.593,0.09327258,0.02132288,0.05523405,0.01505269,0.07863061,0.0302172,0.03904592,0.06751829
591.0751,0.09514186,0.0178158,0.05413134,0.01397058,0.07327674,0.03287261,0.0400602,0.06818604
591.5573,0.09623934,0.01421741,0.05358146,0.01383161,0.06727208,0.03454902,0.0394024,0.06760183
592.0394,0.0965523,0.01105673,0.05401088,0.01518566,0.06142594,0.03561702,0.03701236,0.06663989
592.5215,0.09606494,0.008840056,0.05547622,0.01810265,0.05654396,0.03647181,0.03330309,0.06606489
593.0036,0.09477405,0.007953275,0.05761984,0.02215219,0.05330083,0.03743211,0.02907225,0.06624555
593.4857,0.09271751,0.008568709,0.05977547,0.02654349,0.05206362,0.03862496,0.02522753,0.06698322
593.9678,0.08998441,0.01064743,0.06125706,0.03047121,0.05286185,0.03997697,0.0224488,0.06772795
594.45,0.08673064,0.01397647,0.06151744,0.03329589,0.05546501,0.04124876,0.02107827,0.06785671
594.9321,0.0831816,0.01816738,0.06036638,0.03477669,0.05944207,0.04210113,0.02100509,0.06703225
595.4142,0.0796174,0.0227001,0.05800873,0.03508962,0.06427191,0.04220013,0.02176168,0.06537464
595.8963,0.07639936,0.02688734,0.05499289,0.03473013,0.06936268,0.04126091,0.02265888,0.06344188
596.3784,0.07392506,0.03000033,0.05202829,0.03428254,0.0741681,0.03914599,0.02306763,0.0619956
596.8605,0.07255872,0.03143419,0.04973069,0.03416525,0.0782773,0.03589397,0.02267449,0.06164484
597.3427,0.07261413,0.03078107,0.04849964,0.03451698,0.08140315,0.03171841,0.02157804,0.06265458
597.8248,0.07423739,0.02800349,0.0483884,0.035144,0.08342034,0.0269657,0.0202705,0.06480521
