absorbance_6.4_1A,6.4_1A,6.4_1AA,6.8_1A,6.8_2A
578.058,0.05674635,0.03045305,0.07238218,0.05195156
578.5401,0.05854327,0.02878764,0.07030462,0.05674466
579.0222,0.06103142,0.02718335,0.06922007,0.06072544
579.5043,0.06345226,0.02577355,0.06912497,0.06360942
579.9865,0.06504793,0.02458403,0.06987333,0.06497775
580.4686,0.06516056,0.02358603,0.07121732,0.06437097
580.9507,0.06346463,0.02275692,0.07280096,0.06156255
581.4328,0.06003271,0.02212714,0.07423122,0.05674154
581.9149,0.05530379,0.02178582,0.0751311,0.05059154
582.397,0.04998386,0.02182729,0.07524793,0.0441784
582.8792,0.04488802,0.02228212,0.07453126,0.03868017
583.3613,0.04094395,0.0230653,0.0731302,0.03523589
583.8434,0.03892217,0.02397714,0.07138458,0.03456532
584.3255,0.03926267,0.02477332,0.06969597,0.03681412
584.8076,0.0419189,0.02525091,0.06844851,0.04152677
585.2897,0.04629043,0.02536138,0.06789276,0.04779996
585.7719,0.05137596,0.02522641,0.06809346,0.05455075
586.254,0.0559932,0.02508207,0.06895862,0.06071539
586.7361,0.05923899,0.02512475,0.07026879,0.06555609
587.2182,0.06108758,0.02538705,0.07272705,0.06872085
587.7003,0.06118938,0.02565938,0.07514931,0.07024455
588.1824,0.05989732,0.02556097,0.07705901,0.07045112
588.6646,0.0578354,0.02467319,0.0781308,0.06979123
589.1467,0.05571914,0.02271918,0.07825367,0.06868082
589.6288,0.05411136,0.01973063,0.07751311,0.06734569
590.1109,0.0533452,0.01611674,0.07611175,0.06579286
590.593,0.0534408,0.01264679,0.07428197,0.0638281
591.0751,0.0541409,0.01019129,0.0721895,0.06119446
591.5573,0.05499928,0.009504979,0.06991834,0.0577172
592.0394,0.05556275,0.01088076,0.06748153,0.05347252
592.5215,0.05557134,0.01402357,0.06489218,0.04881563
593.0036,0.05500934,0.01815962,0.06222404,0.04432829
593.4857,0.05408782,0.02233021,0.05964419,0.0406602
593.9678,0.05310589,0.0257559,0.05737188,0.03832815
594.45,0.05235419,0.02792186,0.05564849,0.03765298
594.9321,0.05200184,0.02867197,0.05467048,0.03862818
595.4142,0.05205996,0.02813583,0.05454311,0.04092053
595.8963,0.05240023,0.02662595,0.05529258,0.04390104
596.3784,0.05280545,0.02452529,0.05687513,0.04682877
596.8605,0.05305522,0.02218138,0.05921755,0.04909529
597.3427,0.05296179,0.01991646,0.0622348,0.05033632
597.8248,0.05242351,0.01800325,0.06582756,0.05056317
598.3069,0.05143991,0.01667986,0.06984856,0.05010737
598.789,0.0501122,0.01617395,0.07403005,0.04953283
599.2711,0.04862934,0.01663806,0.07798751,0.04942322
599.7532,0.04722813,0.01809477,0.08127702,0.05018641
600.2354,0.04615341,0.02039542,0.08347303,0.0519471
600.7175,0.04557286,0.02324473,0.08433919,0.0544958
601.1996,0.0455423,0.02628371,0.08389442,0.05740497
601.6817,0.04599621,0.02916356,0.08241487,0.06015177
602.1638,0.04677503,0.03164539,0.08033185,0.06230294
602.6459,0.04767516,0.03360204,0.07811544,0.06357607
603.1281,0.04849094,0.0349826,0.07617344,0.06385671
603.6102,0.04908412,0.03576563,0.07473463,0.06319461
604.0923,0.04940336,0.03590126,0.07385009,0.06175589
604.5744,0.0494919,0.03528805,0.07342139,0.05978411
605.0565,0.04944903,0.03381432,0.07329121,0.05753576
605.5386,0.0493849,0.03141577,0.07332005,0.05526903
606.0208,0.04936836,0.02816428,0.07344819,0.05322203
606.5029,0.04939856,0.02430091,0.07370428,0.05157528
606.985,0.04941643,0.02024316,0.07417151,0.05044749
607.4671,0.04933374,0.0165199,0.07493622,0.04985534
607.9492,0.04907735,0.0136144,0.07604085,0.04970282
608.4313,0.04861045,0.01190665,0.07746752,0.04978007
608.9135,0.04793715,0.01155334,0.0791421,0.04980896
609.3956,0.04708661,0.01245841,0.08096342,0.04953425
609.8777,0.04609992,0.01429301,0.0828141,0.04877713
610.3598,0.04502258,0.0165788,0.08457626,0.04751745
610.8419,0.04391409,0.01883674,0.08614229,0.04590384
611.324,0.04288448,0.02064705,0.08739959,0.04423665
611.8062,0.04210711,0.02176623,0.08824859,0.04286423
612.2883,0.04179372,0.02214885,0.08862504,0.0420462
612.7704,0.04217168,0.02191344,0.08851845,0.04187277
613.2525,0.04338977,0.02128834,0.08799583,0.04220158
613.7346,0.04544856,0.02053135,0.08718948,0.04272465
614.2167,0.04815287,0.01990307,0.08628245,0.04305582
614.6989,0.05112059,0.01960667,0.08544295,0.04290313
615.181,0.05386291,0.01977201,0.08477037,0.04217117
615.6631,0.05584821,0.02045375,0.08426427,0.04099662
616.1452,0.05667691,0.02161742,0.08381952,0.03969411
616.6273,0.05616373,0.0231482,0.08328003,0.03863383
617.1094,0.05437039,0.02485424,0.08250359,0.03812367
617.5916,0.05157138,0.02651494,0.08144487,0.03827789
618.0737,0.04816502,0.02791675,0.08018059,0.03900222
618.5558,0.04460248,0.02889786,0.07889364,0.04004276
619.0379,0.04127724,0.02940084,0.07779002,0.04111483
619.52,0.03852088,0.02948317,0.07702753,0.04199903
620.0021,0.03659901,0.02931612,0.07664756,0.04260416
620.4843,0.03568227,0.02912667,0.07655582,0.04296649
620.9664,0.03585154,0.02914813,0.07655188,0.04318664
621.4485,0.03706617,0.0295439,0.07639735,0.04335836
621.9306,0.03915886,0.03034209,0.07592006,0.04351233
622.4127,0.04183043,0.03142298,0.07506221,0.04362106
622.8948,0.04468766,0.03253625,0.0739125,0.04364282
623.377,0.04734107,0.03339133,0.07265986,0.04358804
623.8591,0.04943496,0.03371732,0.07154299,0.04356644
624.3412,0.05073905,0.03336503,0.0707617,0.04378603
624.8233,0.05119856,0.03236515,0.07040836,0.04446457
625.3054,0.05092686,0.03093008,0.07045727,0.04574857
625.7875,0.0501675,0.02939413,0.07078284,0.04759943
626.2697,0.04918634,0.0280806,0.07122803,0.04978491
626.7518,0.04821584,0.02722844,0.07164779,0.05191271
627.2339,0.04738837,0.02690094,0.0719517,0.05356417
627.716,0.04674286,0.02699336,0.0721005,0.05443412
628.1981,0.04627113,0.02727061,0.0720787,0.05438297
628.6802,0.04596037,0.02745674,0.07187369,0.05349346
629.1624,0.04582024,0.02732814,0.07147259,0.05202207
629.6445,0.04588474,0.02676739,0.07087396,0.05034704
630.1266,0.04618848,0.02581901,0.07011285,0.04884335
630.6087,0.04673683,0.02466539,0.06927028,0.04778744
631.0908,0.04748498,0.02358568,0.0684717,0.04731862
631.5729,0.0483401,0.02284978,0.06784343,0.04740535
632.0551,0.04918687,0.02263757,0.06746911,0.04788773
632.5372,0.04991095,0.02298711,0.06736221,0.04852069
633.0193,0.05044233,0.02377147,0.06746162,0.04906413
633.5014,0.05076699,0.02473324,0.06766871,0.0493377
633.9835,0.05092365,0.02553975,0.06790733,0.04926473
634.4656,0.05097755,0.02590893,0.06818384,0.04889268
634.9478,0.05098894,0.02567565,0.06860642,0.04837003
635.4299,0.05098344,0.02485102,0.06935916,0.04790009
635.912,0.05093976,0.02361061,0.0706062,0.04765763
636.3941,0.05080035,0.02224207,0.07241818,0.04774551
636.8762,0.05049866,0.02106076,0.07470668,0.048158
637.3583,0.04999812,0.02029999,0.07724281,0.04879094
637.8405,0.04931333,0.02008141,0.0796965,0.04947622
638.3226,0.04852204,0.020395,0.08173499,0.05003975
638.8047,0.04774193,0.02113661,0.08313523,0.05036697
639.2868,0.04710937,0.02215239,0.08381674,0.05041771
639.7689,0.04672993,0.02329616,0.08386578,0.05023147
640.251,0.04663806,0.02447027,0.08347347,0.04988563
640.7332,0.04678487,0.02561882,0.08287853,0.04945581
641.2153,0.04704972,0.02671215,0.08228197,0.04897556
641.6974,0.04729315,0.02771543,0.08180164,0.04843211
642.1795,0.04739975,0.02855452,0.08149064,0.04779528
642.6616,0.04733462,0.02911354,0.08135699,0.04706924
643.1437,0.04715741,0.02926527,0.08139794,0.0463306
643.6259,0.04701,0.02890235,0.08160756,0.04575104
644.108,0.04705667,0.02799767,0.08196317,0.04555927
644.5901,0.0474081,0.02663337,0.08240333,0.04596437
645.0722,0.04806839,0.02501268,0.08280729,0.04709303
645.5543,0.04890277,0.02340956,0.083024,0.04891268
646.0364,0.04967246,0.02210207,0.08292039,0.05123247
646.5186,0.0500826,0.02132555,0.082432,0.05372857
647.0007,0.04989927,0.02119798,0.08161286,0.05605152
647.4828,0.04902674,0.02170637,0.08063307,0.05791075
647.9649,0.04756093,0.02270534,0.07975372,0.05912439
648.447,0.04577826,0.02396212,0.07922496,0.05966161
648.9291,0.04406607,0.02520811,0.0792103,0.059611
649.4113,0.04283189,0.02618837,0.07972485,0.05913433
649.8934,0.04235557,0.02673583,0.08062886,0.05839156
650.3755,0.04274173,0.02678192,0.08167036,0.05750583
650.8576,0.04389565,0.02635351,0.08255485,0.0565504
651.3397,0.04557684,0.02553857,0.08304836,0.05555791
651.8218,0.04745798,0.02444979,0.08300696,0.05455352
652.304,0.04920709,0.02318865,0.08240104,0.05357756
652.7861,0.05058692,0.02182083,0.08129514,0.05268385
653.2682,0.05147076,0.02038762,0.07981526,0.0519308
653.7503,0.05186123,0.01892864,0.07811518,0.05135356
654.2324,0.0518573,0.01750499,0.07634105,0.05094525
654.7145,0.05161393,0.01622862,0.07463914,0.05065414
655.1967,0.05129139,0.0152576,0.07314441,0.05039924
655.6788,0.05101141,0.01475168,0.07196616,0.050108
656.1609,0.05085174,0.01483926,0.07119118,0.04973972
656.643,0.05084081,0.01555231,0.07086869,0.04931063
657.1251,0.05096988,0.01680657,0.07101161,0.04888705
657.6072,0.05120851,0.01840151,0.07161062,0.04857127
658.0894,0.05151363,0.0200721,0.07264439,0.04846264
658.5715,0.0518368,0.02157285,0.07408381,0.04862104
659.0536,0.05211711,0.02272082,0.07587492,0.04904898
659.5357,0.05228876,0.02346605,0.07791793,0.04968374
660.0178,0.05229205,0.02388855,0.08005867,0.05042225
660.4999,0.05208251,0.02416901,0.08207918,0.05114574
660.9821,0.0516522,0.02450595,0.08374999,0.05176716
661.4642,0.05103785,0.02503864,0.08488886,0.05225659
661.9463,0.05032446,0.02580418,0.08540618,0.05264702
662.4284,0.04962426,0.02671896,0.08535641,0.05301989
662.9105,0.04904787,0.02761932,0.08492588,0.05347254
663.3926,0.04867593,0.02831393,0.08439048,0.05408709
663.8748,0.04852184,0.0286647,0.08400461,0.05489833
664.3569,0.04853658,0.02861482,0.08392994,0.05589386
664.839,0.04862971,0.02818816,0.0841983,0.05702237
665.3211,0.04871266,0.02745378,0.08472288,0.05822236
665.8032,0.04873026,0.02650032,0.08533525,0.05942764
666.2853,0.04867108,0.02542889,0.0858252,0.06056371
666.7675,0.0485657,0.02435159,0.08601484,0.06154741
667.2496,0.04842967,0.02343393,0.08582905,0.06227785
667.7317,0.04821805,0.0228943,0.0854077,0.06266834
668.2138,0.04786796,0.0229075,0.0850708,0.06270906
668.6959,0.04740433,0.02346843,0.08512124,0.06250814
669.178,0.04698702,0.02437253,0.08559336,0.06221779
669.6602,0.04676707,0.02536895,0.08627062,0.06192515
670.1423,0.04679672,0.02626869,0.08684473,0.06163598
670.6244,0.0470441,0.02696544,0.08706,0.06130768
671.1065,0.04746152,0.02741369,0.08678938,0.0608979
671.5886,0.04803247,0.02759694,0.08601655,0.06038658
672.0707,0.04874549,0.02754052,0.08484879,0.05979553
672.5529,0.04956875,0.02731942,0.08347918,0.05918466
673.035,0.05041976,0.0270673,0.08216602,0.05864806
673.5171,0.0511812,0.0269505,0.08115114,0.0582761
673.9992,0.05174357,0.02711548,0.08059083,0.05811654
674.4813,0.05203708,0.02765542,0.08054178,0.05815164
674.9634,0.05206905,0.02856606,0.0809572,0.0582901
675.4456,0.05191709,0.02975006,0.08173241,0.05839275
675.9277,0.05171186,0.03103391,0.08273299,0.05829524
676.4098,0.05158876,0.03223165,0.0838322,0.05786648
676.8919,0.05164564,0.03320743,0.08492523,0.05704918
677.374,0.05192429,0.03391641,0.08592174,0.0558825
677.8561,0.05239934,0.03442422,0.08675425,0.05450019
678.3383,0.05300007,0.03487171,0.0873751,0.0530973
678.8204,0.0536305,0.03542681,0.08775574,0.05190317
679.3025,0.0542016,0.03620739,0.08789559,0.05111419
679.7846,0.05464116,0.03723969,0.08782776,0.05086683
680.2667,0.05490077,0.03844028,0.08762155,0.05121386
680.7488,0.05496645,0.03964732,0.08736944,0.05211483
681.231,0.054861,0.04066809,0.08717597,0.05345375
681.7131,0.05465541,0.04133755,0.0871397,0.05506841
682.1952,0.05445931,0.04157571,0.08732729,0.05680153
682.6773,0.05441957,0.04139343,0.08776656,0.05851784
683.1594,0.05469649,0.04088639,0.08843418,0.0601187
683.6415,0.05541243,0.04019144,0.08925956,0.06155014
684.1237,0.05662092,0.03945822,0.09012999,0.06278519
684.6058,0.0582689,0.03880855,0.0909152,0.06381278
685.0879,0.06020837,0.03830956,0.09150852,0.06462491
685.57,0.06221353,0.03798582,0.09184652,0.06520614
686.0521,0.06403893,0.03783691,0.09193432,0.0655334
686.5342,0.06548744,0.03786533,0.09184267,0.06558532
687.0164,0.06642515,0.03809557,0.09170115,0.06535695
687.4985,0.06681419,0.03857167,0.09166753,0.06488176
687.9806,0.06670387,0.03933059,0.09187968,0.06423701
688.4627,0.06621328,0.04036779,0.09243205,0.06354967
688.9448,0.06549776,0.04160411,0.09333812,0.06296369
689.4269,0.06470984,0.0428897,0.09453399,0.06259639
689.9091,0.06399907,0.0440135,0.09589294,0.06251585
690.3912,0.06349079,0.0447659,0.09726512,0.06271584
690.8733,0.0632837,0.0449992,0.09851402,0.06313041
691.3554,0.06344902,0.04465807,0.0995279,0.06365603
691.8375,0.06400707,0.04381336,0.1002445,0.06419445
692.3196,0.06491457,0.04263752,0.1006522,0.0646833
692.8018,0.06605591,0.0413748,0.1007859,0.06510568
693.2839,0.06727014,0.04025558,0.1007167,0.06548654
693.766,0.06838998,0.03943888,0.1005355,0.06586446
694.2481,0.06927816,0.03898733,0.1003422,0.06626219
694.7302,0.06987602,0.03886351,0.1002203,0.0666617
695.2123,0.0702058,0.03897019,0.1002247,0.06700252
695.6945,0.07035306,0.03919949,0.1003736,0.06719729
696.1766,0.0704141,0.03948796,0.1006408,0.06717553
696.6587,0.07045244,0.03983037,0.1009619,0.06691439
697.1408,0.07046819,0.04027053,0.1012436,0.06646481
697.6229,0.07040785,0.04085917,0.1013941,0.06594101
698.105,0.07020351,0.04161087,0.1013396,0.06549986
698.5872,0.06982802,0.04246894,0.1010473,0.06530196
699.0693,0.06933264,0.0433149,0.1005371,0.06545795
699.5514,0.06885099,0.0439923,0.09987907,0.06601337
700.0335,0.06856018,0.04436405,0.09918003,0.06693515
700.5156,0.06860176,0.0443709,0.09855079,0.06813231
700.9977,0.069038,0.04405047,0.09809478,0.06947608
701.4799,0.06981368,0.04353862,0.09788577,0.0708313
701.962,0.07078649,0.04302169,0.09795757,0.07208756
702.4441,0.07176788,0.04270991,0.09830736,0.07315704
702.9262,0.07260218,0.04277882,0.09889564,0.07398807
703.4083,0.07322564,0.04332764,0.09965893,0.07456613
703.8904,0.07367565,0.04437377,0.1005125,0.07491434
704.3726,0.07406708,0.04584982,0.1013694,0.07509373
704.8547,0.07452145,0.04763357,0.1021593,0.0751912
705.3368,0.07511802,0.04956116,0.1028374,0.0753188
705.8189,0.07585031,0.05146243,0.1033996,0.0755882
706.301,0.0766402,0.05318572,0.1038835,0.07608867
706.7831,0.07737356,0.05460063,0.1043614,0.0768763
707.2653,0.07796157,0.05563083,0.1049173,0.07795478
707.7474,0.07837932,0.0562662,0.1056177,0.0792779
708.2295,0.07867202,0.05657163,0.1064904,0.08075447
708.7116,0.07893051,0.05667313,0.1075075,0.08227324
709.1937,0.0792507,0.05672849,0.1085954,0.08372188
709.6758,0.07970409,0.05689928,0.1096536,0.0849959
710.158,0.08031761,0.05729726,0.1106016,0.08602065
710.6401,0.08108283,0.05796731,0.1114086,0.08675356
711.1222,0.08197313,0.05888046,0.1121176,0.08718716
711.6043,0.08296201,0.05995401,0.1128348,0.08734871
712.0864,0.08402553,0.06108566,0.1136995,0.08729315
712.5685,0.08513194,0.06218972,0.1148391,0.08709654
713.0507,0.08623424,0.06323159,0.1163151,0.08683756
713.5328,0.08726552,0.06423214,0.1181108,0.08659943
714.0149,0.08815448,0.06525849,0.1201363,0.08646944
714.497,0.08885971,0.06638823,0.1222764,0.08653435
714.9791,0.08939406,0.06768625,0.1244278,0.0868902
715.4612,0.08983853,0.06917545,0.1265413,0.08763297
715.9434,0.09031275,0.07083084,0.12863,0.08883706
716.4255,0.09094405,0.07258422,0.1307451,0.09054084
716.9076,0.09181498,0.07434216,0.1329315,0.09271879
717.3897,0.09293775,0.07601388,0.1351858,0.09527725
717.8718,0.09425972,0.07751718,0.137433,0.09804215
718.3539,0.09569536,0.07879726,0.1395367,0.1007864
718.8361,0.09717651,0.07983437,0.141349,0.1032863
719.3182,0.09867433,0.08064306,0.1427463,0.1053487
