absorbance_2.10_1 (2),2.10_1 (2),2.10_2 (2),2.10_3 (2),2.10_4 (2),2.10_5 (2)
568.8978,0.08184518,0.04700772,0.04027151,0.02483938,0.02348324
569.3799,0.07860924,0.04698567,0.04147509,0.03420988,0.02332441
569.862,0.07205483,0.04669674,0.04263749,0.04411205,0.0237515
570.3441,0.06509377,0.04644557,0.04455608,0.05448264,0.02423305
570.8262,0.05996768,0.04647689,0.04756684,0.06437775,0.02421375
571.3083,0.05635734,0.04689777,0.05134878,0.07138858,0.02347832
571.7905,0.05418286,0.04768373,0.05535211,0.07432014,0.02212567
572.2726,0.05283409,0.04875181,0.05906483,0.07298397,0.02060469
572.7547,0.05306677,0.05001753,0.06239437,0.06942511,0.01941282
573.2368,0.05134535,0.05147441,0.06513254,0.06293157,0.01931036
573.7189,0.04894946,0.05292261,0.06763425,0.05652591,0.02051437
574.201,0.04622329,0.05408818,0.0700793,0.05175398,0.02294396
574.6832,0.04375032,0.0544913,0.07237466,0.04957166,0.02620034
575.1653,0.04208985,0.05354621,0.07414009,0.05003574,0.0296679
575.6474,0.04149684,0.05072512,0.07494203,0.05241717,0.03275383
576.1295,0.04188387,0.04578278,0.07455579,0.05549301,0.03493622
576.6116,0.042951,0.03897772,0.07315398,0.05806885,0.03596204
577.0938,0.04439544,0.03100072,0.0712091,0.05950337,0.03595599
577.5759,0.04607426,0.02279301,0.06931917,0.05981266,0.03540895
578.058,0.04802199,0.01531662,0.06795323,0.05951165,0.03498079
578.5401,0.05035231,0.009428632,0.06723398,0.05925848,0.03522334
579.0222,0.05307066,0.005909352,0.0669542,0.05949979,0.03646446
579.5043,0.05595889,0.005345246,0.06671289,0.06023594,0.03861269
579.9865,0.05862917,0.00794683,0.0661849,0.06107397,0.04119597
580.4686,0.0606496,0.01349226,0.0652682,0.06141207,0.04348719
580.9507,0.06179851,0.02130138,0.06411542,0.060732,0.04484285
581.4328,0.06212947,0.03038765,0.06300487,0.05885017,0.04498262
581.9149,0.06188935,0.03952575,0.0621547,0.05599065,0.04403547
582.397,0.06128743,0.04753992,0.06155322,0.05270494,0.04245898
582.8792,0.06031322,0.05346615,0.06093577,0.04967379,0.04078862
583.3613,0.05868004,0.05662924,0.05986,0.04755312,0.03943814
583.8434,0.05600341,0.05675379,0.05793013,0.04676929,0.03846742
584.3255,0.05207508,0.05400049,0.05500783,0.04740927,0.03759496
