absorbance_2.9_1A (2),2.9_1A (2),2.9_1A,2.9_2,2.9_2A,2.9_3A (2),2.9_3A,2.9_4A (2),2.9_4A,6.4_1A,6.4_1AA,6.8_1A,6.8_2A
544.7919,0.03364963,0.03575049,0.00340528,0.0510159,0.06950484,0.05353679,0.1147142,0.0535785,0.0224503,0.05268008,0.0644292,0.07008108
545.274,0.03661099,0.03638986,0.005831271,0.04871152,0.06970254,0.05319443,0.114773,0.04751254,0.01988873,0.04922914,0.06320108,0.07753368
545.7562,0.03987013,0.03435757,0.009495568,0.04075778,0.06836461,0.0554586,0.1110168,0.0429638,0.01817532,0.04443301,0.06406468,0.08351474
546.2383,0.04279985,0.03370082,0.01441411,0.03252164,0.06292346,0.05626611,0.1086042,0.03913834,0.01569792,0.03925801,0.0639132,0.08766063
546.7204,0.04369144,0.03211641,0.02036287,0.02288673,0.05620931,0.05746232,0.1059913,0.03642476,0.0135218,0.03487656,0.06515895,0.08996047
547.2025,0.04222234,0.03099271,0.02691539,0.01556734,0.04826151,0.05714848,0.1039588,0.03489608,0.01230608,0.03212742,0.06655713,0.09056264
547.6846,0.03846679,0.03039833,0.03353784,0.01156259,0.03994559,0.05468185,0.1021737,0.03418381,0.01207211,0.03115701,0.06745791,0.08950116
548.1667,0.03312419,0.0302558,0.03959211,0.01127768,0.03173311,0.04944165,0.1001989,0.03395499,0.01254213,0.03139534,0.06725819,0.08654098
548.6489,0.02734249,0.03089732,0.04444147,0.01549948,0.02305165,0.04078515,0.0978886,0.03436659,0.01330414,0.0317646,0.06546463,0.08124442
549.131,0.02203087,0.03124627,0.04760897,0.02184921,0.01565286,0.02955519,0.09527721,0.03370456,0.01355593,0.03120422,0.06217436,0.07326408
549.6131,0.01759327,0.03089476,0.04887461,0.02971925,0.009144053,0.01784107,0.09159462,0.03291721,0.01314723,0.02903469,0.05886274,0.062608
550.0952,0.01421221,0.02959058,0.04843869,0.0379453,0.004095968,0.007873554,0.08668,0.03202568,0.01232127,0.02532597,0.0565352,0.04986062
550.5773,0.01171793,0.02737199,0.04685733,0.04541965,0.0009833872,0.001535203,0.08058894,0.0311507,0.01157876,0.02079216,0.0558855,0.03609787
551.0594,0.009669254,0.02447224,0.04494515,0.05097345,0.0,0.0,0.07341035,0.03057393,0.01151138,0.01652329,0.05727077,0.0228221
551.5416,0.007594641,0.02108104,0.04347133,0.05367265,0.00105568,0.003305592,0.0651989,0.03061508,0.01270051,0.0134777,0.06081187,0.01160222
552.0237,0.005358368,0.01841459,0.04287203,0.05379448,0.003146447,0.009424288,0.05789,0.03063904,0.01435094,0.01211951,0.06516689,0.003722124
552.5058,0.003140099,0.0168423,0.04314936,0.05168715,0.005700387,0.01622024,0.0526344,0.03035468,0.01615177,0.01232228,0.06949497,0.0
552.9879,0.001018006,0.01356044,0.04382758,0.04633153,0.01017971,0.02431929,0.04598194,0.03170221,0.0207078,0.01345393,0.07633315,0.0004436299
553.47,0.0,0.01122681,0.04415883,0.0412521,0.01492263,0.02975171,0.04160483,0.03330728,0.02587702,0.0147061,0.08216569,0.004308257
553.9521,0.0002864227,0.008263528,0.04334095,0.03505865,0.0218827,0.03335447,0.03878224,0.03457585,0.03076703,0.01536094,0.08729976,0.01027115
554.4343,0.002409026,0.005299076,0.04090044,0.02939293,0.03125853,0.03468694,0.03753673,0.03554106,0.03497864,0.01507771,0.09062894,0.01690966
554.9164,0.006482378,0.002870359,0.03687907,0.02528731,0.04314151,0.03395874,0.03747153,0.03632281,0.03820325,0.013913,0.09146319,0.02303098
555.3985,0.01204158,0.001139166,0.0318981,0.02285922,0.0573826,0.03189998,0.03787321,0.0370056,0.04017906,0.01221922,0.08980905,0.02780537
555.8806,0.01839243,0.0003928058,0.02697157,0.02235088,0.0728863,0.02883466,0.03837716,0.03768657,0.04090413,0.01042662,0.08593459,0.03091507
556.3627,0.02484471,0.001546977,0.02322863,0.02505405,0.08725243,0.02410258,0.03946299,0.03853481,0.04071417,0.008869156,0.07990396,0.03246614
556.8448,0.03018655,0.00364593,0.02162786,0.02930538,0.09930749,0.0188798,0.04083133,0.03925961,0.03973773,0.00769455,0.07332079,0.03289961
557.327,0.03366967,0.006295314,0.02263331,0.03422913,0.1077549,0.01387985,0.04271448,0.0396492,0.03827949,0.006882755,0.06729648,0.03278856
557.8091,0.03501341,0.009176625,0.0261928,0.03872707,0.1120064,0.0100521,0.04531595,0.03950626,0.03660822,0.006368328,0.06270104,0.0326955
558.2912,0.03443435,0.01221354,0.03180446,0.0416737,0.1121923,0.008322772,0.04875127,0.03876562,0.03489759,0.006162964,0.06000018,0.03305324
558.7733,0.03271504,0.01727065,0.03873575,0.04501983,0.1069707,0.00793704,0.0534255,0.03867107,0.03351949,0.006388374,0.05835703,0.03406325
559.2554,0.02928307,0.01944097,0.04613229,0.04190072,0.1012605,0.01406884,0.05416265,0.04024673,0.03374424,0.007230794,0.06217963,0.03570924
559.7375,0.02598977,0.0245483,0.05313063,0.03694553,0.09370196,0.02000318,0.05790707,0.03943364,0.03207266,0.008829722,0.06413491,0.03774906
