absorbance_1.1_1A,1.1_1A,1.1_2A,1.1_3A,1.1_4A,1.3_1,1.3_1A,1.3_2,1.3_2A,1.3_3,1.3_3A,1.3_4,1.3_4A,1.3_5,3.11_1,3.11_2,3.11_3,3.11_4,3.11_5,3.11_6,3.11_7,3.3_1A,3.3_2A,3.3_3A,3.3_4A,3.3_5A,6.6_1A (2),6.6_1A,6.6_2A (2),6.6_2A,6.6_3A (2),6.6_3A,6.6_4A (2),6.6_4A,6.6_5A,6.7_1A,6.7_2A,6.7_3A,6.7_4A,6.7_5A
530.3284,0.03436816,0.06600526,0.03275348,0.04994365,0.03695799,0.03594243,0.006454613,0.03868339,0.003466927,0.02323088,0.0336177,0.04147399,0.01553868,0.04287586,0.03136688,0.03292985,0.03483423,0.04856186,0.07139621,0.123939,0.04495918,0.01059591,0.03600721,0.04809519,0.03312125,0.01664762,0.01676631,0.05057637,0.01317172,0.05995382,0.1046978,0.02183398,0.03141991,0.04202449,0.02421764,0.02504517,0.02120348,0.03819056,0.06322148
530.8105,0.03191787,0.04297277,0.03385413,0.05262277,0.03579507,0.03905866,0.01486737,0.04253764,0.009510756,0.01947583,0.03372679,0.03949368,0.01488679,0.03992122,0.02635776,0.04365745,0.03816878,0.04525317,0.07780015,0.1303003,0.046744,0.01280911,0.03386769,0.05037439,0.03201525,0.01873486,0.01490661,0.05354508,0.01497344,0.06140288,0.1055568,0.024274,0.03506469,0.03810807,0.0288344,0.02334948,0.024675,0.03658383,0.06703722
531.2927,0.03137039,0.02327374,0.03627126,0.05392657,0.03490143,0.0417281,0.02526514,0.04701135,0.01785845,0.01665728,0.03533132,0.03799918,0.01311199,0.035777,0.01992371,0.05445108,0.0407012,0.04071667,0.08309298,0.1308156,0.0486228,0.01624998,0.03126004,0.05271144,0.03082544,0.02060056,0.01329817,0.05822957,0.01668672,0.06042713,0.1060422,0.02795149,0.03743917,0.03418026,0.03197738,0.02271952,0.02754089,0.0350292,0.07162654
531.7748,0.03351605,0.00910221,0.03932436,0.05320518,0.03473196,0.04225837,0.03598974,0.05046396,0.02810536,0.0150502,0.03724517,0.03658906,0.01011047,0.03189775,0.01293227,0.06376011,0.04182711,0.03526479,0.08606853,0.1253437,0.05019676,0.02083145,0.02882167,0.05458799,0.02987751,0.02225677,0.01322024,0.06524618,0.01858958,0.0564287,0.1053575,0.032194,0.03681842,0.03027196,0.0325978,0.02388735,0.02893155,0.03461874,0.07668456
532.2569,0.03848749,0.001378506,0.04213409,0.05035955,0.03542845,0.03961695,0.04547326,0.05195194,0.0399085,0.01442066,0.03824987,0.03510264,0.006346393,0.02976808,0.006472327,0.0703295,0.04123732,0.02944951,0.08609881,0.1144809,0.05125858,0.02604981,0.0268078,0.05541191,0.02979862,0.02354781,0.01552694,0.07439181,0.02089221,0.04972294,0.1028397,0.03580397,0.03262807,0.02643725,0.0303614,0.02707356,0.02817249,0.03625081,0.0819232
532.739,0.04567016,0.0,0.04353201,0.04597706,0.03689564,0.03402461,0.05236564,0.05170435,0.05286486,0.01432055,0.03729828,0.03378305,0.002725605,0.03019076,0.001813583,0.07325178,0.03901996,0.02403211,0.08309636,0.09946541,0.05185407,0.03103618,0.02532135,0.05500841,0.03181591,0.02391396,0.0200977,0.08428658,0.0232619,0.04119012,0.09870753,0.03768826,0.02583491,0.02310775,0.02575755,0.03169871,0.02484398,0.03975686,0.08697338
533.2211,0.05342554,0.003997371,0.04263817,0.04125344,0.03884287,0.02711316,0.05589698,0.05094624,0.06640765,0.01416591,0.03396504,0.03301994,0.0003020503,0.03291335,0.0,0.07228264,0.03576877,0.01974746,0.07796672,0.08196676,0.05214959,0.0349742,0.02449765,0.05363785,0.03674175,0.02304668,0.02567984,0.09289915,0.02507352,0.03239197,0.09410481,0.0373935,0.01870043,0.02081438,0.02025351,0.03635949,0.01942573,0.04390569,0.09147069
533.7032,0.05921312,0.01195408,0.03946885,0.03753483,0.04090764,0.02106974,0.05600312,0.0509381,0.07977583,0.01342192,0.02858248,0.03295851,0.0,0.03687821,0.001420002,0.06792688,0.03235097,0.01732345,0.07272502,0.06369552,0.05218153,0.03747328,0.02423608,0.05149967,0.04377027,0.02149679,0.03069058,0.09815322,0.02596678,0.02565758,0.09002742,0.03514044,0.01381566,0.01966533,0.01582643,0.03947656,0.01345984,0.04768907,0.09459497
534.1854,0.06089365,0.02218811,0.03514078,0.03598392,0.04256776,0.01793411,0.05327641,0.05204692,0.09196518,0.01191271,0.02211604,0.03335027,0.00214301,0.04098617,0.005585134,0.06144733,0.02967994,0.01714392,0.06947857,0.04632419,0.05173418,0.03868534,0.02492731,0.04870683,0.05110965,0.02056161,0.03374439,0.09920075,0.02608428,0.0228178,0.08743677,0.03170788,0.01276511,0.01948135,0.01420536,0.03976011,0.008986939,0.05033878,0.09579119
534.6675,0.05762939,0.03319918,0.03131563,0.03708011,0.04337579,0.01872915,0.04880277,0.05330088,0.1019664,0.01017829,0.0157782,0.03362016,0.006325833,0.04455081,0.01116766,0.05451886,0.02821897,0.01907894,0.06947537,0.03112031,0.05063058,0.03900494,0.02713456,0.04553504,0.05724348,0.02138261,0.03429342,0.09676053,0.02580814,0.0242323,0.08708802,0.0282209,0.01545369,0.02004421,0.01601673,0.0369725,0.007463478,0.05147368,0.09491967
535.1496,0.0498286,0.04391101,0.02942303,0.04050907,0.04295268,0.02315848,0.04383627,0.05286744,0.1090171,0.009261405,0.01059787,0.03318636,0.01177412,0.04738196,0.01650369,0.04871751,0.02799275,0.02262977,0.07280228,0.01885676,0.04885078,0.03870532,0.03116203,0.04243247,0.06131877,0.02442542,0.03274475,0.0925727,0.02558561,0.02912139,0.08922077,0.02567969,0.02043582,0.02117541,0.02075066,0.03187514,0.009410009,0.05102658,0.09226327
535.6317,0.03880183,0.05356105,0.0302475,0.04523901,0.04084855,0.02969402,0.03969082,0.04885486,0.1126797,0.01030023,0.007296512,0.03187373,0.0177216,0.04954284,0.01993837,0.04531795,0.0288382,0.02710614,0.07846552,0.01000524,0.04643378,0.03770773,0.03666348,0.03990584,0.06285627,0.02935529,0.03030371,0.08864719,0.02593274,0.03626505,0.09320172,0.02455997,0.0254827,0.02265248,0.02707596,0.02585045,0.01464007,0.04916331,0.08837997
536.1138,0.02659719,0.06163251,0.03355863,0.0498277,0.03673298,0.03622149,0.03744721,0.04037124,0.112958,0.01402735,0.006070273,0.03016244,0.02364653,0.05110012,0.02040867,0.04496659,0.03061604,0.03191344,0.08446842,0.004786097,0.04341482,0.03561165,0.04278846,0.03840377,0.06217536,0.03492682,0.02842814,0.08633377,0.02707018,0.04419094,0.09783585,0.02467911,0.0284416,0.02445418,0.0332405,0.02034461,0.02217414,0.04604386,0.08391666
536.5959,0.01539665,0.06770696,0.03818969,0.05286979,0.03054177,0.04097075,0.03775525,0.02818148,0.1102293,0.02039257,0.006795021,0.02918762,0.02939459,0.05184649,0.01772458,0.04765234,0.0334336,0.03654953,0.08862705,0.003213197,0.03988616,0.03187016,0.04844226,0.03837462,0.06013923,0.03932482,0.02799219,0.08598589,0.02879534,0.05171555,0.1020153,0.02543413,0.02821167,0.0267274,0.03782649,0.01618759,0.03080755,0.04141734,0.07968028
537.0781,0.006879818,0.07140052,0.04237583,0.05330751,0.02266211,0.04298525,0.04070517,0.01499681,0.1052169,0.02827583,0.009267125,0.03046421,0.03523672,0.05114068,0.01269929,0.05279778,0.03761035,0.04065941,0.08942465,0.004972268,0.03593406,0.0261598,0.05226781,0.04006311,0.05719209,0.04084259,0.02895692,0.08682264,0.03073102,0.05862363,0.1046591,0.02604173,0.02531516,0.02939474,0.04025002,0.01328716,0.03978254,0.03488404,0.076423
537.5602,0.001742885,0.07254354,0.04453861,0.05088217,0.01403755,0.04240759,0.04564987,0.004552104,0.09883595,0.03577949,0.01319089,0.03515941,0.04169636,0.048409,0.006981701,0.05946313,0.04324915,0.0440963,0.08673695,0.00931333,0.03164252,0.01877524,0.05304833,0.04312946,0.05311928,0.03885633,0.03057836,0.08734933,0.03261666,0.06549384,0.1048578,0.02576497,0.0216015,0.03194686,0.04085504,0.010884,0.04886584,0.02659816,0.07447296
538.0423,0.0,0.07133087,0.04384194,0.0461457,0.005948663,0.0402008,0.05133918,0.0,0.09201868,0.04098625,0.01804079,0.04349536,0.049181,0.04373716,0.002489932,0.06664507,0.04995354,0.04680508,0.0814725,0.01512097,0.02709442,0.0107565,0.05036962,0.04663054,0.04748977,0.03424796,0.03197818,0.08642464,0.03444199,0.07276016,0.1021867,0.02418509,0.01899599,0.0336071,0.04047392,0.008099198,0.05785823,0.01748256,0.07393643
538.5244,0.001524623,0.06841308,0.04016973,0.04023959,0.0,0.0378245,0.05610543,0.002899863,0.08562331,0.04279049,0.02286574,0.0544627,0.05764741,0.03808422,0.0009426847,0.07342339,0.05645745,0.04876507,0.07472976,0.02108666,0.02254503,0.003693208,0.04484683,0.04941823,0.04102207,0.02879131,0.0325452,0.08376114,0.03617784,0.0795086,0.0973047,0.02137313,0.01871974,0.03382789,0.03984163,0.004608065,0.06572552,0.008939818,0.07470822
539.0065,0.003898416,0.06472924,0.03281337,0.03443331,0.002222687,0.03747709,0.05845554,0.01155905,0.0802225,0.04175778,0.02307438,0.05774,0.06488944,0.03407749,0.003254443,0.07912906,0.05903551,0.04883109,0.06936415,0.02614063,0.01925788,0.003063813,0.03899509,0.05142499,0.03624029,0.02708979,0.03165298,0.08265113,0.03802306,0.08155254,0.09401524,0.02052031,0.02310085,0.03154251,0.04081986,0.002421476,0.07132378,0.003941469,0.07541566
539.4886,0.008485038,0.06124693,0.02570511,0.02979945,0.006540425,0.03863617,0.05744317,0.0237083,0.07608955,0.0391142,0.02458955,0.0649409,0.07327832,0.02994448,0.009516634,0.08326554,0.05966055,0.05027172,0.06330393,0.02962829,0.01568279,0.003507156,0.03129704,0.05034526,0.03306748,0.02564288,0.03116291,0.07905398,0.03930316,0.08217711,0.09036252,0.01859586,0.0276033,0.02891021,0.0410434,0.001174442,0.07234277,0.001483217,0.0758265
539.9708,0.01390381,0.05875107,0.01764438,0.02707793,0.01361443,0.04159174,0.05288766,0.03700693,0.07324408,0.03565858,0.02391439,0.0690003,0.08160694,0.02826403,0.01913909,0.08538392,0.05674043,0.05094303,0.05801865,0.03132351,0.01272442,0.00756418,0.02376903,0.0479084,0.03046101,0.02762102,0.03026861,0.07696679,0.04177673,0.08017552,0.0880349,0.01694945,0.03382349,0.0244938,0.04318593,0.0,0.0706975,0.001948565,0.07695388
540.4529,0.01789889,0.05760506,0.01011214,0.02647658,0.02492172,0.04598657,0.04547266,0.04661718,0.0714951,0.03399298,0.02081744,0.06651949,0.08880556,0.02856785,0.03107018,0.08513343,0.04994535,0.05169972,0.05414172,0.0313868,0.01030594,0.01597729,0.01698694,0.044649,0.02991843,0.03270778,0.02996809,0.07692197,0.04494209,0.07512059,0.08879525,0.01760592,0.04099258,0.01954528,0.04696398,0.001519807,0.06582624,0.005857721,0.07645243
540.935,0.01961125,0.05777896,0.003949963,0.02767558,0.03931513,0.05064762,0.03659663,0.05019046,0.07048202,0.03543317,0.0157751,0.05727965,0.09444258,0.03003982,0.04391301,0.08235972,0.0405493,0.05263044,0.05128789,0.03021262,0.008203104,0.02784905,0.01154012,0.04169836,0.0312908,0.03980317,0.030469,0.07882229,0.04862012,0.0681118,0.09286886,0.02126288,0.04848863,0.01514065,0.05213593,0.006006192,0.05873732,0.01191466,0.07386069
