absorbance_1.10_1A,1.10_1A,1.10_2A,1.10_3A,1.9_1A (2),1.9_1A,1.9_2A (2),1.9_2A,1.9_3A (2),1.9_3A,1.9_4A (2),1.9_4A,2.5_1A,2.5_2A,2.5_3A,2.5_4A,4.2_1A,4.2_2A
1588.093,0.03374517,0.06730718,0.06038405,0.01975014,0.0139137,0.01801157,0.01768439,0.03108792,0.01701094,0.03484346,0.04998768,0.05515596,0.03428258,0.04149361,0.02359491,0.03416272,0.0752852
1588.575,0.03356785,0.06717814,0.06047644,0.01977311,0.01377424,0.01802204,0.01768712,0.03109907,0.0170191,0.034904,0.0500612,0.05518073,0.0342808,0.04151968,0.0236728,0.03432342,0.07507833
1589.057,0.03337717,0.06708203,0.06052119,0.01974548,0.01366323,0.0180892,0.01770765,0.031078,0.01700403,0.03500158,0.05009506,0.05526307,0.03432842,0.04155306,0.0237396,0.03446479,0.07494618
1589.539,0.03319489,0.06704264,0.06051674,0.01967018,0.01358014,0.01820101,0.01774026,0.03102653,0.01697559,0.03513198,0.05008981,0.05538452,0.03441039,0.04158066,0.02379345,0.03457878,0.07491015
1590.021,0.03304574,0.06706871,0.06047244,0.01956557,0.01351793,0.01833856,0.01777038,0.03095517,0.01694516,0.03527927,0.05006148,0.05552308,0.03450309,0.04158748,0.0238322,0.03466073,0.07497549
1590.503,0.03295102,0.06715365,0.06040614,0.01946215,0.01346895,0.01848092,0.01777976,0.03088373,0.01692378,0.03541939,0.05004133,0.05565841,0.03457902,0.04155872,0.02385249,0.03470904,0.075128
1590.985,0.03292146,0.06727952,0.06033585,0.01938993,0.01343172,0.01861283,0.01775479,0.03083511,0.01691816,0.03552921,0.05006333,0.05577693,0.0346166,0.04148461,0.02385075,0.03472319,0.07533828
1591.467,0.03295589,0.06742304,0.06027522,0.0193697,0.01341086,0.01872626,0.01768977,0.03082945,0.0169296,0.03559103,0.05015432,0.05587056,0.03460341,0.04136271,0.02382393,0.03470263,0.07556777
1591.949,0.03304206,0.06756,0.06022944,0.0194048,0.01341501,0.01882025,0.01758749,0.03087695,0.01695291,0.0355946,0.05032171,0.05593405,0.03453954,0.04120243,0.0237713,0.03464558,0.07577706
1592.432,0.03316243,0.06767106,0.06019308,0.01947983,0.01345051,0.01889896,0.01745651,0.03097371,0.01697872,0.03553714,0.05054832,0.05596392,0.03443564,0.04102672,0.02369623,0.03455063,0.07593861
1592.914,0.03329884,0.06774174,0.06015333,0.01956398,0.01351782,0.01896697,0.01730915,0.03110137,0.01699542,0.03542205,0.05079437,0.05595883,0.03431084,0.04087346,0.02360723,0.03441896,0.07604174
1593.396,0.03343752,0.06776423,0.06009476,0.01962174,0.01360932,0.01902621,0.01715898,0.03123223,0.01699345,0.03525718,0.05100661,0.05592179,0.03418807,0.04079088,0.02351887,0.03425739,0.0760971
1593.878,0.03357257,0.06773895,0.06000757,0.01962746,0.01371261,0.01907394,0.01702002,0.03133976,0.01697062,0.03505466,0.05113935,0.0558604,0.03408675,0.04082138,0.02344761,0.03407838,0.07613166
1594.36,0.03370337,0.06767471,0.05989272,0.0195723,0.01381389,0.01910265,0.01690792,0.03140485,0.01693206,0.03483185,0.05116534,0.055787,0.03402066,0.04098959,0.02340893,0.03389978,0.0761802
1594.842,0.0338314,0.06758811,0.05976584,0.01946934,0.01390412,0.0191026,0.01683943,0.03142111,0.01689121,0.03461023,0.05108739,0.05571497,0.03399459,0.04128602,0.02341086,0.03374087,0.07626925
1595.324,0.03395495,0.06749892,0.05965155,0.01934583,0.01398071,0.01906632,0.01682893,0.03139449,0.01686379,0.03441172,0.05093415,0.05565302,0.03400513,0.04166713,0.02344953,0.03361605,0.07640392
1595.806,0.03406735,0.06742737,0.05957793,0.01923366,0.01404729,0.01899171,0.01688591,0.03133749,0.01686438,0.03425519,0.05074995,0.05560272,0.03404397,0.04206503,0.02350955,0.03353355,0.07656544
1596.288,0.03415859,0.06738727,0.05956515,0.01915662,0.0141093,0.01888459,0.01701018,0.03126212,0.01690031,0.034151,0.05057758,0.05555952,0.03410248,0.04241061,0.02356855,0.03349377,0.07671825
1596.771,0.03421916,0.06738327,0.05961809,0.01912404,0.01417104,0.01875724,0.01719058,0.03117573,0.01697124,0.03409876,0.05044392,0.05551685,0.03417531,0.04266058,0.02360818,0.03349259,0.07682823
1597.253,0.03424454,0.06741136,0.05972533,0.01913293,0.01423333,0.01862626,0.01740585,0.03108052,0.01707051,0.03408939,0.05035905,0.055472,0.03426166,0.04280266,0.02361904,0.03352411,0.07687423
1597.735,0.03423699,0.0674621,0.05986287,0.01917405,0.01429339,0.01850823,0.01762792,0.0309772,0.01718811,0.03411015,0.05031875,0.05542875,0.03436417,0.04285565,0.02360669,0.03358325,0.07685794
1598.217,0.03420497,0.06752613,0.06000311,0.01923915,0.01434696,0.01841456,0.01782879,0.03086806,0.01731362,0.03414933,0.05031276,0.05539645,0.03448695,0.04285379,0.02358905,0.03366638,0.07679971
1598.699,0.0341595,0.06759673,0.06012122,0.0193231,0.01438869,0.0183509,0.01798071,0.03076028,0.01743677,0.03420046,0.05032942,0.05538727,0.03463322,0.04283282,0.02359246,0.03376934,0.07673212
1599.181,0.03411136,0.06767187,0.06020317,0.0194248,0.01441429,0.01831378,0.01806155,0.030665,0.0175469,0.0342626,0.05035885,0.0554111,0.03480312,0.04281525,0.02364188,0.03388598,0.0766872
