absorbance_6.4_1A,6.4_1A,6.4_2A,6.4_3A,6.8_1A,6.8_2A,6.8_3A
525.5073,0.1057696,0.04643529,0.01026793,0.07646476,0.02048919,0.009125851
525.9894,0.1061873,0.0454723,0.003043272,0.07987081,0.02196608,0.02391725
526.4715,0.1045515,0.04220829,0.003945895,0.07805501,0.02339805,0.04008529
526.9536,0.1022048,0.03786093,0.01062276,0.07373852,0.02553376,0.05294447
527.4357,0.1005196,0.03354319,0.0198527,0.06979159,0.0281834,0.05940569
527.9178,0.100437,0.02871997,0.02793316,0.06767435,0.02988328,0.05888081
528.4,0.1024701,0.02634884,0.03645556,0.06617299,0.02982268,0.05257822
528.8821,0.1066862,0.02620966,0.04241477,0.06618485,0.02770074,0.04272085
529.3642,0.1127526,0.02788102,0.04753346,0.06672104,0.0241474,0.03165181
529.8463,0.1199469,0.02998815,0.05442044,0.06659875,0.02100554,0.02148801
530.3284,0.1271925,0.03085709,0.064239,0.06499801,0.01993324,0.01361142
530.8105,0.1333262,0.02959557,0.076207,0.06205459,0.02146459,0.00841932
531.2927,0.1371811,0.02635413,0.08863516,0.05861516,0.02503334,0.005578116
531.7748,0.1378513,0.02230713,0.09967212,0.05583946,0.02926021,0.004382856
532.2569,0.1348718,0.01916277,0.1076949,0.0547271,0.03261353,0.004234396
532.739,0.1282021,0.01875816,0.1115646,0.05584755,0.03395611,0.004822604
533.2211,0.1182812,0.02200569,0.1113748,0.05886024,0.0331285,0.006209075
533.7032,0.1059057,0.02843176,0.1082593,0.06251285,0.03074601,0.008702219
534.1854,0.09223042,0.03636447,0.1036801,0.06517416,0.0275258,0.01275619
534.6675,0.07853427,0.0435812,0.09890181,0.06566304,0.02386532,0.01877222
535.1496,0.06596954,0.04808369,0.09481284,0.06362548,0.01979794,0.02695267
535.6317,0.05549014,0.04849939,0.09181013,0.05948037,0.01534277,0.03715451
536.1138,0.04757946,0.04489136,0.08948251,0.05431814,0.01067504,0.04873658
536.5959,0.04217074,0.03865931,0.08728911,0.04940432,0.006415159,0.06053252
537.0781,0.03861675,0.03198592,0.0851251,0.04562474,0.003768459,0.07082307
537.5602,0.03590193,0.02689157,0.08323093,0.04311728,0.003889374,0.07776759
538.0423,0.03299342,0.02462313,0.08192474,0.04146872,0.007068641,0.07991863
