absorbance_6.11_1A,6.11_1A,6.11_2A,6.11_3A,6.11_4A,6.11_5A
525.5073,0.02400851,0.003332824,0.0442562,0.000460133,0.04931312
525.9894,0.02620564,0.0,0.04771905,0.0,0.05102754
526.4715,0.02652344,0.001412168,0.04627988,0.0015136,0.04787329
526.9536,0.02573047,0.005382575,0.04400034,0.003794566,0.04313625
527.4357,0.02570491,0.009406216,0.04283423,0.00576701,0.04152979
527.9178,0.02552587,0.01075027,0.04285827,0.007442862,0.04019859
528.4,0.02449481,0.01273292,0.04304037,0.01084504,0.03845286
528.8821,0.02341669,0.01441066,0.0438942,0.01487145,0.03855395
529.3642,0.02184933,0.01632736,0.04461229,0.01871555,0.03941385
529.8463,0.01951987,0.01879659,0.04478232,0.02188046,0.03955344
530.3284,0.01672764,0.02176005,0.04436167,0.0247516,0.03788846
530.8105,0.01421412,0.02472527,0.04355854,0.02796862,0.03428145
531.2927,0.01286915,0.02717452,0.04265939,0.03220636,0.02934653
531.7748,0.01328519,0.02882993,0.04203317,0.03792416,0.02422275
532.2569,0.01545298,0.02956493,0.04198628,0.04487252,0.02026393
532.739,0.01868097,0.02921829,0.0427325,0.05167842,0.0186709
533.2211,0.02182546,0.02769392,0.04437092,0.05660713,0.01995634
533.7032,0.02380013,0.02537487,0.04673307,0.05875749,0.02362174
534.1854,0.02390342,0.02290863,0.04950995,0.05833566,0.02877289
534.6675,0.02200056,0.0208625,0.05227254,0.05622657,0.03437633
535.1496,0.0184614,0.0195616,0.05462102,0.05349582,0.03964327
535.6317,0.01408749,0.01916965,0.05631271,0.05123373,0.04424829
536.1138,0.009862356,0.01966253,0.05732002,0.0500463,0.04851025
536.5959,0.006606795,0.02077018,0.0578987,0.04988394,0.05311068
537.0781,0.004813902,0.02209138,0.05859547,0.05040539,0.0585399
537.5602,0.004502699,0.02332883,0.05992952,0.05127577,0.06474742
538.0423,0.005386539,0.02438729,0.06213932,0.05240241,0.07135709
538.5244,0.006917186,0.02510742,0.06496814,0.05343911,0.07780258
539.0065,0.006637976,0.02717458,0.06566772,0.05499941,0.07879325
539.4886,0.007041648,0.02566463,0.06701767,0.05458654,0.08060299
539.9708,0.006859258,0.02394456,0.06673232,0.05370211,0.08090059
540.4529,0.005490832,0.02129326,0.0636043,0.05206959,0.07747427
540.935,0.003114358,0.01788211,0.05737583,0.04980414,0.07017929
541.4171,0.001762532,0.01395554,0.05007923,0.04700757,0.06373577
541.8992,0.0007739738,0.008500952,0.04144958,0.04364114,0.05489556
542.3813,0.0,0.005546503,0.03148558,0.04177124,0.04374164
542.8635,0.001022272,0.003967702,0.02265624,0.04110576,0.03429365
543.3456,0.00394354,0.003920242,0.01566636,0.04184104,0.02747829
543.8277,0.008451819,0.004308052,0.01334498,0.04415189,0.02470533
544.3098,0.01409563,0.0062005,0.0108556,0.04670586,0.02374081
544.7919,0.0202142,0.008229006,0.01018441,0.04909815,0.02486077
545.274,0.02626193,0.0103593,0.009894632,0.05073382,0.02664917
545.7562,0.03176862,0.01134589,0.01305094,0.05212952,0.02965534
546.2383,0.03550499,0.01421311,0.01422814,0.05380812,0.02914399
546.7204,0.03947817,0.01590294,0.01619368,0.05455963,0.03028946
547.2025,0.04268064,0.01813592,0.01717597,0.05502523,0.03097893
547.6846,0.04505203,0.02097688,0.01693325,0.05483459,0.03175931
548.1667,0.04629611,0.02446989,0.01539375,0.05363685,0.03279376
548.6489,0.04554139,0.02921888,0.01196581,0.05167452,0.03245381
549.131,0.04408307,0.03440337,0.00829415,0.04888516,0.03392632
549.6131,0.04214288,0.03922818,0.004778575,0.04596309,0.03646815
550.0952,0.04044258,0.04327232,0.002042219,0.04376919,0.04032508
550.5773,0.0395491,0.04619421,0.0004067682,0.04280649,0.04541828
551.0594,0.03972604,0.04767355,0.0,0.04303247,0.0512751
551.5416,0.04083999,0.04741842,0.001003984,0.04389013,0.05722584
552.0237,0.04250372,0.04579134,0.002118081,0.04436939,0.06189337
552.5058,0.04409716,0.04308166,0.003150625,0.04368446,0.06430928
552.9879,0.04490119,0.0384391,0.008239815,0.0422172,0.06542902
553.47,0.04372882,0.03496817,0.01380649,0.04071815,0.06196613
553.9521,0.04220432,0.03143274,0.02131794,0.03887571,0.05818913
554.4343,0.04023936,0.02926553,0.02938383,0.03783165,0.05386601
554.9164,0.03812969,0.02910535,0.03661178,0.03819722,0.04936075
555.3985,0.03662517,0.03035376,0.04211928,0.03968155,0.04590713
555.8806,0.0360565,0.03223494,0.04512643,0.04151011,0.04377574
556.3627,0.0357056,0.03488237,0.04446162,0.04321966,0.04090074
556.8448,0.0362704,0.03622206,0.04147902,0.04337369,0.038852
557.327,0.03764252,0.03571206,0.03709153,0.0415861,0.03763712
557.8091,0.0396267,0.03356582,0.03224726,0.03805158,0.0374245
558.2912,0.04196648,0.03068588,0.02766275,0.03340177,0.03851642
558.7733,0.04254541,0.03026755,0.0215304,0.02948207,0.03656865
559.2554,0.04433694,0.02753316,0.02056731,0.02504294,0.04058824
559.7375,0.04597533,0.02830325,0.01791008,0.02141869,0.0457636
560.2197,0.04685517,0.030931,0.01575596,0.01901959,0.05111625
560.7018,0.04698322,0.03474466,0.01438576,0.01802351,0.05570169
561.1839,0.04654413,0.03925587,0.01333461,0.018528,0.05814495
561.666,0.04715791,0.04379062,0.01414428,0.02041936,0.06141526
562.1481,0.04764375,0.045603,0.0179015,0.02331083,0.06167701
562.6302,0.04776967,0.047907,0.02148965,0.02744174,0.05775578
563.1124,0.04850645,0.04935391,0.02529085,0.03119942,0.05236885
563.5945,0.04974075,0.04984085,0.02858692,0.03342238,0.04636964
564.0766,0.05122481,0.04916888,0.0309328,0.03324433,0.04067319
564.5587,0.05269092,0.04719198,0.03229603,0.03049107,0.0360346
565.0408,0.053924,0.04395144,0.03302712,0.02576072,0.03309567
565.5229,0.05479925,0.03982548,0.03368191,0.02026419,0.03220516
566.0051,0.05523947,0.0355025,0.03473989,0.01536015,0.03335957
566.4872,0.05513783,0.03191035,0.03642528,0.01225499,0.03615167
566.9693,0.0543416,0.02991885,0.03855895,0.01152654,0.03981806
567.4514,0.05269972,0.03004033,0.04067293,0.01298355,0.04343321
567.9335,0.0501712,0.03230166,0.04220039,0.01587063,0.04596549
568.4156,0.04688292,0.03509492,0.04606187,0.01980037,0.0479444
568.8978,0.04341825,0.03995232,0.04534856,0.0231881,0.04603924
569.3799,0.03932549,0.04623995,0.04268349,0.02713512,0.03941759
