absorbance_2.7_1A,2.7_1A,2.7_2A,2.7_3A,2.7_4A
578.058,0.02016393,0.03227066,0.1125107,0.05459561
578.5401,0.01964574,0.03211521,0.1172738,0.05275608
579.0222,0.01806015,0.03114015,0.1200093,0.05114777
579.5043,0.01548878,0.02969021,0.120568,0.04986002
579.9865,0.01236688,0.02815926,0.1190998,0.04889041
580.4686,0.009458723,0.02692662,0.1161468,0.0481523
580.9507,0.007556554,0.02623514,0.1124507,0.0474912
581.4328,0.007186517,0.02616507,0.1087208,0.04674201
581.9149,0.008529098,0.02668723,0.1055636,0.04576659
582.397,0.0114007,0.02771854,0.1033835,0.04450769
582.8792,0.01540136,0.02915835,0.1024301,0.04300226
583.3613,0.01999956,0.0308595,0.102815,0.04137792
583.8434,0.02458818,0.03259644,0.1044987,0.03981115
584.3255,0.02850308,0.03405768,0.1072332,0.03847425
584.8076,0.03100998,0.0348781,0.1104794,0.0374945
585.2897,0.03151163,0.03479223,0.1135184,0.03690765
585.7719,0.0297023,0.03376712,0.1155879,0.03666581
586.254,0.02573592,0.0320879,0.116078,0.03667147
586.7361,0.0202888,0.03029568,0.1147512,0.03683118
587.2182,0.01593356,0.02904384,0.1110788,0.03709908
587.7003,0.0122039,0.02891058,0.1067451,0.03749303
588.1824,0.009685548,0.0301647,0.1025413,0.03807633
588.6646,0.008622139,0.03270619,0.09917908,0.0389155
589.1467,0.008876521,0.03605767,0.09710033,0.04003847
589.6288,0.01003384,0.03952807,0.09634645,0.04141007
590.1109,0.01151155,0.04232376,0.09657074,0.04294695
590.593,0.01270573,0.04373635,0.0971154,0.04455987
591.0751,0.01316952,0.0433683,0.09727183,0.04621773
591.5573,0.01266316,0.04121327,0.09646554,0.04798613
592.0394,0.01121284,0.03769621,0.09449588,0.05001661
592.5215,0.009062489,0.03349007,0.09158247,0.05244814
593.0036,0.006598331,0.02935602,0.08823432,0.0553203
593.4857,0.004247065,0.02592847,0.08503459,0.05848194
593.9678,0.002371743,0.02358678,0.08242729,0.06161124
594.45,0.001264118,0.02250765,0.08069859,0.06424852
594.9321,0.001073044,0.02265791,0.07995024,0.06592822
595.4142,0.001770456,0.02384083,0.08015434,0.06633544
595.8963,0.003137985,0.02570507,0.08120527,0.06537946
596.3784,0.004809547,0.02780997,0.08295575,0.06326313
596.8605,0.006392737,0.02972916,0.08524374,0.06039547
597.3427,0.0075558,0.03109637,0.08787718,0.05728922
597.8248,0.008163459,0.03170562,0.09063784,0.05436466
598.3069,0.008317086,0.03151926,0.09329256,0.05182947
598.789,0.008338544,0.03063589,0.09558161,0.04966738
599.2711,0.008644085,0.02923566,0.09728075,0.04767645
599.7532,0.009568759,0.02751218,0.09824672,0.04559578
600.2354,0.01123141,0.02564539,0.09843953,0.04321216
600.7175,0.01345414,0.02376536,0.0979341,0.04047554
601.1996,0.01585321,0.02196637,0.09688047,0.03751642
601.6817,0.01797914,0.02033146,0.09546076,0.03462722
602.1638,0.01952666,0.01893237,0.09382898,0.03216784
602.6459,0.02041596,0.01781927,0.09209611,0.03050024
603.1281,0.02080456,0.01699182,0.0903328,0.02992948
603.6102,0.02098856,0.01637379,0.08857566,0.0306065
604.0923,0.02127576,0.01581435,0.08685303,0.03249271
604.5744,0.02184573,0.01512762,0.08519479,0.03532343
605.0565,0.02266868,0.01418368,0.08363557,0.03866897
605.5386,0.02352809,0.01297266,0.08221884,0.04199547
606.0208,0.02411193,0.01165219,0.08099402,0.04478667
606.5029,0.02416206,0.01049755,0.08000943,0.04669749
606.985,0.02354662,0.00983551,0.07931471,0.04758225
607.4671,0.02230902,0.009916546,0.07894779,0.04751272
607.9492,0.02062966,0.01081027,0.07891618,0.04669483
608.4313,0.01877247,0.01238421,0.07918449,0.04538556
608.9135,0.01701095,0.0143466,0.0796636,0.04379055
609.3956,0.01556124,0.01637882,0.08022867,0.04201185
609.8777,0.01459422,0.01821701,0.08073745,0.04008116
610.3598,0.01421766,0.01974317,0.08108158,0.03802758
610.8419,0.01447243,0.02098457,0.08123345,0.03594846
611.324,0.01531818,0.0220576,0.08127269,0.03406169
611.8062,0.01660648,0.02308733,0.08138177,0.03266495
612.2883,0.01808762,0.02413468,0.08178572,0.03202089
612.7704,0.01941019,0.0251797,0.08270705,0.03227061
613.2525,0.02021058,0.02614274,0.08427227,0.03333215
613.7346,0.02020944,0.02694597,0.08647055,0.03492325
