absorbance_4.3_1A,4.3_1A,4.3_2A,4.3_3A,4.3_4A,4.3_5A
525.5073,0.05197206,0.07291993,0.009060565,0.08395795,0.06029452
525.9894,0.05462372,0.08104629,0.005969919,0.08212105,0.07272111
526.4715,0.05572995,0.08930117,0.006537076,0.07710145,0.08295301
526.9536,0.05576992,0.09300701,0.00754077,0.07213525,0.08989391
527.4357,0.05675511,0.09063587,0.01145146,0.06925899,0.0936719
527.9178,0.05539285,0.08906587,0.01557919,0.06677902,0.09509496
528.4,0.050393,0.08379805,0.01719808,0.06496643,0.09504349
528.8821,0.04371676,0.07585284,0.01671909,0.0625425,0.09412957
529.3642,0.0370717,0.06750114,0.01630243,0.05958495,0.09262066
529.8463,0.03305039,0.06106402,0.01828168,0.05673557,0.09062763
530.3284,0.03292361,0.05772963,0.0232507,0.05431751,0.08835091
530.8105,0.03561552,0.05732039,0.03026688,0.05231515,0.08624532
531.2927,0.03868687,0.05813259,0.03719538,0.05024651,0.08509133
531.7748,0.03964869,0.05752687,0.04167023,0.04742114,0.08575696
532.2569,0.03666483,0.05303513,0.04213447,0.04370312,0.0887787
532.739,0.0293868,0.04359922,0.03887193,0.04002077,0.09403452
533.2211,0.01942909,0.03034188,0.03396913,0.03776459,0.1004507
533.7032,0.009767726,0.01619352,0.02964255,0.03752927,0.1062366
534.1854,0.002981097,0.004945368,0.02759639,0.03885394,0.1091471
534.6675,0.0,0.0,0.02840684,0.04058491,0.1073505
535.1496,0.0002547577,0.003100544,0.03145819,0.04152754,0.1001052
535.6317,0.002619646,0.01368783,0.03502529,0.04089171,0.08804932
536.1138,0.005940616,0.02921856,0.03716465,0.03886991,0.07313472
536.5959,0.009715796,0.04609457,0.03694127,0.03670491,0.05799428
537.0781,0.01472789,0.06018286,0.03468869,0.03617022,0.04542977
537.5602,0.02219059,0.06821234,0.03156044,0.03855747,0.03738809
538.0423,0.03219086,0.06863655,0.02897269,0.04393211,0.0345044
538.5244,0.04262232,0.06205841,0.02833436,0.05146706,0.03610193
539.0065,0.04741911,0.05234227,0.02945122,0.06030292,0.04056264
539.4886,0.04880086,0.04231115,0.03431419,0.06713159,0.04592366
539.9708,0.04487588,0.02995096,0.0414968,0.07238767,0.05025954
540.4529,0.0359319,0.02032505,0.04964225,0.07519113,0.05226271
540.935,0.02504608,0.01485927,0.0576272,0.07601748,0.05143637
541.4171,0.01868316,0.01032551,0.06513546,0.07599402,0.04822571
541.8992,0.01692882,0.01485567,0.070535,0.07457907,0.04380871
542.3813,0.01955947,0.02393886,0.07258575,0.07363375,0.0397267
542.8635,0.02718752,0.03653482,0.0719672,0.07238184,0.03743606
543.3456,0.03722537,0.05157294,0.06923132,0.07037179,0.03782113
543.8277,0.04588293,0.06487234,0.06165194,0.06668973,0.04108965
544.3098,0.05155167,0.08118543,0.05802574,0.0626066,0.04665431
544.7919,0.05240003,0.09693884,0.05642548,0.05817193,0.05332448
545.274,0.04922782,0.1123349,0.05904257,0.05434582,0.05950648
545.7562,0.0431099,0.1218862,0.05980945,0.05096864,0.06372178
546.2383,0.03540217,0.1292211,0.06196515,0.04984752,0.06517682
546.7204,0.03100919,0.1327395,0.06390908,0.04999176,0.06387156
547.2025,0.02921586,0.1329626,0.06405476,0.05200175,0.06049087
547.6846,0.02983213,0.1304668,0.0620001,0.05588736,0.05589879
548.1667,0.03191649,0.1260445,0.05787898,0.06157765,0.05079281
548.6489,0.03346135,0.1211991,0.05200077,0.06890677,0.0453967
549.131,0.0359983,0.1143355,0.04598323,0.07707385,0.03951393
549.6131,0.03850672,0.107783,0.0399788,0.08440463,0.03278155
550.0952,0.04055599,0.1018739,0.03389958,0.08960917,0.0250746
550.5773,0.04176996,0.09689919,0.02756304,0.09194089,0.01677782
551.0594,0.04200664,0.09306876,0.02081237,0.09130254,0.00890515
551.5416,0.04155584,0.09018566,0.01350059,0.08825926,0.002863243
552.0237,0.04155089,0.08963633,0.008172311,0.08417287,0.0
552.5058,0.04316308,0.09150555,0.006271131,0.08040906,0.001260512
552.9879,0.04626342,0.09067459,0.002456117,0.07701237,0.006691612
553.47,0.05031376,0.08952294,0.0001351088,0.07551685,0.01540892
553.9521,0.05718493,0.08722703,0.0,0.0750844,0.02576466
554.4343,0.0648656,0.08358365,0.001007602,0.07547648,0.03595065
554.9164,0.07151762,0.07875161,0.002118848,0.07622851,0.04447598
555.3985,0.07639422,0.07325303,0.002798229,0.07678094,0.0503966
555.8806,0.07916193,0.06805048,0.003032587,0.07704489,0.05348149
556.3627,0.07912759,0.06436591,0.002994839,0.07756014,0.05403496
556.8448,0.07867947,0.06304995,0.004229214,0.07796652,0.05268562
557.327,0.07901914,0.06443956,0.007670745,0.07807036,0.05010145
557.8091,0.08062521,0.0681418,0.01369855,0.07756395,0.04687859
558.2912,0.08315602,0.07312716,0.02203676,0.07621612,0.04351298
558.7733,0.08282291,0.07975126,0.03067409,0.0746261,0.04039637
559.2554,0.08338279,0.0835302,0.03650218,0.07077499,0.03790736
559.7375,0.08402798,0.08679542,0.0454451,0.06823313,0.03640413
560.2197,0.0835018,0.08950347,0.0528307,0.06672148,0.03612639
560.7018,0.08229496,0.09247583,0.05815193,0.0667306,0.03713881
561.1839,0.08095738,0.09739968,0.06230053,0.06834566,0.03925855
561.666,0.08181177,0.1006695,0.06603698,0.07124192,0.04212334
562.1481,0.08085291,0.1067034,0.06488746,0.07264621,0.04528281
562.6302,0.07730724,0.1127812,0.06149554,0.07346727,0.04836328
563.1124,0.07207641,0.1177306,0.05681708,0.07284377,0.05117948
563.5945,0.06530437,0.1205615,0.05139617,0.07094324,0.05374125
564.0766,0.05792028,0.1207549,0.04590029,0.06834245,0.05623265
564.5587,0.05134381,0.1183438,0.04094248,0.06563071,0.0589083
565.0408,0.04679867,0.1139096,0.03709008,0.06319118,0.06202786
565.5229,0.04474425,0.1082752,0.03474226,0.06107613,0.06574704
566.0051,0.04475142,0.1022326,0.03415114,0.0591348,0.07004421
566.4872,0.04572833,0.09652513,0.03545795,0.05725885,0.07466967
566.9693,0.04646123,0.0918505,0.03863472,0.05564533,0.07914921
567.4514,0.04609206,0.08898014,0.04358908,0.05485658,0.08287846
567.9335,0.04446691,0.08870637,0.0499372,0.05564594,0.08523376
568.4156,0.04128692,0.08759665,0.05196938,0.05765136,0.08584772
568.8978,0.03897944,0.0939052,0.059055,0.06221483,0.08478603
569.3799,0.03563129,0.1026753,0.06418817,0.0680183,0.08262621
569.862,0.03515495,0.1124918,0.06849081,0.07243103,0.08029824
570.3441,0.0354352,0.1220567,0.07110212,0.07466057,0.07878531
570.8262,0.03494459,0.1301273,0.07176827,0.07409849,0.07882582
571.3083,0.03471138,0.1358384,0.07134624,0.0702005,0.0805484
571.7905,0.03515297,0.1391446,0.07045914,0.06356982,0.08340234
572.2726,0.03688623,0.1406206,0.06955203,0.05539577,0.08627322
572.7547,0.03858127,0.1412266,0.06807976,0.04752286,0.08797209
573.2368,0.04342237,0.1412936,0.06707963,0.03996542,0.08760551
573.7189,0.04903659,0.1410747,0.06542312,0.03402525,0.08490787
574.201,0.05418074,0.1402602,0.06265314,0.03018283,0.08032377
574.6832,0.05762734,0.1383668,0.05865023,0.02880507,0.07487082
575.1653,0.05864093,0.1350999,0.05379084,0.03012444,0.06983298
575.6474,0.05739598,0.1305844,0.04876388,0.03402451,0.06622045
576.1295,0.05487353,0.1254172,0.04424317,0.03972089,0.06446482
576.6116,0.05235616,0.1203972,0.04059187,0.04570273,0.06420791
577.0938,0.05077143,0.1161455,0.03789923,0.0501782,0.06459063
577.5759,0.05045944,0.1128462,0.03609814,0.05151669,0.06464009
578.058,0.05115162,0.1102617,0.03516055,0.04876243,0.06376214
578.5401,0.052267,0.1080436,0.03512405,0.04196657,0.06197432
579.0222,0.05330203,0.1061094,0.0362232,0.03222242,0.05987214
579.5043,0.05410503,0.1048465,0.03864436,0.02140119,0.0584088
579.9865,0.05493075,0.1049371,0.04219151,0.01154808,0.05845048
580.4686,0.05620375,0.1070318,0.04604587,0.004359353,0.06047717
580.9507,0.05815451,0.1112972,0.0489881,0.0005978774,0.06428584
581.4328,0.06065177,0.1171929,0.04993374,0.0,0.06912605
581.9149,0.06324381,0.1235425,0.04831619,0.001527293,0.07394598
582.397,0.06538517,0.1289636,0.04441741,0.003893383,0.0778212
582.8792,0.06671236,0.1323769,0.03917962,0.006048867,0.08020231
583.3613,0.06713985,0.1332857,0.03393986,0.007369491,0.08091497
583.8434,0.06692441,0.1319598,0.02980924,0.00773873,0.08014302
584.3255,0.06648398,0.1292497,0.02732546,0.007412115,0.07827632
584.8076,0.06623383,0.1263333,0.02636982,0.006901313,0.07581154
585.2897,0.06644323,0.1242364,0.02636677,0.006763697,0.07321671
585.7719,0.06715921,0.1235707,0.0266696,0.007486355,0.07087852
586.254,0.06826891,0.1245182,0.02691391,0.009390926,0.0690986
586.7361,0.06953809,0.1269303,0.02715267,0.01257152,0.06804766
587.2182,0.07014916,0.1313547,0.02772384,0.0180905,0.06777075
587.7003,0.07079427,0.1366961,0.02883629,0.02365149,0.06817562
588.1824,0.07132189,0.1423524,0.03027854,0.02864744,0.06906156
588.6646,0.07166521,0.1478231,0.03177719,0.03249884,0.07016721
589.1467,0.07185477,0.1526881,0.03312446,0.03473002,0.07123868
589.6288,0.07198713,0.1565829,0.0342778,0.03509452,0.07211718
590.1109,0.07218149,0.1591052,0.03535758,0.0336227,0.07275617
590.593,0.07252459,0.1598603,0.03655237,0.03070141,0.0732059
591.0751,0.07302655,0.1586315,0.03795145,0.02700423,0.07354966
591.5573,0.07359935,0.1555649,0.03940651,0.02341245,0.07383224
592.0394,0.07406852,0.1512866,0.04050259,0.02074982,0.07400928
592.5215,0.07423662,0.146715,0.04074447,0.01946849,0.07396439
593.0036,0.07393016,0.1428375,0.0397439,0.01955902,0.07356817
593.4857,0.07306927,0.1403611,0.03744213,0.02056893,0.07275542
593.9678,0.07170615,0.1395264,0.03414121,0.02186295,0.0715658
594.45,0.07003736,0.1401721,0.03043427,0.0228179,0.07012475
594.9321,0.06839211,0.1418356,0.02702066,0.02305994,0.06858762
595.4142,0.06714933,0.1439707,0.02446152,0.02254781,0.0670665
595.8963,0.0666877,0.146047,0.02308565,0.02151858,0.06560721
596.3784,0.06724559,0.1476915,0.02287615,0.02033796,0.06419282
596.8605,0.06883539,0.1487122,0.02355827,0.01928827,0.0628041
597.3427,0.07121447,0.1490206,0.0247193,0.01844988,0.06149407
597.8248,0.07391985,0.1485817,0.02599471,0.01764988,0.06043196
598.3069,0.07639609,0.1473689,0.02717448,0.0165749,0.05987355
598.789,0.07807623,0.1454013,0.02820496,0.01491819,0.0601042
599.2711,0.07859176,0.1428224,0.0291573,0.01258965,0.06128815
599.7532,0.07788388,0.1399582,0.03014484,0.009807861,0.06336848
600.2354,0.07624969,0.1373308,0.0312653,0.00710654,0.06601033
600.7175,0.07424732,0.1354805,0.03256758,0.005134291,0.06868589
601.1996,0.07250933,0.1347806,0.03406949,0.004431037,0.07083042
601.6817,0.07158142,0.1353043,0.03578854,0.005268088,0.07198618
602.1638,0.07173848,0.1367832,0.03774773,0.007552544,0.07197083
602.6459,0.07297359,0.1387109,0.03995823,0.01091109,0.07088267
603.1281,0.07504012,0.1404886,0.04237339,0.01480278,0.06904711
603.6102,0.07757677,0.1416619,0.04486366,0.01871802,0.06686522
604.0923,0.08020876,0.1420224,0.04720574,0.02224858,0.06470391
604.5744,0.0826308,0.1416585,0.04910926,0.02512217,0.06281277
605.0565,0.08466455,0.1408668,0.05031399,0.02719761,0.06128597
605.5386,0.08621203,0.1400118,0.05064471,0.02837759,0.06011669
606.0208,0.08720413,0.1393668,0.05008149,0.0285564,0.05925402
606.5029,0.08756583,0.1390081,0.04877008,0.02762564,0.05865836
606.985,0.08720924,0.1388346,0.04700205,0.02552337,0.05831251
607.4671,0.08608723,0.1386454,0.04514495,0.02233919,0.05820741
607.9492,0.08426391,0.138276,0.04352833,0.01836505,0.05831383
608.4313,0.08196918,0.1376673,0.04240774,0.01413008,0.05856632
608.9135,0.07959443,0.1368928,0.04190548,0.01030885,0.05887854
609.3956,0.07757638,0.1360881,0.04201062,0.007523557,0.05918491
609.8777,0.07632066,0.1353689,0.04260954,0.006255408,0.05947468
610.3598,0.0760343,0.1347473,0.04352327,0.006674236,0.05980926
610.8419,0.07664635,0.1341274,0.04456365,0.008611784,0.06029123
611.324,0.07779265,0.1333483,0.04555447,0.01159625,0.0610158
611.8062,0.0789161,0.1322867,0.0463718,0.01499195,0.06199431
612.2883,0.07947224,0.1309395,0.04696064,0.01819964,0.06312023
612.7704,0.07906142,0.129464,0.04731989,0.02073507,0.06416439
613.2525,0.07760262,0.1281445,0.04747996,0.02235204,0.06484191
