absorbance_2.9_1A,2.9_1A,2.9_2,2.9_3A,2.9_4A
578.058,0.02466484,0.05549057,0.009554017,0.06179594
578.5401,0.02709291,0.0557151,0.01072347,0.06066053
579.0222,0.02959426,0.0540664,0.01480284,0.05833643
579.5043,0.03214674,0.05063151,0.02097046,0.05516
579.9865,0.03446671,0.04585809,0.02808775,0.0513902
580.4686,0.03611934,0.04060996,0.03494602,0.04717888
580.9507,0.03669123,0.03597295,0.04066839,0.04254869
581.4328,0.03596708,0.03290986,0.04490097,0.03751763
581.9149,0.03399323,0.03205548,0.04772472,0.03222881
582.397,0.03108498,0.03344782,0.04947167,0.02702152
582.8792,0.0277295,0.03655609,0.0504489,0.02236286
583.3613,0.02450228,0.04037827,0.05083841,0.01869048
583.8434,0.02194509,0.04378006,0.05070321,0.01613627
584.3255,0.02046617,0.0458513,0.05013835,0.01442454
584.8076,0.0202967,0.046126,0.04938541,0.01293525
585.2897,0.0213982,0.04477538,0.04880198,0.01103486
585.7719,0.02348149,0.04247949,0.04875834,0.008374384
586.254,0.02603732,0.04020454,0.04948265,0.005117502
586.7361,0.02848929,0.03878613,0.05092521,0.001900349
587.2182,0.03007703,0.03869791,0.05174535,0.0003108904
587.7003,0.03074232,0.03993946,0.05268736,0.0
588.1824,0.03052361,0.04211829,0.05343928,0.001099337
588.6646,0.02967749,0.04466449,0.05372003,0.003459355
589.1467,0.02860043,0.047058,0.05338343,0.006696694
589.6288,0.0276907,0.04903648,0.05249094,0.01035008
590.1109,0.0272902,0.05061797,0.05131343,0.01396857
590.593,0.02759152,0.05205268,0.05028221,0.01721396
591.0751,0.02857241,0.05365035,0.04983139,0.01993196
591.5573,0.02997864,0.05563211,0.05029026,0.02213028
592.0394,0.03136043,0.05799514,0.05174853,0.02393385
592.5215,0.0322327,0.06052402,0.05402884,0.02548656
593.0036,0.03217838,0.06289778,0.05674127,0.02688707
593.4857,0.03100583,0.06483918,0.05939695,0.02813647
593.9678,0.028811,0.06621334,0.06154525,0.02914662
594.45,0.02597213,0.06699818,0.06278362,0.02977134
594.9321,0.02307572,0.0672265,0.06281498,0.02987361
595.4142,0.02073003,0.06690986,0.06148778,0.02939592
