absorbance_6.10_1 (1),6.10_1 (1),6.10_2,6.10_3,6.10_4
578.058,0.08585498,0.02823804,0.01538595,0.0482141
578.5401,0.08313806,0.02815723,0.01545321,0.04879898
579.0222,0.08036643,0.02802861,0.01632575,0.04820037
579.5043,0.07806371,0.02802037,0.01766584,0.04714981
579.9865,0.0765429,0.028247,0.01895302,0.04661316
580.4686,0.07573238,0.02872358,0.01951698,0.04748774
580.9507,0.07519126,0.02934206,0.01894115,0.05015526
581.4328,0.07433519,0.02992495,0.01730084,0.05437278
581.9149,0.07268196,0.03025764,0.01519127,0.05939664
582.397,0.07014103,0.03014066,0.01347081,0.06431093
582.8792,0.06706476,0.02940987,0.01288039,0.06833501
583.3613,0.06421231,0.02790936,0.0138221,0.07088239
583.8434,0.06239424,0.02552463,0.01615579,0.07165718
584.3255,0.06215943,0.02219601,0.01930018,0.07060087
584.8076,0.06361438,0.0179851,0.0224441,0.06784713
585.2897,0.06637678,0.01316078,0.02489432,0.06371755
585.7719,0.06980424,0.008220093,0.02630964,0.05872713
586.254,0.07325042,0.00387538,0.02673535,0.0536243
586.7361,0.07635307,0.0008582454,0.02655429,0.04925855
587.2182,0.07985995,0.0004142355,0.02681687,0.04645639
587.7003,0.08283398,0.002039496,0.02707413,0.04583392
588.1824,0.08508214,0.005560094,0.02776819,0.04754876
588.6646,0.08640856,0.01046889,0.02917867,0.05125207
589.1467,0.086592,0.01603745,0.03134341,0.0561062
589.6288,0.08542679,0.0215551,0.03404689,0.06107061
590.1109,0.08276727,0.0264118,0.03682957,0.06510916
590.593,0.07863061,0.0302172,0.03904592,0.06751829
591.0751,0.07327674,0.03287261,0.0400602,0.06818604
591.5573,0.06727208,0.03454902,0.0394024,0.06760183
592.0394,0.06142594,0.03561702,0.03701236,0.06663989
592.5215,0.05654396,0.03647181,0.03330309,0.06606489
593.0036,0.05330083,0.03743211,0.02907225,0.06624555
593.4857,0.05206362,0.03862496,0.02522753,0.06698322
593.9678,0.05286185,0.03997697,0.0224488,0.06772795
594.45,0.05546501,0.04124876,0.02107827,0.06785671
594.9321,0.05944207,0.04210113,0.02100509,0.06703225
595.4142,0.06427191,0.04220013,0.02176168,0.06537464
595.8963,0.06936268,0.04126091,0.02265888,0.06344188
596.3784,0.0741681,0.03914599,0.02306763,0.0619956
596.8605,0.0782773,0.03589397,0.02267449,0.06164484
597.3427,0.08140315,0.03171841,0.02157804,0.06265458
597.8248,0.08342034,0.0269657,0.0202705,0.06480521
598.3069,0.08432514,0.02204937,0.01938695,0.06752649
598.789,0.0842122,0.01744379,0.01947946,0.07005783
599.2711,0.08325921,0.01359013,0.02071156,0.07176112
599.7532,0.08171622,0.01083484,0.02277702,0.07231345
600.2354,0.07992125,0.009393891,0.02495724,0.07176523
600.7175,0.07823584,0.009287896,0.02642602,0.07047108
601.1996,0.07699317,0.01035522,0.02656165,0.06888844
601.6817,0.07646185,0.01227288,0.02516157,0.06742093
602.1638,0.07676945,0.01463832,0.02254153,0.0662847
602.6459,0.07789172,0.01701923,0.01940519,0.0655393
603.1281,0.07963457,0.0190066,0.01665295,0.06516232
603.6102,0.08167435,0.02032622,0.01502669,0.06512801
604.0923,0.08359157,0.02088157,0.01493362,0.06544217
604.5744,0.0849468,0.02079167,0.01631692,0.06612711
605.0565,0.08541251,0.02034698,0.01870797,0.06717029
605.5386,0.08482546,0.01993469,0.02137215,0.06847976
606.0208,0.08324517,0.01992555,0.02353485,0.06987305
606.5029,0.08092859,0.0205464,0.02466253,0.07113609
606.985,0.07828512,0.02185718,0.02454907,0.07206814
607.4671,0.07578399,0.02374403,0.02338689,0.0725487
607.9492,0.07381611,0.02599342,0.02165199,0.07256068
608.4313,0.07265501,0.0283449,0.01998418,0.07216331
608.9135,0.07238674,0.0305569,0.01897408,0.07144935
609.3956,0.07291922,0.03244796,0.01896679,0.07050299
609.8777,0.07400927,0.03386973,0.02000441,0.06939724
610.3598,0.07532659,0.03470888,0.02178998,0.06820937
610.8419,0.07654756,0.03489708,0.02381431,0.06704172
611.324,0.07738477,0.0344291,0.02545899,0.06603947
611.8062,0.07766522,0.03340273,0.02622168,0.06535425
612.2883,0.07735042,0.03201433,0.02587566,0.0650873
612.7704,0.07652283,0.03054079,0.02451264,0.06524502
613.2525,0.07535484,0.02923999,0.0225146,0.06570987
613.7346,0.07405274,0.02825838,0.02039385,0.0662801
614.2167,0.07283613,0.0275731,0.01868499,0.06671628
614.6989,0.07188097,0.02698064,0.01776104,0.06684222
615.181,0.07129577,0.0261808,0.01777111,0.06659953
615.6631,0.07110509,0.02488163,0.01865149,0.06605317
616.1452,0.07123675,0.02296494,0.02018289,0.06533907
616.6273,0.07153648,0.02056334,0.02208677,0.06458283
617.1094,0.07178362,0.01807139,0.0240761,0.06383479
617.5916,0.07176644,0.01599843,0.02591359,0.06305184
618.0737,0.07132409,0.0148176,0.02738216,0.06214794
618.5558,0.07039163,0.01481715,0.02824707,0.06107458
619.0379,0.06903151,0.01598286,0.02828294,0.05989018
619.52,0.06743148,0.01801151,0.02731035,0.05877747
620.0021,0.06588262,0.02038223,0.0252758,0.05800233
620.4843,0.06468163,0.02255095,0.02231314,0.05779218
620.9664,0.06408881,0.02405654,0.01876399,0.05825577
621.4485,0.06425162,0.02463393,0.01512271,0.05931306
621.9306,0.06516928,0.02425253,0.01186236,0.06072775
622.4127,0.06670143,0.02307118,0.009335176,0.0621761
622.8948,0.06860314,0.02137278,0.007647822,0.06336397
623.377,0.07060911,0.0194602,0.006664226,0.06413601
623.8591,0.07246591,0.01763013,0.006085876,0.06448356
624.3412,0.07398871,0.01611511,0.005602799,0.06451686
624.8233,0.07508537,0.01504174,0.005044103,0.06436774
625.3054,0.07573891,0.01442746,0.004425054,0.06412049
625.7875,0.07599505,0.01416865,0.003919279,0.06376782
626.2697,0.07593177,0.014083,0.003722004,0.0632418
626.7518,0.07564795,0.01395288,0.003933297,0.06247802
627.2339,0.07524736,0.01361175,0.004469955,0.06149262
627.716,0.07482652,0.01300253,0.00510594,0.06039912
628.1981,0.07448151,0.01219237,0.005558098,0.05939126
628.6802,0.07429157,0.01135257,0.005639064,0.0586571
629.1624,0.07430933,0.01068528,0.005349973,0.0582909
