absorbance_2.4_1A,2.4_1A,2.4_2A,2.4_3A
592.0394,0.06256286,0.05388155,0.04562249
592.5215,0.06256871,0.05307365,0.0480988
593.0036,0.06255994,0.05190802,0.05150331
593.4857,0.06291331,0.05056942,0.05502431
593.9678,0.06375547,0.04919594,0.05792256
594.45,0.0649142,0.04791387,0.05966936
594.9321,0.06598265,0.04684896,0.06009184
595.4142,0.06653279,0.04611213,0.05933624
595.8963,0.0662678,0.04577773,0.0577649
596.3784,0.06518719,0.04581857,0.05581633
596.8605,0.06356259,0.04607917,0.0538692
597.3427,0.0618276,0.04627058,0.05223064
597.8248,0.06035235,0.04605541,0.05110401
598.3069,0.05927218,0.04517259,0.05061832
598.789,0.05844068,0.04354411,0.05085708
599.2711,0.05750664,0.04137477,0.05182737
599.7532,0.05612168,0.03911082,0.05342405
600.2354,0.0541224,0.03734593,0.05538668
600.7175,0.0516666,0.03656816,0.05733786
601.1996,0.04917491,0.03699148,0.05886688
601.6817,0.04719031,0.0384808,0.05961751
602.1638,0.04612037,0.0406005,0.05942023
602.6459,0.04610213,0.04275004,0.05831545
603.1281,0.04695348,0.04431953,0.05654122
603.6102,0.04826973,0.0449121,0.05442671
604.0923,0.0495814,0.04442258,0.05229782
604.5744,0.05052966,0.04307184,0.05038257
605.0565,0.05100616,0.04129642,0.0487569
605.5386,0.05114416,0.03961646,0.04738748
606.0208,0.05123004,0.03847001,0.04620899
606.5029,0.05152791,0.03807425,0.04520721
606.985,0.05216728,0.03842159,0.04445792
607.4671,0.05307041,0.03930349,0.04410756
607.9492,0.05400981,0.04041547,0.04429195
608.4313,0.05470596,0.04141191,0.04507007
608.9135,0.05496987,0.04198486,0.04636478
609.3956,0.05479663,0.04192334,0.04798836
609.8777,0.05437819,0.0411004,0.04968271
610.3598,0.05404472,0.03950165,0.05121233
610.8419,0.05412277,0.03721859,0.05243573
611.324,0.05484198,0.03445441,0.05330371
611.8062,0.05621397,0.03150009,0.05383651
612.2883,0.05802882,0.02867808,0.05405937
612.7704,0.05988605,0.02632319,0.05395382
613.2525,0.06132581,0.02469679,0.05344539
613.7346,0.06197325,0.0239399,0.0524465
614.2167,0.06161405,0.02405528,0.05091976
614.6989,0.06028159,0.02489707,0.04894641
615.181,0.05822967,0.02621425,0.04673975
615.6631,0.05588208,0.02768778,0.04463013
616.1452,0.05368403,0.02903761,0.04295123
616.6273,0.05198513,0.03009232,0.04194424
617.1094,0.05097195,0.03082848,0.0416842
617.5916,0.050619,0.03137161,0.04206001
618.0737,0.05073409,0.03193918,0.04282814
618.5558,0.05102324,0.03276362,0.04369788
619.0379,0.05120753,0.03398589,0.04445504
619.52,0.05108536,0.03560743,0.04501562
620.0021,0.05058479,0.037467,0.04544005
620.4843,0.04977569,0.03929958,0.0458724
620.9664,0.0488511,0.04080213,0.04647503
621.4485,0.048091,0.04173186,0.04734864
621.9306,0.0477799,0.04199537,0.04848961
622.4127,0.0481663,0.04166313,0.04979405
622.8948,0.04938136,0.04095048,0.05109436
623.377,0.05137862,0.04012321,0.0522306
623.8591,0.05389372,0.03944031,0.05308346
624.3412,0.05645492,0.03906813,0.05361062
624.8233,0.05850907,0.03904158,0.05384365
625.3054,0.05951352,0.03928683,0.05386247
625.7875,0.05914064,0.03966704,0.05375693
626.2697,0.05738532,0.04005668,0.05358664
626.7518,0.05455834,0.04037516,0.05337363
627.2339,0.05118298,0.04060452,0.05310201
627.716,0.04779708,0.04076299,0.05273759
628.1981,0.04486407,0.04087055,0.05224916
628.6802,0.04264326,0.04091933,0.05162401
629.1624,0.04118693,0.04086829,0.0508723
629.6445,0.04040653,0.0406524,0.05002639
630.1266,0.04015357,0.04021373,0.04913201
630.6087,0.04030433,0.03952596,0.04824109
631.0908,0.04078989,0.03860789,0.04741696
631.5729,0.04158859,0.03752263,0.04672834
632.0551,0.04267161,0.03636033,0.04624936
632.5372,0.04394673,0.03522898,0.04605956
633.0193,0.04525495,0.03422802,0.04621934
633.5014,0.04641045,0.03343898,0.0467542
633.9835,0.04727618,0.03292048,0.04763293
634.4656,0.04785056,0.03269497,0.04876689
634.9478,0.04828091,0.03274616,0.0500173
635.4299,0.04881271,0.03301871,0.05122428
635.912,0.04965254,0.03343371,0.05225911
636.3941,0.05086752,0.03390118,0.05304953
636.8762,0.05232288,0.03434292,0.053598
637.3583,0.05374142,0.03471606,0.05397118
637.8405,0.05479494,0.03501176,0.05426686
638.3226,0.05525686,0.03524894,0.05457241
638.8047,0.05511227,0.03544825,0.05492273
639.2868,0.05456826,0.03560757,0.05528346
639.7689,0.05398355,0.03568181,0.05555234
640.251,0.05369192,0.03559189,0.05559962
640.7332,0.05389194,0.03523987,0.05530092
641.2153,0.05454447,0.03455247,0.05459337
641.6974,0.05541706,0.03351874,0.05350203
642.1795,0.05616728,0.03220968,0.05213821
642.6616,0.05649874,0.03077742,0.05066976
643.1437,0.05627155,0.02941829,0.04926583
643.6259,0.05551869,0.02835207,0.04807033
644.108,0.0544158,0.0277587,0.04715464
644.5901,0.05317795,0.02773851,0.04650985
645.0722,0.05199076,0.0282991,0.04606001
645.5543,0.05094563,0.02934832,0.04569714
646.0364,0.05005541,0.03072175,0.04532978
646.5186,0.04930352,0.03219488,0.04491426
647.0007,0.04869387,0.0335353,0.04448226
647.4828,0.04826975,0.03453807,0.04412986
647.9649,0.04809456,0.03505277,0.04398883
648.447,0.04820083,0.03503491,0.04416391
648.9291,0.0485541,0.03455896,0.04468406
649.4113,0.04904085,0.03381629,0.04546473
649.8934,0.04951826,0.03305401,0.04632704
650.3755,0.04986411,0.03252308,0.04703949
650.8576,0.0500248,0.03241285,0.04739027
651.3397,0.05002559,0.03278862,0.04727573
651.8218,0.04993672,0.03358692,0.04674519
652.304,0.04982202,0.03462738,0.04602079
652.7861,0.04969582,0.03568721,0.04542868
653.2682,0.04952268,0.03655047,0.04533892
653.7503,0.04925358,0.03707508,0.0460498
654.2324,0.04888424,0.03722498,0.04768376
654.7145,0.04849406,0.03705586,0.05015826
655.1967,0.04824271,0.0366849,0.05317452
655.6788,0.04829817,0.03623665,0.05631531
656.1609,0.04876528,0.03582349,0.05909706
656.643,0.04959884,0.03551728,0.0611113
657.1251,0.05059984,0.03534767,0.06213053
657.6072,0.05144459,0.03531653,0.06212539
658.0894,0.05180793,0.0354088,0.06126985
658.5715,0.05149308,0.03560418,0.059857
659.0536,0.05049691,0.03588245,0.05823774
659.5357,0.04903515,0.03622671,0.05669881
660.0178,0.04744906,0.03662341,0.05538899
660.4999,0.04611564,0.03706073,0.05430549
660.9821,0.04530137,0.03752455,0.05331371
661.4642,0.04510892,0.03799135,0.05222962
661.9463,0.04548696,0.03841811,0.05089128
662.4284,0.0462781,0.03874491,0.04925039
662.9105,0.0472936,0.03890223,0.047392
663.3926,0.04835968,0.03882841,0.04552267
663.8748,0.04936855,0.03849482,0.04387923
664.3569,0.05027022,0.0379126,0.04266237
664.839,0.05104551,0.03713205,0.04199905
665.3211,0.05168229,0.03622092,0.041919
665.8032,0.05215153,0.03525407,0.04238443
666.2853,0.05242122,0.03431045,0.04328827
666.7675,0.05248736,0.0334617,0.04446027
667.2496,0.05246669,0.032783,0.04560556
667.7317,0.05263132,0.03234526,0.04635419
668.2138,0.053247,0.03219724,0.04659162
668.6959,0.05432506,0.03233959,0.0466268
669.178,0.05552341,0.03274151,0.04686907
669.6602,0.05644226,0.03336704,0.04739881
670.1423,0.05686453,0.03419191,0.04812101
670.6244,0.05678519,0.03518983,0.04893249
671.1065,0.05629247,0.03631998,0.04974199
671.5886,0.05547001,0.03751276,0.0504768
672.0707,0.0543814,0.03867703,0.05106135
672.5529,0.05307335,0.03972644,0.05144206
673.035,0.05160995,0.04059021,0.05160607
673.5171,0.05008147,0.0412432,0.05161086
673.9992,0.04860407,0.04170413,0.05158217
674.4813,0.04733256,0.04201549,0.05169365
674.9634,0.0464339,0.042216,0.05211617
675.4456,0.0460601,0.04232615,0.05296462
675.9277,0.04633102,0.04235573,0.05426423
676.4098,0.04728855,0.04232368,0.05592411
676.8919,0.0488809,0.04227633,0.05775806
677.374,0.05095967,0.04229242,0.05950653
677.8561,0.05332013,0.04245577,0.06091993
678.3383,0.05574494,0.04282119,0.0618111
678.8204,0.0580265,0.04338475,0.06208304
679.3025,0.06000732,0.04407565,0.06174995
679.7846,0.06157644,0.04478019,0.06092011
680.2667,0.06266366,0.04538075,0.05977665
680.7488,0.06324396,0.04581353,0.05852483
681.231,0.06333075,0.0460894,0.05736567
681.7131,0.0629769,0.04628823,0.05646943
682.1952,0.06226414,0.04651123,0.05594337
682.6773,0.0613043,0.04683837,0.05583706
683.1594,0.06023718,0.0472871,0.05613785
683.6415,0.05920822,0.04780711,0.05678027
684.1237,0.05837356,0.04830179,0.05765513
684.6058,0.05787833,0.04867125,0.05863322
685.0879,0.05782558,0.04885982,0.05960202
685.57,0.0582675,0.04886939,0.06047921
686.0521,0.05917939,0.04875658,0.06122671
686.5342,0.06045642,0.04860174,0.0618431
687.0164,0.06190442,0.04849076,0.06234445
687.4985,0.06326789,0.04849123,0.06274353
687.9806,0.06429949,0.0486461,0.06303668
688.4627,0.06480542,0.04897956,0.06320442
688.9448,0.0647307,0.04949635,0.06322637
689.4269,0.06417098,0.05017925,0.06310056
689.9091,0.06335313,0.05097579,0.06285713
690.3912,0.06254599,0.05179578,0.06255537
690.8733,0.06196491,0.05252198,0.0622645
691.3554,0.06172423,0.05302302,0.0620446
691.8375,0.06179733,0.05320387,0.06192248
692.3196,0.06205192,0.05304097,0.0618881
692.8018,0.06230421,0.05260353,0.06191084
693.2839,0.06240905,0.05203941,0.06197058
693.766,0.06231287,0.05153129,0.06208581
694.2481,0.06206801,0.05125497,0.06233132
694.7302,0.06180089,0.05131809,0.06281895
695.2123,0.06165269,0.05174584,0.06366374
695.6945,0.06172469,0.05248457,0.06493931
696.1766,0.06203473,0.0534355,0.06663294
696.6587,0.06252638,0.0544886,0.06863669
697.1408,0.06310095,0.05554822,0.07076038
697.6229,0.06367531,0.05655189,0.07279764
698.105,0.06421128,0.05745435,0.07456209
698.5872,0.06472789,0.05821542,0.07593493
699.0693,0.06527881,0.05879682,0.0768857
699.5514,0.06591992,0.05916463,0.07745409
700.0335,0.06667719,0.05930904,0.0777208
700.5156,0.06753673,0.05925834,0.07776469
700.9977,0.06845507,0.05908328,0.07764534
701.4799,0.06938554,0.05888303,0.07739566
701.962,0.07030255,0.05875044,0.07703349
702.4441,0.07120681,0.05875469,0.07658489
702.9262,0.07211748,0.0589155,0.07609984
703.4083,0.07304978,0.05920733,0.07564944
703.8904,0.0739906,0.05957344,0.07532419
704.3726,0.07488579,0.05995676,0.075212
704.8547,0.07565095,0.0603264,0.0753803
705.3368,0.07618225,0.0606844,0.07587937
705.8189,0.07639544,0.06106084,0.07673673
706.301,0.07625216,0.06149489,0.07795897
706.7831,0.07577388,0.06201996,0.07952394
707.2653,0.07504786,0.0626507,0.0813659
707.7474,0.07421082,0.06338587,0.08336721
708.2295,0.0734399,0.06421524,0.08534645
708.7116,0.07291068,0.06512775,0.08709526
709.1937,0.07277045,0.06611577,0.08841959
709.6758,0.07312103,0.06717227,0.08918136
710.158,0.07398846,0.06828828,0.08935912
710.6401,0.07532366,0.06945207,0.08906336
711.1222,0.07700592,0.07065202,0.08853345
711.6043,0.07888542,0.0718824,0.08806151
712.0864,0.08081609,0.07314783,0.0879323
712.5685,0.08269496,0.07445928,0.08835007
713.0507,0.08449238,0.07582277,0.08938015
713.5328,0.08624318,0.07722913,0.09095525
714.0149,0.08801787,0.07864591,0.09290015
714.497,0.08986919,0.0800263,0.09500473
714.9791,0.09179385,0.08132222,0.09706169
715.4612,0.09370587,0.08250668,0.09891769
715.9434,0.09546281,0.08358569,0.1004994
716.4255,0.09689538,0.08459665,0.1017999
716.9076,0.09787005,0.08559077,0.1028646
717.3897,0.09833804,0.08660807,0.1037614
717.8718,0.09834987,0.0876625,0.104574
718.3539,0.09804759,0.08873694,0.1053866
718.8361,0.09761082,0.08979867,0.1062743
719.3182,0.09722146,0.09081765,0.1072921
719.8003,0.09699549,0.09178619,0.1084484
720.2824,0.09695573,0.09271467,0.1096865
720.7645,0.09703609,0.0936114,0.1108636
721.2466,0.09711744,0.09444766,0.111775
721.7288,0.09708151,0.09513941,0.1122089
722.2109,0.09684385,0.09554291,0.1119948
722.693,0.09638041,0.09550117,0.1110731
723.1751,0.09571677,0.09489925,0.1095125
723.6572,0.0949082,0.09370676,0.1075101
724.1393,0.09401038,0.0920064,0.1053299
724.6215,0.09306344,0.08997278,0.1032427
725.1036,0.09208816,0.08783937,0.1014816
725.5857,0.09108797,0.08581768,0.1001783
726.0678,0.09005563,0.08405308,0.09935499
726.5499,0.08897921,0.08260165,0.09892689
727.032,0.08784452,0.08142982,0.09873711
727.5142,0.08663642,0.0804507,0.09859034
727.9963,0.08534244,0.07956411,0.09828896
728.4784,0.08395986,0.0786994,0.09768779
728.9605,0.08250508,0.07782456,0.09670684
729.4426,0.08102106,0.07694492,0.09535292
729.9247,0.07957062,0.07608302,0.09371102
730.4069,0.0782328,0.07526091,0.09192861
730.889,0.07708327,0.07448608,0.09017399
731.3711,0.07617135,0.07375231,0.08857737
731.8532,0.07551314,0.07304601,0.08720596
732.3353,0.07508582,0.07235537,0.0860388
732.8174,0.07483965,0.07167261,0.08498689
733.2996,0.07470507,0.07098725,0.08392141
733.7817,0.0746088,0.07027686,0.08272763
734.2638,0.07448895,0.06950534,0.08135055
734.7459,0.07429424,0.0686221,0.07980846
735.228,0.07399233,0.06758109,0.07818715
735.7101,0.07357244,0.06636134,0.07659939
736.1923,0.0730423,0.06497754,0.07515326
736.6744,0.07242627,0.06348303,0.07391027
737.1565,0.07175712,0.06195233,0.07287265
737.6386,0.07106663,0.06046334,0.07199147
738.1207,0.07036996,0.05906545,0.07119117
738.6028,0.06965873,0.05776721,0.07040092
739.085,0.06890023,0.05653982,0.06957618
739.5671,0.06805202,0.05533833,0.06871577
740.0492,0.06708378,0.05413207,0.06785653
740.5313,0.06599952,0.05293155,0.06706336
741.0134,0.06485058,0.05179727,0.06640208
741.4955,0.06373124,0.05082979,0.0659233
741.9777,0.0627618,0.0501427,0.06564802
742.4598,0.062043,0.04981376,0.06555995
742.9419,0.0616285,0.04985894,0.06560865
743.424,0.06150065,0.05021551,0.06571802
743.9061,0.06157491,0.05076234,0.06580916
744.3882,0.06171751,0.05134398,0.06581125
