absorbance_5.10_1A,5.10_1A,5.10_2A,5.10_3A,5.10_4A,5.9_1A,5.9_2A
525.5073,0.02193045,0.01533643,0.0597177,0.05883641,0.04788745,0.04805413
525.9894,0.02393081,0.01066173,0.0595897,0.06463636,0.04333049,0.0497846
526.4715,0.02379106,0.008721717,0.06192682,0.06436529,0.04375704,0.04946229
526.9536,0.02250091,0.008927867,0.06380114,0.06169128,0.04602557,0.04869875
527.4357,0.01825723,0.009157315,0.06788658,0.05755751,0.04959887,0.04979062
527.9178,0.01433153,0.01168036,0.07145876,0.05220519,0.05292267,0.04859187
528.4,0.01251446,0.01652126,0.0721283,0.04466863,0.05499634,0.04716021
528.8821,0.01200864,0.02206337,0.07089292,0.03790097,0.0562154,0.0459471
529.3642,0.0121964,0.02697409,0.06840251,0.0328755,0.05670529,0.04482822
529.8463,0.01200379,0.02907762,0.0662073,0.02974647,0.05655566,0.0442296
530.3284,0.01075097,0.02722465,0.06629795,0.02770637,0.05613209,0.04471565
530.8105,0.00839974,0.02226175,0.07015337,0.02562766,0.05601083,0.04646399
531.2927,0.005426832,0.01668621,0.07782061,0.02257426,0.05670309,0.04873969
531.7748,0.002599902,0.01337935,0.08776791,0.01816997,0.05831593,0.05023117
532.2569,0.0006763265,0.01443206,0.09751153,0.01267418,0.06063726,0.04998872
532.739,0.0,0.02027349,0.1043356,0.007023405,0.06300814,0.04782231
533.2211,0.0003588721,0.02919234,0.1063559,0.002463825,0.0645432,0.04475781
533.7032,0.001371987,0.0382655,0.1029702,0.0,0.06436511,0.04208295
534.1854,0.002776206,0.04477191,0.09515038,0.0001571961,0.06225701,0.04132982
534.6675,0.004620135,0.04772373,0.08479583,0.002812881,0.05887847,0.04309682
535.1496,0.007240936,0.04800283,0.07377552,0.007400997,0.0555148,0.04681873
535.6317,0.01110848,0.04766055,0.06346497,0.01305178,0.05371723,0.05114778
536.1138,0.01657898,0.04890472,0.05449574,0.01894007,0.05464303,0.0546745
536.5959,0.02350099,0.05290033,0.04696295,0.024502,0.05862717,0.0568333
537.0781,0.03097114,0.0589049,0.04073668,0.02933791,0.0648181,0.05819345
537.5602,0.03770464,0.06468342,0.0355594,0.03327308,0.07137523,0.06006882
538.0423,0.04263021,0.06795231,0.03129201,0.03644051,0.07628693,0.06387927
538.5244,0.0452335,0.06770949,0.02779239,0.03920472,0.07802037,0.07032092
539.0065,0.04778649,0.06676428,0.02251468,0.03914469,0.07534987,0.07678014
539.4886,0.04764029,0.06354875,0.01910447,0.04149238,0.0702074,0.0834503
539.9708,0.0465074,0.06036707,0.01575331,0.04373208,0.06337004,0.08989209
540.4529,0.04608902,0.05957114,0.01163215,0.04515748,0.0561032,0.09196429
540.935,0.04712271,0.06137083,0.00683073,0.04527622,0.04959736,0.08861934
541.4171,0.04818982,0.06249158,0.003667489,0.04558554,0.04512592,0.0835408
541.8992,0.05138628,0.06389621,0.001507387,0.04520982,0.04239172,0.07317967
542.3813,0.05722497,0.06453116,0.0,0.04238252,0.04083776,0.06164887
542.8635,0.06388536,0.06255708,0.00152576,0.03953713,0.04081686,0.05193684
543.3456,0.07058561,0.05822423,0.00663726,0.03728942,0.0421956,0.04530913
543.8277,0.07808997,0.05278168,0.01241899,0.03910491,0.04366642,0.04351996
544.3098,0.08187087,0.04660334,0.02460869,0.03943448,0.04667101,0.04288686
544.7919,0.08238151,0.04070469,0.03988401,0.04068884,0.04949124,0.04381503
545.274,0.07823148,0.03514738,0.05830581,0.04106961,0.05154502,0.04479403
545.7562,0.07221973,0.03034751,0.07349882,0.04416889,0.05054948,0.04774029
546.2383,0.06437422,0.02697856,0.08629738,0.04352711,0.04725566,0.04974528
546.7204,0.05484428,0.02303431,0.09660478,0.04340614,0.04279352,0.05303499
547.2025,0.04644621,0.0198831,0.1023687,0.04199222,0.03797361,0.05679061
547.6846,0.04024738,0.01779963,0.1036331,0.03930872,0.03414961,0.06058039
548.1667,0.03666553,0.0169827,0.1009171,0.03522582,0.03232675,0.06355853
548.6489,0.03593461,0.01795403,0.09452357,0.02870827,0.03252444,0.06412947
549.131,0.0354504,0.01837482,0.08749902,0.02152526,0.03481679,0.06404755
549.6131,0.03456277,0.018233,0.08107448,0.0143935,0.03808867,0.06246323
550.0952,0.03264259,0.01745085,0.07633488,0.008455977,0.04122147,0.06028644
550.5773,0.02969567,0.01655887,0.07364506,0.004546367,0.0434465,0.05844213
551.0594,0.02629879,0.01650771,0.07254895,0.003132831,0.04444268,0.05754817
551.5416,0.02339411,0.01818024,0.07192732,0.004397139,0.04431806,0.05782641
552.0237,0.02069683,0.02171245,0.07260171,0.006342635,0.04412288,0.05820341
552.5058,0.01831789,0.02655584,0.07447656,0.007920515,0.04451753,0.05816397
552.9879,0.01907332,0.03217918,0.07252669,0.01312849,0.04408918,0.05989012
553.47,0.02194338,0.03790546,0.0690027,0.01687845,0.04339129,0.06134025
553.9521,0.02470317,0.0411868,0.06666395,0.02130164,0.04284251,0.06385827
554.4343,0.02743299,0.04270587,0.06549214,0.02533902,0.04193094,0.06715807
554.9164,0.03004526,0.04379873,0.06546575,0.02835369,0.04038332,0.07077982
555.3985,0.03194677,0.04573708,0.0668204,0.03035822,0.03833535,0.0741923
555.8806,0.03279197,0.04966932,0.06922698,0.03098196,0.03599662,0.07648472
556.3627,0.03311239,0.05662041,0.07122508,0.02859454,0.03328483,0.07627985
556.8448,0.03180327,0.06463667,0.07352564,0.02453894,0.03082508,0.07375604
557.327,0.02883097,0.07179625,0.07614154,0.01943386,0.02886164,0.06920159
557.8091,0.02463114,0.076221,0.0791247,0.01421495,0.02757559,0.06341948
558.2912,0.02006889,0.07678387,0.08243768,0.009947253,0.0271039,0.05751936
558.7733,0.01832634,0.07570517,0.08342092,0.004605912,0.02672431,0.0504667
559.2554,0.01860835,0.07079545,0.08261876,0.00722681,0.0267782,0.04697803
559.7375,0.01908128,0.06373441,0.08399003,0.008728862,0.02857201,0.04539558
560.2197,0.02214257,0.05717496,0.08347268,0.01101978,0.03053176,0.04547115
560.7018,0.02732852,0.05213704,0.08071906,0.01295366,0.03202919,0.04675728
561.1839,0.03327219,0.04883403,0.07673274,0.0125011,0.03273954,0.04812128
561.666,0.03733988,0.0449807,0.07367229,0.01066607,0.03278217,0.05192048
562.1481,0.0425568,0.04305662,0.0676866,0.009818457,0.03053547,0.05378332
562.6302,0.04738244,0.04217676,0.06134497,0.007405672,0.02683742,0.05388872
563.1124,0.05054382,0.04100221,0.05692779,0.006288864,0.02282701,0.0524955
563.5945,0.05199127,0.03930219,0.05523962,0.007702917,0.01941607,0.04950733
564.0766,0.05186059,0.03697951,0.05649877,0.01213371,0.01745792,0.04524901
564.5587,0.05038788,0.03403343,0.06027402,0.01912764,0.01752835,0.04035303
565.0408,0.04792555,0.03074626,0.06557238,0.02738069,0.01994708,0.03572617
565.5229,0.04482891,0.02772292,0.07110816,0.03516356,0.02469759,0.03227727
566.0051,0.04136035,0.02577044,0.07570188,0.04093093,0.03143372,0.03067575
566.4872,0.03764649,0.02579021,0.07848291,0.04355035,0.0393597,0.03124987
566.9693,0.0336641,0.02840786,0.07925859,0.04265266,0.04721463,0.03383818
567.4514,0.02932458,0.03368714,0.07856745,0.03863897,0.05349529,0.03793588
567.9335,0.02463474,0.04085273,0.07756501,0.03253717,0.0566672,0.04281484
568.4156,0.02221892,0.04891191,0.07341225,0.02959283,0.0544568,0.04981573
568.8978,0.01799366,0.05521147,0.07535534,0.02293168,0.04972448,0.05412693
569.3799,0.0165418,0.05985755,0.07774765,0.01615535,0.04156357,0.05700948
569.862,0.01597073,0.05947311,0.08337781,0.01360482,0.03270448,0.06001463
570.3441,0.01808064,0.05546989,0.08978382,0.01338686,0.02433225,0.06219215
570.8262,0.02364647,0.04960041,0.09493209,0.01396348,0.01752695,0.06272775
571.3083,0.03114406,0.04240343,0.09895818,0.01601919,0.01328252,0.06174821
571.7905,0.03915814,0.03506012,0.1016162,0.01914368,0.01154438,0.05903228
572.2726,0.04601929,0.02851369,0.1030755,0.02275621,0.01158239,0.05460392
572.7547,0.05164476,0.024493,0.1022898,0.02449874,0.01191353,0.04808377
573.2368,0.05309842,0.02104123,0.1023429,0.02732764,0.01258155,0.04168071
573.7189,0.05173641,0.01951917,0.1019798,0.02930944,0.01264264,0.03556952
574.201,0.04848244,0.02014137,0.1010079,0.03043144,0.01208862,0.03054645
574.6832,0.04457299,0.02293835,0.09923892,0.03096174,0.01124699,0.02722572
575.1653,0.0411622,0.02748979,0.09671159,0.03136223,0.01053756,0.02594457
575.6474,0.03890288,0.03290514,0.0938094,0.0320398,0.01021043,0.02662822
576.1295,0.03793128,0.03792615,0.09117927,0.03320829,0.01022883,0.02871654
576.6116,0.03796524,0.04141626,0.08942478,0.03480207,0.0103327,0.03126665
577.0938,0.03859568,0.04280886,0.08886824,0.03655402,0.01025678,0.03331053
577.5759,0.03948416,0.04215555,0.08942081,0.0380934,0.009902925,0.03398179
578.058,0.0404905,0.0399678,0.09066222,0.03910322,0.00943965,0.03273903
578.5401,0.04162525,0.03688595,0.09207029,0.03938698,0.009195937,0.02938997
579.0222,0.04288266,0.03334718,0.09317233,0.03891322,0.009533772,0.02416379
579.5043,0.04416522,0.02941593,0.09374508,0.0377964,0.01066611,0.01775518
579.9865,0.04529406,0.02485488,0.09378576,0.03622645,0.01254448,0.01115029
580.4686,0.046115,0.01946893,0.09348038,0.03438699,0.01490416,0.005490381
580.9507,0.04661296,0.0134441,0.09301108,0.03241513,0.01733916,0.001648216
581.4328,0.04694454,0.007434491,0.09245352,0.03038183,0.01944483,0.0
581.9149,0.04739601,0.002553876,0.09181219,0.02832333,0.02085857,0.000406066
582.397,0.04824182,0.0,0.09112753,0.0262893,0.02134165,0.00236176
582.8792,0.04959854,0.0006536096,0.09057587,0.02437156,0.02078863,0.005228834
583.3613,0.05135473,0.004780345,0.09047349,0.02275078,0.01921377,0.00838219
583.8434,0.05318856,0.01178938,0.09111364,0.02166484,0.01678555,0.01135194
584.3255,0.05468997,0.02037223,0.0925639,0.02137879,0.01382869,0.01392065
584.8076,0.05545501,0.02879486,0.09450272,0.0221497,0.01082951,0.01607284
585.2897,0.05522879,0.03553034,0.09628132,0.0241236,0.008294841,0.0179489
585.7719,0.05394549,0.03965382,0.09713253,0.0272842,0.006635193,0.01974164
586.254,0.05172321,0.04096046,0.09645957,0.03141826,0.006069549,0.02160663
586.7361,0.04882936,0.03991845,0.09412687,0.03613675,0.006529258,0.02359876
587.2182,0.04560013,0.03840649,0.09070312,0.04102274,0.007526222,0.02431731
587.7003,0.04261176,0.03621058,0.08691747,0.04551361,0.008718247,0.02495373
588.1824,0.04036248,0.03416444,0.08335294,0.04913934,0.009764481,0.0255143
588.6646,0.03924781,0.03293016,0.08047338,0.05163653,0.01052997,0.02600066
589.1467,0.03951629,0.03290147,0.0785396,0.05300938,0.01117133,0.02645951
589.6288,0.04122721,0.03415558,0.0776108,0.05348876,0.01207626,0.02700659
590.1109,0.04423379,0.03649542,0.07765976,0.05342376,0.01374484,0.02783188
590.593,0.04813448,0.03949139,0.07867321,0.05312716,0.01658725,0.02913461
591.0751,0.05232905,0.04262272,0.08069643,0.05271821,0.02069928,0.03100554
