absorbance_6.5_1A,6.5_1A,6.5_2A,6.5_3A,6.5_4A,6.5_5A,6.5_6A
562.1481,0.03480656,0.01851673,0.007370314,0.02009956,0.01680941,0.02484547
562.6302,0.04016943,0.02045427,0.01061477,0.01908924,0.01915918,0.02474634
563.1124,0.04458135,0.02422357,0.01387713,0.01925414,0.02151126,0.02548822
563.5945,0.04740398,0.02947457,0.01708884,0.0206699,0.02358313,0.02760903
564.0766,0.04826536,0.03561661,0.0201824,0.02312965,0.02505209,0.03145213
564.5587,0.04711238,0.04200515,0.02300862,0.02624937,0.0257812,0.03704066
565.0408,0.04413468,0.04807521,0.02538955,0.02953979,0.02589557,0.04403204
565.5229,0.03970787,0.05344648,0.02710784,0.03256969,0.02571099,0.0517836
566.0051,0.03426759,0.05791525,0.02797181,0.03502789,0.02557579,0.05957796
566.4872,0.02831209,0.06131025,0.02784171,0.036691,0.02570294,0.06676053
566.9693,0.0223755,0.06345131,0.0267015,0.03742289,0.02603658,0.07295719
567.4514,0.01696384,0.06415723,0.02479505,0.0371572,0.02630142,0.07806383
567.9335,0.01266065,0.06331017,0.02260097,0.0359201,0.02625695,0.08204847
568.4156,0.01358772,0.0630104,0.02155053,0.03335984,0.02763204,0.08312541
568.8978,0.01277697,0.05949489,0.02053787,0.03060266,0.02743522,0.08441851
569.3799,0.01356046,0.05427484,0.02188241,0.02694141,0.02825686,0.08343073
569.862,0.01706573,0.05110739,0.02287446,0.02393003,0.03038039,0.08054328
570.3441,0.02194477,0.0490292,0.02435701,0.0212271,0.03411046,0.07566984
570.8262,0.02692094,0.04736356,0.02645434,0.01854667,0.03913371,0.069415
571.3083,0.03167196,0.04707661,0.02772213,0.01619187,0.04451582,0.06314141
571.7905,0.03556802,0.04812723,0.02763656,0.01408952,0.04913124,0.05820352
572.2726,0.03817353,0.05033308,0.02606958,0.01220257,0.05205322,0.05561627
572.7547,0.03869368,0.05206272,0.02453966,0.01006532,0.05308364,0.05535683
573.2368,0.03872534,0.05582352,0.0213938,0.008980781,0.05243139,0.05731982
573.7189,0.03818295,0.06004216,0.01844115,0.008803866,0.05106393,0.06013302
574.201,0.03768088,0.06441393,0.01623133,0.009867795,0.0499253,0.06268701
574.6832,0.03776713,0.06850287,0.01497895,0.01235596,0.04958929,0.06430775
575.1653,0.03872247,0.07182702,0.01460465,0.01612774,0.05008928,0.06496155
575.6474,0.04045389,0.07403349,0.01482072,0.0206698,0.05097926,0.06509798
576.1295,0.04252943,0.07513399,0.01527568,0.02513564,0.05167347,0.06527174
576.6116,0.04430778,0.07559875,0.01575246,0.02861633,0.05178077,0.06570313
577.0938,0.04515869,0.07607742,0.01628349,0.03050049,0.05128768,0.06613772
577.5759,0.04461746,0.07715382,0.01706222,0.03065112,0.05047058,0.06598905
578.058,0.04251106,0.07903834,0.01834558,0.02940283,0.04978752,0.064681
578.5401,0.03899422,0.08146122,0.02022882,0.02735269,0.04952699,0.06204695
579.0222,0.03447114,0.08370434,0.02260648,0.02519018,0.04972873,0.05849305
579.5043,0.02953044,0.08489051,0.02513484,0.02343941,0.05018098,0.05489369
579.9865,0.02486234,0.08445729,0.02732089,0.02235631,0.05057414,0.05217694
580.4686,0.02121836,0.08242571,0.02863049,0.02188985,0.05064078,0.05093855
580.9507,0.01922234,0.07952011,0.02872784,0.02178564,0.05022731,0.05116591
581.4328,0.01921814,0.07677353,0.02758348,0.02174532,0.04935336,0.05234118
581.9149,0.0212176,0.07511862,0.02545776,0.02149965,0.04820136,0.05372492
582.397,0.02487941,0.07491045,0.02281627,0.02087709,0.0471151,0.05475214
582.8792,0.02962647,0.07584018,0.02015374,0.01979144,0.04649518,0.05524971
583.3613,0.03473285,0.07710876,0.01791498,0.01825282,0.04678166,0.05543146
583.8434,0.03954498,0.0778245,0.01633729,0.01638051,0.04830743,0.05568908
584.3255,0.04360022,0.07741135,0.01545691,0.01443673,0.05123893,0.056282
584.8076,0.04665519,0.07579818,0.01513123,0.01287141,0.05545108,0.05717089
585.2897,0.04869523,0.07338703,0.0151032,0.0122259,0.06052142,0.05801208
585.7719,0.04983571,0.07079265,0.01511118,0.01300023,0.06584284,0.05835666
586.254,0.05019972,0.06852888,0.01497127,0.01546237,0.07075592,0.05787691
586.7361,0.04985456,0.06677795,0.01465908,0.01946904,0.07477313,0.05657275
587.2182,0.04932935,0.06496067,0.01365482,0.0244694,0.07520292,0.05597036
587.7003,0.04812803,0.06323139,0.01283303,0.02916164,0.07510302,0.05518682
588.1824,0.04646538,0.06151573,0.01237863,0.03259527,0.07496558,0.05443959
588.6646,0.0446069,0.05983875,0.0124084,0.03405008,0.07502083,0.05388934
589.1467,0.04282824,0.05835392,0.01293048,0.03328588,0.07514231,0.05360672
589.6288,0.04134359,0.05727645,0.01385443,0.03063988,0.07496138,0.05359912
590.1109,0.04029025,0.05680621,0.01500656,0.02694729,0.07407607,0.05388078
590.593,0.03970445,0.05702443,0.01615537,0.023309,0.072319,0.05451657
591.0751,0.03952782,0.05784192,0.01706421,0.02065158,0.06990415,0.05560149
591.5573,0.03963125,0.05901511,0.01750772,0.01948907,0.06740933,0.05719252
592.0394,0.0398572,0.0602247,0.01732146,0.01971578,0.06555459,0.05920217
592.5215,0.0400769,0.06121063,0.01645168,0.02074447,0.06483931,0.06137159
593.0036,0.04020862,0.06182713,0.01496345,0.02175398,0.06536799,0.06329977
593.4857,0.04022769,0.06208487,0.01304054,0.02204829,0.06678885,0.06458887
593.9678,0.04014717,0.06210107,0.01093349,0.02131058,0.06850606,0.06501202
594.45,0.03999504,0.06203866,0.008938702,0.01961566,0.06986383,0.06457721
594.9321,0.03979344,0.06203414,0.00732428,0.01737746,0.07039861,0.06355238
595.4142,0.03955347,0.06215028,0.006261926,0.01514136,0.06995777,0.06234778
595.8963,0.03928228,0.0623854,0.005803345,0.01345846,0.0686691,0.06141863
596.3784,0.03899115,0.06269222,0.005859567,0.01270138,0.06685102,0.06108491
596.8605,0.03870407,0.06301863,0.006255958,0.01300228,0.06484279,0.06143568
597.3427,0.03846137,0.06333327,0.006802805,0.01429517,0.06291689,0.06233874
597.8248,0.0383154,0.06363547,0.007399688,0.01637152,0.0612072,0.06352126
598.3069,0.03831684,0.06394523,0.008087313,0.01896647,0.05974974,0.06470367
598.789,0.03850457,0.06428051,0.009044122,0.02176274,0.05855756,0.06567661
599.2711,0.0388887,0.0646365,0.01049792,0.02442194,0.05767451,0.06637047
599.7532,0.039442,0.06497556,0.01259824,0.02659478,0.05717883,0.06682889
600.2354,0.04009752,0.06522661,0.01529902,0.02792013,0.05713578,0.06714629
600.7175,0.04076478,0.06530434,0.01830137,0.02811808,0.05752305,0.06738757
601.1996,0.04135422,0.06513318,0.02111467,0.02704334,0.05819588,0.06754457
601.6817,0.04179801,0.06466278,0.02315382,0.02471638,0.05889546,0.06753682
602.1638,0.04207812,0.06389164,0.02395985,0.02132561,0.05934954,0.06725711
602.6459,0.04222996,0.06287624,0.02331681,0.01719113,0.05936514,0.06662381
603.1281,0.04233841,0.06173909,0.02132897,0.01273975,0.058907,0.06562945
603.6102,0.04250039,0.06064434,0.01839059,0.008412708,0.0581218,0.06436083
604.0923,0.04278553,0.05977426,0.01509131,0.004649893,0.05728421,0.06299947
604.5744,0.04318033,0.05928636,0.01207233,0.001846768,0.05668708,0.06179776
605.0565,0.0435598,0.05925885,0.00981053,0.0002748612,0.05649196,0.06100342
605.5386,0.04367869,0.05967331,0.008552426,7.063802e-05,0.05666697,0.06081505
606.0208,0.04321363,0.06041058,0.008260323,0.001189869,0.05698194,0.06131249
606.5029,0.04188143,0.06129549,0.008671224,0.003406137,0.05712505,0.06241531
606.985,0.03952453,0.06213007,0.009377159,0.006308584,0.05680704,0.06387545
607.4671,0.03623185,0.06275951,0.009941341,0.009345374,0.05588968,0.06530845
607.9492,0.03235107,0.06312498,0.01003204,0.01195943,0.05444157,0.06631129
608.4313,0.02847373,0.06327203,0.009451859,0.01364919,0.05271933,0.06652919
608.9135,0.02529061,0.06333153,0.008183984,0.01412942,0.05108394,0.06578869
609.3956,0.02337011,0.06344976,0.006370371,0.01342373,0.04985844,0.06416346
609.8777,0.02306825,0.06373713,0.004290536,0.01188824,0.04926358,0.06198164
610.3598,0.02439016,0.06421781,0.002303233,0.01013053,0.04934638,0.05974297
610.8419,0.02701895,0.06483574,0.0007631667,0.008784075,0.05000474,0.05793607
611.324,0.03037538,0.06549065,0.0,0.008362909,0.05104717,0.0569314
611.8062,0.03379938,0.06610255,0.0002358463,0.009039002,0.05228262,0.05683118
612.2883,0.03675688,0.06665816,0.001551002,0.0106099,0.05358817,0.05747832
612.7704,0.03891366,0.06722169,0.003881847,0.0125502,0.0549088,0.0585303
613.2525,0.04021509,0.06790086,0.007025095,0.01419892,0.05623304,0.05962393
613.7346,0.04081199,0.0687819,0.01067995,0.01498018,0.05753699,0.06051993
614.2167,0.04095451,0.06986912,0.01444688,0.01451499,0.05873432,0.06115333
614.6989,0.04085665,0.07104799,0.01789962,0.01276589,0.05967186,0.06163289
615.181,0.04061771,0.07210502,0.02064316,0.01001229,0.06017007,0.06213979
615.6631,0.0402118,0.07276982,0.02234137,0.006795178,0.06007542,0.06282209
616.1452,0.03953128,0.07282834,0.02281383,0.003732587,0.05934865,0.06368577
616.6273,0.03847486,0.07220162,0.02206348,0.001367977,0.05809443,0.06458068
617.1094,0.03702823,0.07099061,0.02029851,8.295849e-05,0.05655323,0.0652409
617.5916,0.03530888,0.06944682,0.0178863,0.0,0.0550113,0.06540677
618.0737,0.03355023,0.06789789,0.01530304,0.001014501,0.05371351,0.06492681
618.5558,0.03205123,0.06666046,0.01307752,0.002838069,0.05279544,0.06382208
619.0379,0.03105945,0.06593128,0.01165019,0.005102113,0.05224719,0.06228084
619.52,0.03071165,0.0657624,0.01132116,0.007421089,0.05195209,0.06060363
620.0021,0.03098572,0.0660529,0.01218111,0.009462018,0.05174381,0.05913362
620.4843,0.03171482,0.0665983,0.01409216,0.01103107,0.05148783,0.05815855
620.9664,0.03262897,0.06712116,0.01671063,0.01207822,0.05112489,0.05788121
621.4485,0.03342211,0.06731802,0.01955323,0.01270902,0.05069128,0.05837768
621.9306,0.03384687,0.06693386,0.02214798,0.01313074,0.05028854,0.05957533
622.4127,0.03374825,0.06578476,0.02409844,0.01359944,0.05003788,0.06125262
622.8948,0.03310802,0.06381743,0.02519317,0.01433253,0.0500199,0.06305356
623.377,0.03203957,0.06113772,0.02544128,0.01542285,0.05023501,0.06457701
623.8591,0.0307749,0.05802437,0.02504842,0.01681038,0.05060641,0.06542448
624.3412,0.02961155,0.05489541,0.02435094,0.01828318,0.05101538,0.06533065
624.8233,0.0288201,0.05219223,0.02369102,0.01956808,0.0513659,0.06426187
625.3054,0.02860268,0.05031785,0.02335572,0.02039892,0.05162112,0.06244677
625.7875,0.0290226,0.04949749,0.02348032,0.02062943,0.051823,0.06033938
626.2697,0.02999759,0.0497165,0.02402628,0.02027683,0.05205603,0.05845133
626.7518,0.03133109,0.05073503,0.02480403,0.0195041,0.0523983,0.05724631
627.2339,0.03278182,0.05217743,0.02553917,0.01855119,0.05285541,0.05696707
627.716,0.0341456,0.05369254,0.02597263,0.01763406,0.05333908,0.05758858
628.1981,0.03528707,0.05504514,0.02590343,0.01689637,0.05367081,0.0588585
628.6802,0.03617361,0.05620801,0.02525982,0.01636033,0.05365309,0.06040088
629.1624,0.03684647,0.05732537,0.02409923,0.01595302,0.05315525,0.06186131
629.6445,0.0373749,0.05863,0.0225994,0.01555111,0.05217944,0.06297957
630.1266,0.03779574,0.06030009,0.02100865,0.01505715,0.05090223,0.06367388
630.6087,0.03807297,0.06236107,0.01958633,0.01444849,0.04963635,0.06401479
631.0908,0.03809292,0.06464975,0.01857313,0.01379462,0.04877826,0.06416442
631.5729,0.03770909,0.06687535,0.01812351,0.01322944,0.04866316,0.0642807
632.0551,0.03680657,0.06873648,0.01828851,0.01289396,0.04946755,0.06445169
632.5372,0.03536379,0.07002903,0.01900964,0.01288055,0.0511482,0.06467009
633.0193,0.0334942,0.07074108,0.02013506,0.01318285,0.05343655,0.06484982
633.5014,0.03143544,0.07103816,0.02144876,0.01369239,0.05590635,0.06486842
633.9835,0.02951496,0.07119336,0.02270178,0.01421831,0.05806389,0.06461059
634.4656,0.02803391,0.07143901,0.02368625,0.01456068,0.05952194,0.06401537
634.9478,0.02720344,0.07187167,0.02426227,0.01456106,0.06007208,0.0630872
635.4299,0.02708957,0.07239453,0.02438887,0.01414829,0.0597327,0.06189739
635.912,0.02761495,0.07277343,0.02412034,0.01335667,0.05870404,0.06056349
636.3941,0.02861056,0.0727362,0.02357427,0.01230212,0.05728685,0.0592351
636.8762,0.02988148,0.07210873,0.02288531,0.01114525,0.05577989,0.05807334
637.3583,0.03127673,0.07090941,0.02215012,0.01003389,0.05438252,0.0572153
637.8405,0.03269133,0.06935649,0.02141226,0.009088954,0.05319124,0.05676514
638.3226,0.0340573,0.06780981,0.02066347,0.008393101,0.0522068,0.05676924
638.8047,0.03531685,0.06662556,0.01987566,0.007995177,0.05138299,0.0572052
639.2868,0.0363895,0.06607812,0.01904388,0.007935136,0.05067198,0.05798573
639.7689,0.03717296,0.06625687,0.01822448,0.008250237,0.05005933,0.05897883
640.251,0.03757894,0.06705317,0.01753494,0.008967387,0.04956808,0.06005231
640.7332,0.03755961,0.06819433,0.01713726,0.01008674,0.04925023,0.06109432
641.2153,0.03714588,0.06932941,0.01717447,0.01155206,0.04916199,0.06204412
641.6974,0.03644139,0.07014573,0.01770364,0.01324459,0.04934516,0.06289265
642.1795,0.03560123,0.07040369,0.01866216,0.01497346,0.04982501,0.06366092
642.6616,0.03477472,0.07000197,0.0198606,0.01651585,0.0506094,0.06437224
643.1437,0.03405553,0.06897493,0.02104621,0.01767777,0.0516928,0.06503088
643.6259,0.03346861,0.0674811,0.02195049,0.0183307,0.05305352,0.06561671
644.108,0.03297701,0.06577012,0.02240038,0.01847123,0.05464521,0.06609899
644.5901,0.03252687,0.06412628,0.02237179,0.01821954,0.05639046,0.0664593
645.0722,0.03208762,0.06284966,0.02200026,0.0177959,0.05816665,0.06670259
645.5543,0.03168456,0.06217362,0.0215313,0.01743681,0.05982158,0.06685738
646.0364,0.03138687,0.06222524,0.02122878,0.01731464,0.06119455,0.06695642
646.5186,0.03127072,0.06300442,0.0213041,0.01749305,0.06212657,0.06701375
647.0007,0.03135931,0.06437916,0.02183294,0.01790537,0.06250474,0.06700727
647.4828,0.03158753,0.06612024,0.02274342,0.01839635,0.06227936,0.06688637
647.9649,0.03179607,0.06793433,0.02383957,0.01877921,0.0614772,0.06659563
648.447,0.03179573,0.06954613,0.024883,0.01892348,0.06019763,0.06611358
648.9291,0.03144524,0.07073694,0.02566576,0.01879954,0.05859328,0.06548055
649.4113,0.0307328,0.07136697,0.02606621,0.01849033,0.05684996,0.0648071
649.8934,0.02981384,0.07139383,0.02607697,0.01814503,0.05514031,0.06423323
